location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
가나,2020-01-03,,,,,,,,0.0,4.97,33475870
가나,2020-01-04,,,,,,,,0.0,4.97,33475870
가나,2020-01-05,,,,,,,,0.0,4.97,33475870
가나,2020-01-06,,,,,,,,0.0,4.97,33475870
가나,2020-01-07,,,,,,,,0.0,4.97,33475870
가나,2020-01-08,,,,,,,,0.0,4.97,33475870
가나,2020-01-09,,,,,,,,0.0,4.97,33475870
가나,2020-01-10,,,,,,,,0.0,4.97,33475870
가나,2020-01-11,,,,,,,,0.0,4.97,33475870
가나,2020-01-12,,,,,,,,0.0,4.97,33475870
가나,2020-01-13,,,,,,,,0.0,4.97,33475870
가나,2020-01-14,,,,,,,,0.0,4.97,33475870
가나,2020-01-15,,,,,,,,0.0,4.97,33475870
가나,2020-01-16,,,,,,,,0.0,4.97,33475870
가나,2020-01-17,,,,,,,,0.0,4.97,33475870
가나,2020-01-18,,,,,,,,0.0,4.97,33475870
가나,2020-01-19,,,,,,,,0.0,4.97,33475870
가나,2020-01-20,,,,,,,,0.0,4.97,33475870
가나,2020-01-21,,,,,,,,0.0,4.97,33475870
가나,2020-01-22,,,,,,,,0.0,4.97,33475870
가나,2020-01-23,,,,,,,,0.0,4.97,33475870
가나,2020-01-24,,,,,,,,2.78,4.97,33475870
가나,2020-01-25,,,,,,,,2.78,4.97,33475870
가나,2020-01-26,,,,,,,,2.78,4.97,33475870
가나,2020-01-27,,,,,,,,2.78,4.97,33475870
가나,2020-01-28,,,,,,,,2.78,4.97,33475870
가나,2020-01-29,,,,,,,,2.78,4.97,33475870
가나,2020-01-30,,,,,,,,2.78,4.97,33475870
가나,2020-01-31,,,,,,,,2.78,4.97,33475870
가나,2020-02-01,,,,,,,,2.78,4.97,33475870
가나,2020-02-02,,,,,,,,2.78,4.97,33475870
가나,2020-02-03,,,,,,,,2.78,4.97,33475870
가나,2020-02-04,,,,,,,,2.78,4.97,33475870
가나,2020-02-05,,,,,,,,2.78,4.97,33475870
가나,2020-02-06,,,,,,,,2.78,4.97,33475870
가나,2020-02-07,,,,,,,,2.78,4.97,33475870
가나,2020-02-08,,,,,,,,2.78,4.97,33475870
가나,2020-02-09,,,,,,,,2.78,4.97,33475870
가나,2020-02-10,,,,,,,,2.78,4.97,33475870
가나,2020-02-11,,,,,,,,2.78,4.97,33475870
가나,2020-02-12,,,,,,,,2.78,4.97,33475870
가나,2020-02-13,,,,,,,,2.78,4.97,33475870
가나,2020-02-14,,,,,,,,2.78,4.97,33475870
가나,2020-02-15,,,,,,,,2.78,4.97,33475870
가나,2020-02-16,,,,,,,,2.78,4.97,33475870
가나,2020-02-17,,,,,,,,2.78,4.97,33475870
가나,2020-02-18,,,,,,,,2.78,4.97,33475870
가나,2020-02-19,,,,,,,,2.78,4.97,33475870
가나,2020-02-20,,,,,,,,2.78,4.97,33475870
가나,2020-02-21,,,,,,,,2.78,4.97,33475870
가나,2020-02-22,,,,,,,,2.78,4.97,33475870
가나,2020-02-23,,,,,,,,2.78,4.97,33475870
가나,2020-02-24,,,,,,,,2.78,4.97,33475870
가나,2020-02-25,,,,,,,,2.78,4.97,33475870
가나,2020-02-26,,,,,,,,2.78,4.97,33475870
가나,2020-02-27,,,,,,,,2.78,4.97,33475870
가나,2020-02-28,,,,,,,,2.78,4.97,33475870
가나,2020-02-29,,,,,,,,2.78,4.97,33475870
가나,2020-03-01,,,,,,,,2.78,4.97,33475870
가나,2020-03-02,,,,,,,,2.78,4.97,33475870
가나,2020-03-03,,,,,,,,2.78,4.97,33475870
가나,2020-03-04,,,,,,,,2.78,4.97,33475870
가나,2020-03-05,,,,,,,,2.78,4.97,33475870
가나,2020-03-06,,,,,,,,2.78,4.97,33475870
가나,2020-03-07,,,,,,,,2.78,4.97,33475870
가나,2020-03-08,,,,,,,,2.78,4.97,33475870
가나,2020-03-09,,,,,,,,2.78,4.97,33475870
가나,2020-03-10,,,,,,,,2.78,4.97,33475870
가나,2020-03-11,,,,,,,,8.33,4.97,33475870
가나,2020-03-12,1.0,,,,,,,8.33,4.97,33475870
가나,2020-03-13,3.0,,,,,,,8.33,4.97,33475870
가나,2020-03-14,4.0,,,,,,,8.33,4.97,33475870
가나,2020-03-15,8.0,,,,,,,13.89,4.97,33475870
가나,2020-03-16,10.0,,,,,,,44.44,4.97,33475870
가나,2020-03-17,11.0,,,,,,,50.0,4.97,33475870
가나,2020-03-18,15.0,,,,,,,50.0,4.97,33475870
가나,2020-03-19,18.0,,,,,,,50.0,4.97,33475870
가나,2020-03-20,22.0,,,,,,,50.0,4.97,33475870
가나,2020-03-21,28.0,,,,,,,50.0,4.97,33475870
가나,2020-03-22,31.0,,,,,,,52.78,4.97,33475870
가나,2020-03-23,34.0,,,,,,,52.78,4.97,33475870
가나,2020-03-24,40.0,,,0.0592,,,,52.78,4.97,33475870
가나,2020-03-25,53.0,,,0.0754,,,,52.78,4.97,33475870
가나,2020-03-26,68.0,,,0.0804,,,,52.78,4.97,33475870
가나,2020-03-27,132.0,,1.48,0.0645,,,,52.78,4.97,33475870
가나,2020-03-28,138.0,,1.48,0.0545,,,,52.78,4.97,33475870
가나,2020-03-29,141.0,,1.48,0.0402,,,,52.78,4.97,33475870
가나,2020-03-30,152.0,,1.48,0.0312,,,,84.26,4.97,33475870
가나,2020-03-31,152.0,,1.48,0.0234,,,,84.26,4.97,33475870
가나,2020-04-01,161.0,,1.48,0.0195,,,,84.26,4.97,33475870
가나,2020-04-02,195.0,,1.48,0.0123,,,,84.26,4.97,33475870
가나,2020-04-03,204.0,,1.49,0.0105,,,,84.26,4.97,33475870
가나,2020-04-04,205.0,,1.49,0.0091,,,,84.26,4.97,33475870
가나,2020-04-05,214.0,,1.5,0.0088,,,,84.26,4.97,33475870
가나,2020-04-06,214.0,,1.5,0.0088,,,,84.26,4.97,33475870
가나,2020-04-07,287.0,,1.51,0.0179,,,,84.26,4.97,33475870
가나,2020-04-08,313.0,,1.51,0.0167,,,,84.26,4.97,33475870
가나,2020-04-09,313.0,,1.51,0.0247,,,,84.26,4.97,33475870
가나,2020-04-10,378.0,,1.51,0.0092,,,,84.26,4.97,33475870
가나,2020-04-11,378.0,,1.51,0.0072,,,,84.26,4.97,33475870
가나,2020-04-12,566.0,,1.52,0.0111,,,,84.26,4.97,33475870
가나,2020-04-13,566.0,,1.51,0.0101,,,,84.26,4.97,33475870
가나,2020-04-14,636.0,,1.51,0.0092,,,,84.26,4.97,33475870
가나,2020-04-15,636.0,,1.51,0.0074,,,,84.26,4.97,33475870
가나,2020-04-16,641.0,,1.51,0.006,,,,84.26,4.97,33475870
가나,2020-04-17,641.0,,1.51,0.0082,,,,84.26,4.97,33475870
가나,2020-04-18,641.0,,1.51,0.0186,,,,84.26,4.97,33475870
가나,2020-04-19,834.0,,1.5,0.018,,,,70.37,4.97,33475870
가나,2020-04-20,1042.0,,1.5,0.0166,,,,62.04,4.97,33475870
가나,2020-04-21,1042.0,,1.49,0.0131,,,,62.04,4.97,33475870
가나,2020-04-22,1042.0,,1.49,0.0166,,,,62.04,4.97,33475870
가나,2020-04-23,1154.0,,1.48,0.0151,,,,62.04,4.97,33475870
가나,2020-04-24,1154.0,,1.48,0.0173,,,,62.04,4.97,33475870
가나,2020-04-25,1279.0,,1.48,0.0112,,,,62.04,4.97,33475870
가나,2020-04-26,1279.0,,1.48,0.0146,,,,62.04,4.97,33475870
가나,2020-04-27,1550.0,,1.47,0.0164,,,,62.04,4.97,33475870
가나,2020-04-28,1550.0,,1.47,0.0198,,,,62.04,4.97,33475870
가나,2020-04-29,1671.0,,1.46,0.0195,,,,62.04,4.97,33475870
가나,2020-04-30,1671.0,,1.46,0.0391,,,,62.04,4.97,33475870
가나,2020-05-01,2074.0,,1.45,0.0386,,,,62.04,4.97,33475870
가나,2020-05-02,2074.0,,1.45,0.0309,,,,62.04,4.97,33475870
가나,2020-05-03,2169.0,,1.44,0.0211,,,,62.04,4.97,33475870
가나,2020-05-04,2169.0,,1.44,0.0392,,,,62.04,4.97,33475870
가나,2020-05-05,2719.0,,1.43,0.0387,,,,62.04,4.97,33475870
가나,2020-05-06,2719.0,,1.43,0.0464,,,,62.04,4.97,33475870
가나,2020-05-07,2719.0,,1.42,0.0298,,,,62.04,4.97,33475870
가나,2020-05-08,3091.0,,1.41,0.0508,,,,62.04,4.97,33475870
가나,2020-05-09,4012.0,,1.4,0.0738,,,,62.04,4.97,33475870
가나,2020-05-10,4263.0,,1.39,0.0753,,,,62.04,4.97,33475870
가나,2020-05-11,4700.0,,1.38,0.0754,,,,62.04,4.97,33475870
가나,2020-05-12,4700.0,,1.37,0.0969,,,,62.04,4.97,33475870
가나,2020-05-13,5127.0,,1.36,0.0989,,,,62.04,4.97,33475870
가나,2020-05-14,5408.0,,1.35,0.1076,,,,62.04,4.97,33475870
가나,2020-05-15,5530.0,,1.34,0.0861,,,,62.04,4.97,33475870
가나,2020-05-16,5638.0,,1.33,0.0756,,,,62.04,4.97,33475870
가나,2020-05-17,5735.0,,1.32,0.0733,,,,62.04,4.97,33475870
가나,2020-05-18,5735.0,,1.31,0.0467,,,,62.04,4.97,33475870
가나,2020-05-19,5735.0,,1.31,0.0431,,,,62.04,4.97,33475870
가나,2020-05-20,6096.0,,1.3,0.0366,,,,62.04,4.97,33475870
가나,2020-05-21,6096.0,,1.29,0.0351,,,,62.04,4.97,33475870
가나,2020-05-22,6269.0,,1.29,0.041,,,,62.04,4.97,33475870
가나,2020-05-23,6486.0,,1.29,0.0423,,,,62.04,4.97,33475870
가나,2020-05-24,6617.0,,1.28,0.044,,,,62.04,4.97,33475870
가나,2020-05-25,6683.0,,1.28,0.0564,,,,62.04,4.97,33475870
가나,2020-05-26,6808.0,,1.27,0.0568,,,,62.04,4.97,33475870
가나,2020-05-27,6964.0,,1.27,0.0641,,,,62.04,4.97,33475870
가나,2020-05-28,7303.0,,1.27,0.0577,,,,62.04,4.97,33475870
가나,2020-05-29,7303.0,,1.27,0.056,,,,62.04,4.97,33475870
가나,2020-05-30,7616.0,,1.26,0.0568,,,,62.04,4.97,33475870
가나,2020-05-31,7768.0,,1.26,0.0784,,,,62.04,4.97,33475870
가나,2020-06-01,7881.0,,1.26,0.0752,,,,62.04,4.97,33475870
가나,2020-06-02,8070.0,,1.25,0.0687,,,,62.04,4.97,33475870
가나,2020-06-03,8297.0,,1.25,0.0676,,,,62.04,4.97,33475870
가나,2020-06-04,8548.0,,1.25,0.0905,,,,62.04,4.97,33475870
가나,2020-06-05,8885.0,,1.25,0.0826,,,,62.04,4.97,33475870
