location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
가봉,2020-01-03,,,,,,,,0.0,7.2,2388997
가봉,2020-01-04,,,,,,,,0.0,7.2,2388997
가봉,2020-01-05,,,,,,,,0.0,7.2,2388997
가봉,2020-01-06,,,,,,,,0.0,7.2,2388997
가봉,2020-01-07,,,,,,,,0.0,7.2,2388997
가봉,2020-01-08,,,,,,,,0.0,7.2,2388997
가봉,2020-01-09,,,,,,,,0.0,7.2,2388997
가봉,2020-01-10,,,,,,,,0.0,7.2,2388997
가봉,2020-01-11,,,,,,,,0.0,7.2,2388997
가봉,2020-01-12,,,,,,,,0.0,7.2,2388997
가봉,2020-01-13,,,,,,,,0.0,7.2,2388997
가봉,2020-01-14,,,,,,,,0.0,7.2,2388997
가봉,2020-01-15,,,,,,,,0.0,7.2,2388997
가봉,2020-01-16,,,,,,,,0.0,7.2,2388997
가봉,2020-01-17,,,,,,,,0.0,7.2,2388997
가봉,2020-01-18,,,,,,,,0.0,7.2,2388997
가봉,2020-01-19,,,,,,,,0.0,7.2,2388997
가봉,2020-01-20,,,,,,,,0.0,7.2,2388997
가봉,2020-01-21,,,,,,,,0.0,7.2,2388997
가봉,2020-01-22,,,,,,,,5.56,7.2,2388997
가봉,2020-01-23,,,,,,,,5.56,7.2,2388997
가봉,2020-01-24,,,,,,,,5.56,7.2,2388997
가봉,2020-01-25,,,,,,,,5.56,7.2,2388997
가봉,2020-01-26,,,,,,,,5.56,7.2,2388997
가봉,2020-01-27,,,,,,,,5.56,7.2,2388997
가봉,2020-01-28,,,,,,,,5.56,7.2,2388997
가봉,2020-01-29,,,,,,,,5.56,7.2,2388997
가봉,2020-01-30,,,,,,,,5.56,7.2,2388997
가봉,2020-01-31,,,,,,,,5.56,7.2,2388997
가봉,2020-02-01,,,,,,,,5.56,7.2,2388997
가봉,2020-02-02,,,,,,,,5.56,7.2,2388997
가봉,2020-02-03,,,,,,,,5.56,7.2,2388997
가봉,2020-02-04,,,,,,,,5.56,7.2,2388997
가봉,2020-02-05,,,,,,,,5.56,7.2,2388997
가봉,2020-02-06,,,,,,,,5.56,7.2,2388997
가봉,2020-02-07,,,,,,,,13.89,7.2,2388997
가봉,2020-02-08,,,,,,,,13.89,7.2,2388997
가봉,2020-02-09,,,,,,,,13.89,7.2,2388997
가봉,2020-02-10,,,,,,,,13.89,7.2,2388997
가봉,2020-02-11,,,,,,,,13.89,7.2,2388997
가봉,2020-02-12,,,,,,,,13.89,7.2,2388997
가봉,2020-02-13,,,,,,,,13.89,7.2,2388997
가봉,2020-02-14,,,,,,,,13.89,7.2,2388997
가봉,2020-02-15,,,,,,,,13.89,7.2,2388997
가봉,2020-02-16,,,,,,,,13.89,7.2,2388997
가봉,2020-02-17,,,,,,,,13.89,7.2,2388997
가봉,2020-02-18,,,,,,,,13.89,7.2,2388997
가봉,2020-02-19,,,,,,,,13.89,7.2,2388997
가봉,2020-02-20,,,,,,,,13.89,7.2,2388997
가봉,2020-02-21,,,,,,,,13.89,7.2,2388997
가봉,2020-02-22,,,,,,,,13.89,7.2,2388997
가봉,2020-02-23,,,,,,,,13.89,7.2,2388997
가봉,2020-02-24,,,,,,,,13.89,7.2,2388997
가봉,2020-02-25,,,,,,,,13.89,7.2,2388997
가봉,2020-02-26,,,,,,,,13.89,7.2,2388997
가봉,2020-02-27,,,,,,,,13.89,7.2,2388997
가봉,2020-02-28,,,,,,,,13.89,7.2,2388997
가봉,2020-02-29,,,,,,,,13.89,7.2,2388997
가봉,2020-03-01,,,,,,,,13.89,7.2,2388997
가봉,2020-03-02,,,,,,,,13.89,7.2,2388997
가봉,2020-03-03,,,,,,,,13.89,7.2,2388997
가봉,2020-03-04,,,,,,,,13.89,7.2,2388997
가봉,2020-03-05,,,,,,,,13.89,7.2,2388997
