location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
가이아나,2020-01-03,,,,,,,,0.0,11.62,808727
가이아나,2020-01-04,,,,,,,,0.0,11.62,808727
가이아나,2020-01-05,,,,,,,,0.0,11.62,808727
가이아나,2020-01-06,,,,,,,,0.0,11.62,808727
가이아나,2020-01-07,,,,,,,,0.0,11.62,808727
가이아나,2020-01-08,,,,,,,,0.0,11.62,808727
가이아나,2020-01-09,,,,,,,,0.0,11.62,808727
가이아나,2020-01-10,,,,,,,,0.0,11.62,808727
가이아나,2020-01-11,,,,,,,,0.0,11.62,808727
가이아나,2020-01-12,,,,,,,,0.0,11.62,808727
가이아나,2020-01-13,,,,,,,,0.0,11.62,808727
가이아나,2020-01-14,,,,,,,,0.0,11.62,808727
가이아나,2020-01-15,,,,,,,,0.0,11.62,808727
가이아나,2020-01-16,,,,,,,,0.0,11.62,808727
가이아나,2020-01-17,,,,,,,,0.0,11.62,808727
가이아나,2020-01-18,,,,,,,,2.78,11.62,808727
가이아나,2020-01-19,,,,,,,,2.78,11.62,808727
가이아나,2020-01-20,,,,,,,,2.78,11.62,808727
가이아나,2020-01-21,,,,,,,,2.78,11.62,808727
가이아나,2020-01-22,,,,,,,,2.78,11.62,808727
가이아나,2020-01-23,,,,,,,,2.78,11.62,808727
가이아나,2020-01-24,,,,,,,,2.78,11.62,808727
가이아나,2020-01-25,,,,,,,,2.78,11.62,808727
가이아나,2020-01-26,,,,,,,,2.78,11.62,808727
가이아나,2020-01-27,,,,,,,,2.78,11.62,808727
가이아나,2020-01-28,,,,,,,,2.78,11.62,808727
가이아나,2020-01-29,,,,,,,,2.78,11.62,808727
가이아나,2020-01-30,,,,,,,,2.78,11.62,808727
가이아나,2020-01-31,,,,,,,,2.78,11.62,808727
가이아나,2020-02-01,,,,,,,,2.78,11.62,808727
가이아나,2020-02-02,,,,,,,,2.78,11.62,808727
가이아나,2020-02-03,,,,,,,,2.78,11.62,808727
가이아나,2020-02-04,,,,,,,,2.78,11.62,808727
가이아나,2020-02-05,,,,,,,,8.33,11.62,808727
가이아나,2020-02-06,,,,,,,,8.33,11.62,808727
가이아나,2020-02-07,,,,,,,,13.89,11.62,808727
가이아나,2020-02-08,,,,,,,,13.89,11.62,808727
가이아나,2020-02-09,,,,,,,,13.89,11.62,808727
가이아나,2020-02-10,,,,,,,,13.89,11.62,808727
가이아나,2020-02-11,,,,,,,,13.89,11.62,808727
가이아나,2020-02-12,,,,,,,,13.89,11.62,808727
가이아나,2020-02-13,,,,,,,,13.89,11.62,808727
가이아나,2020-02-14,,,,,,,,13.89,11.62,808727
가이아나,2020-02-15,,,,,,,,13.89,11.62,808727
가이아나,2020-02-16,,,,,,,,13.89,11.62,808727
가이아나,2020-02-17,,,,,,,,13.89,11.62,808727
가이아나,2020-02-18,,,,,,,,13.89,11.62,808727
가이아나,2020-02-19,,,,,,,,13.89,11.62,808727
가이아나,2020-02-20,,,,,,,,13.89,11.62,808727
가이아나,2020-02-21,,,,,,,,13.89,11.62,808727
가이아나,2020-02-22,,,,,,,,13.89,11.62,808727
가이아나,2020-02-23,,,,,,,,13.89,11.62,808727
가이아나,2020-02-24,,,,,,,,13.89,11.62,808727
가이아나,2020-02-25,,,,,,,,13.89,11.62,808727
가이아나,2020-02-26,,,,,,,,13.89,11.62,808727
가이아나,2020-02-27,,,,,,,,13.89,11.62,808727
가이아나,2020-02-28,,,,,,,,13.89,11.62,808727
가이아나,2020-02-29,,,,,,,,13.89,11.62,808727
가이아나,2020-03-01,,,,,,,,13.89,11.62,808727
가이아나,2020-03-02,,,,,,,,13.89,11.62,808727
가이아나,2020-03-03,,,,,,,,13.89,11.62,808727
가이아나,2020-03-04,,,,,,,,13.89,11.62,808727
가이아나,2020-03-05,,,,,,,,13.89,11.62,808727
가이아나,2020-03-06,,,,,,,,13.89,11.62,808727
가이아나,2020-03-07,,,,,,,,13.89,11.62,808727
가이아나,2020-03-08,,,,,,,,13.89,11.62,808727
가이아나,2020-03-09,,,,,,,,13.89,11.62,808727
가이아나,2020-03-10,,,,,,,,13.89,11.62,808727
가이아나,2020-03-11,,,,,,,,25.0,11.62,808727
가이아나,2020-03-12,,,,,,,,25.0,11.62,808727
가이아나,2020-03-13,1.0,1.0,,,,,,25.0,11.62,808727
가이아나,2020-03-14,1.0,1.0,,,,,,25.0,11.62,808727
가이아나,2020-03-15,1.0,1.0,,,,,,25.0,11.62,808727
가이아나,2020-03-16,4.0,1.0,,,,,,36.11,11.62,808727
가이아나,2020-03-17,4.0,1.0,,,,,,36.11,11.62,808727
가이아나,2020-03-18,4.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-19,4.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-20,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-21,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-22,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-23,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-24,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-25,5.0,1.0,,,,,,41.67,11.62,808727
가이아나,2020-03-26,5.0,1.0,,,,,,45.37,11.62,808727
가이아나,2020-03-27,5.0,1.0,,,,,,48.15,11.62,808727
가이아나,2020-03-28,5.0,1.0,,,,,,59.26,11.62,808727
가이아나,2020-03-29,5.0,1.0,,,,,,59.26,11.62,808727
가이아나,2020-03-30,5.0,1.0,,,,,,59.26,11.62,808727
가이아나,2020-03-31,8.0,1.0,,,,,,59.26,11.62,808727
가이아나,2020-04-01,12.0,2.0,,,,,,59.26,11.62,808727
가이아나,2020-04-02,19.0,2.0,,,,,,59.26,11.62,808727
가이아나,2020-04-03,19.0,4.0,,,,,,85.19,11.62,808727
가이아나,2020-04-04,19.0,4.0,,,,,,85.19,11.62,808727
가이아나,2020-04-05,23.0,4.0,,,,,,85.19,11.62,808727
가이아나,2020-04-06,24.0,4.0,,,,,,85.19,11.62,808727
가이아나,2020-04-07,29.0,4.0,,,,,,85.19,11.62,808727
가이아나,2020-04-08,31.0,5.0,,,,,,85.19,11.62,808727
가이아나,2020-04-09,33.0,5.0,,,,,,87.04,11.62,808727
가이아나,2020-04-10,37.0,6.0,,,,,,87.04,11.62,808727
가이아나,2020-04-11,37.0,6.0,,,,,,87.04,11.62,808727
