location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
건지 섬,2020-01-03,,,,,,,,,,63329
건지 섬,2020-01-04,,,,,,,,,,63329
건지 섬,2020-01-05,,,,,,,,,,63329
건지 섬,2020-01-06,,,,,,,,,,63329
건지 섬,2020-01-07,,,,,,,,,,63329
건지 섬,2020-01-08,,,,,,,,,,63329
건지 섬,2020-01-09,,,,,,,,,,63329
건지 섬,2020-01-10,,,,,,,,,,63329
건지 섬,2020-01-11,,,,,,,,,,63329
건지 섬,2020-01-12,,,,,,,,,,63329
건지 섬,2020-01-13,,,,,,,,,,63329
건지 섬,2020-01-14,,,,,,,,,,63329
건지 섬,2020-01-15,,,,,,,,,,63329
건지 섬,2020-01-16,,,,,,,,,,63329
건지 섬,2020-01-17,,,,,,,,,,63329
건지 섬,2020-01-18,,,,,,,,,,63329
건지 섬,2020-01-19,,,,,,,,,,63329
건지 섬,2020-01-20,,,,,,,,,,63329
건지 섬,2020-01-21,,,,,,,,,,63329
건지 섬,2020-01-22,,,,,,,,,,63329
건지 섬,2020-01-23,,,,,,,,,,63329
건지 섬,2020-01-24,,,,,,,,,,63329
건지 섬,2020-01-25,,,,,,,,,,63329
건지 섬,2020-01-26,,,,,,,,,,63329
건지 섬,2020-01-27,,,,,,,,,,63329
건지 섬,2020-01-28,,,,,,,,,,63329
건지 섬,2020-01-29,,,,,,,,,,63329
건지 섬,2020-01-30,,,,,,,,,,63329
건지 섬,2020-01-31,,,,,,,,,,63329
건지 섬,2020-02-01,,,,,,,,,,63329
건지 섬,2020-02-02,,,,,,,,,,63329
건지 섬,2020-02-03,,,,,,,,,,63329
건지 섬,2020-02-04,,,,,,,,,,63329
건지 섬,2020-02-05,,,,,,,,,,63329
건지 섬,2020-02-06,,,,,,,,,,63329
건지 섬,2020-02-07,,,,,,,,,,63329
건지 섬,2020-02-08,,,,,,,,,,63329
건지 섬,2020-02-09,,,,,,,,,,63329
건지 섬,2020-02-10,,,,,,,,,,63329
건지 섬,2020-02-11,,,,,,,,,,63329
건지 섬,2020-02-12,,,,,,,,,,63329
건지 섬,2020-02-13,,,,,,,,,,63329
건지 섬,2020-02-14,,,,,,,,,,63329
건지 섬,2020-02-15,,,,,,,,,,63329
건지 섬,2020-02-16,,,,,,,,,,63329
건지 섬,2020-02-17,,,,,,,,,,63329
건지 섬,2020-02-18,,,,,,,,,,63329
건지 섬,2020-02-19,,,,,,,,,,63329
건지 섬,2020-02-20,,,,,,,,,,63329
건지 섬,2020-02-21,,,,,,,,,,63329
건지 섬,2020-02-22,,,,,,,,,,63329
건지 섬,2020-02-23,,,,,,,,,,63329
건지 섬,2020-02-24,,,,,,,,,,63329
건지 섬,2020-02-25,,,,,,,,,,63329
건지 섬,2020-02-26,,,,,,,,,,63329
건지 섬,2020-02-27,,,,,,,,,,63329
건지 섬,2020-02-28,,,,,,,,,,63329
건지 섬,2020-02-29,,,,,,,,,,63329
건지 섬,2020-03-01,,,,,,,,,,63329
건지 섬,2020-03-02,,,,,,,,,,63329
건지 섬,2020-03-03,,,,,,,,,,63329
건지 섬,2020-03-04,,,,,,,,,,63329
건지 섬,2020-03-05,,,,,,,,,,63329
건지 섬,2020-03-06,,,,,,,,,,63329
건지 섬,2020-03-07,,,,,,,,,,63329
건지 섬,2020-03-08,1.0,,,,,,,,,63329
건지 섬,2020-03-09,1.0,,,,,,,,,63329
건지 섬,2020-03-10,1.0,,,,,,,,,63329
건지 섬,2020-03-11,1.0,,,,,,,,,63329
건지 섬,2020-03-12,1.0,,,,,,,,,63329
건지 섬,2020-03-13,1.0,,,,,,,,,63329
건지 섬,2020-03-14,1.0,,,,,,,,,63329
건지 섬,2020-03-15,1.0,,,,,,,,,63329
건지 섬,2020-03-16,1.0,,,,,,,,,63329
건지 섬,2020-03-17,1.0,,,,,,,,,63329
건지 섬,2020-03-18,2.0,,,,,,,,,63329
건지 섬,2020-03-19,6.0,,,,,,,,,63329
건지 섬,2020-03-20,14.0,,,,,,,,,63329
건지 섬,2020-03-21,17.0,,,,,,,,,63329
건지 섬,2020-03-22,23.0,,,,,,,,,63329
건지 섬,2020-03-23,24.0,,,,,,,,,63329
건지 섬,2020-03-24,33.0,,,,,,,,,63329
건지 섬,2020-03-25,34.0,,,,,,,,,63329
건지 섬,2020-03-26,36.0,,,,,,,,,63329
건지 섬,2020-03-27,40.0,,,,,,,,,63329
건지 섬,2020-03-28,42.0,,,,,,,,,63329
건지 섬,2020-03-29,46.0,,,,,,,,,63329
건지 섬,2020-03-30,52.0,1.0,,,,,,,,63329
건지 섬,2020-03-31,55.0,1.0,,,,,,,,63329
건지 섬,2020-04-01,79.0,1.0,,,,,,,,63329
건지 섬,2020-04-02,92.0,1.0,,,,,,,,63329
건지 섬,2020-04-03,101.0,2.0,,,,,,,,63329
건지 섬,2020-04-04,115.0,3.0,,,,,,,,63329
건지 섬,2020-04-05,127.0,4.0,,,,,,,,63329
건지 섬,2020-04-06,149.0,4.0,,,,,,,,63329
건지 섬,2020-04-07,159.0,6.0,,,,,,,,63329
건지 섬,2020-04-08,167.0,6.0,,,,,,,,63329
건지 섬,2020-04-09,183.0,8.0,,,,,,,,63329
건지 섬,2020-04-10,192.0,9.0,,,,,,,,63329
건지 섬,2020-04-11,203.0,9.0,,,,,,,,63329
건지 섬,2020-04-12,209.0,9.0,,,,,,,,63329
건지 섬,2020-04-13,218.0,10.0,,,,,,,,63329
건지 섬,2020-04-14,218.0,11.0,,,,,,,,63329
건지 섬,2020-04-15,223.0,11.0,,,,,,,,63329
건지 섬,2020-04-16,228.0,13.0,,,,,,,,63329
건지 섬,2020-04-17,234.0,13.0,,,,,,,,63329
건지 섬,2020-04-18,239.0,13.0,,,,,,,,63329
건지 섬,2020-04-19,239.0,13.0,,,,,,,,63329
건지 섬,2020-04-20,239.0,13.0,,,,,,,,63329
건지 섬,2020-04-21,239.0,13.0,,,,,,,,63329
건지 섬,2020-04-22,241.0,14.0,,,,,,,,63329
건지 섬,2020-04-23,244.0,14.0,,,,,,,,63329
건지 섬,2020-04-24,245.0,15.0,,,,,,,,63329
건지 섬,2020-04-25,245.0,16.0,,,,,,,,63329
건지 섬,2020-04-26,245.0,16.0,,,,,,,,63329
건지 섬,2020-04-27,246.0,16.0,,,,,,,,63329
건지 섬,2020-04-28,247.0,16.0,,,,,,,,63329
건지 섬,2020-04-29,247.0,16.0,,,,,,,,63329
건지 섬,2020-04-30,251.0,16.0,,,,,,,,63329
건지 섬,2020-05-01,251.0,16.0,,,,,,,,63329
건지 섬,2020-05-02,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-03,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-04,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-05,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-06,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-07,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-08,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-09,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-10,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-11,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-12,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-13,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-14,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-15,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-16,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-17,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-18,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-19,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-20,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-21,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-22,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-23,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-24,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-25,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-26,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-27,252.0,16.0,,,,,,,,63329
건지 섬,2020-05-28,252.0,16.0,,,,,,,,63329
