location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
과테말라,2020-01-03,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-04,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-05,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-06,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-07,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-08,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-09,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-10,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-11,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-12,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-13,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-14,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-15,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-16,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-17,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-18,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-19,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-20,,,,,,,,0.0,10.18,17843914
과테말라,2020-01-21,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-22,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-23,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-24,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-25,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-26,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-27,,,,,,,,2.78,10.18,17843914
과테말라,2020-01-28,,,,,,,,8.33,10.18,17843914
과테말라,2020-01-29,,,,,,,,8.33,10.18,17843914
과테말라,2020-01-30,,,,,,,,8.33,10.18,17843914
과테말라,2020-01-31,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-01,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-02,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-03,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-04,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-05,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-06,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-07,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-08,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-09,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-10,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-11,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-12,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-13,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-14,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-15,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-16,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-17,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-18,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-19,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-20,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-21,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-22,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-23,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-24,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-25,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-26,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-27,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-28,,,,,,,,11.11,10.18,17843914
과테말라,2020-02-29,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-01,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-02,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-03,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-04,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-05,,,,,,,,11.11,10.18,17843914
과테말라,2020-03-06,,,,,,,,25.0,10.18,17843914
과테말라,2020-03-07,,,,,,,,25.0,10.18,17843914
과테말라,2020-03-08,,,,,,,,25.0,10.18,17843914
과테말라,2020-03-09,,,,,,,,30.56,10.18,17843914
과테말라,2020-03-10,,,,,,,,30.56,10.18,17843914
과테말라,2020-03-11,,,,,,,,30.56,10.18,17843914
과테말라,2020-03-12,,,,,,,,33.33,10.18,17843914
과테말라,2020-03-13,,,,,,,,33.33,10.18,17843914
과테말라,2020-03-14,,,,,,,,33.33,10.18,17843914
과테말라,2020-03-15,1.0,,,,,,,41.67,10.18,17843914
과테말라,2020-03-16,1.0,,,,,,,52.78,10.18,17843914
과테말라,2020-03-17,1.0,,,,,,,83.33,10.18,17843914
과테말라,2020-03-18,6.0,1.0,,,,,,83.33,10.18,17843914
과테말라,2020-03-19,6.0,1.0,,0.0429,,,,83.33,10.18,17843914
과테말라,2020-03-20,7.0,1.0,,0.0476,,,,83.33,10.18,17843914
과테말라,2020-03-21,9.0,1.0,,0.0602,,,,83.33,10.18,17843914
과테말라,2020-03-22,12.0,1.0,,0.0643,,,,93.52,10.18,17843914
과테말라,2020-03-23,18.0,1.0,,0.0695,,,,93.52,10.18,17843914
과테말라,2020-03-24,19.0,1.0,,0.0429,,,,93.52,10.18,17843914
과테말라,2020-03-25,21.0,1.0,,0.0459,,,,93.52,10.18,17843914
과테말라,2020-03-26,24.0,1.0,,0.044,,,,93.52,10.18,17843914
과테말라,2020-03-27,24.0,1.0,,0.0375,,,,93.52,10.18,17843914
과테말라,2020-03-28,25.0,1.0,,0.0363,,,,93.52,10.18,17843914
과테말라,2020-03-29,77.0,1.0,,0.0335,,,,93.52,10.18,17843914
과테말라,2020-03-30,79.0,1.0,,0.0331,,,,93.52,10.18,17843914
과테말라,2020-03-31,36.0,1.0,,0.045,,,,93.52,10.18,17843914
과테말라,2020-04-01,36.0,1.0,,0.0466,,,,93.52,10.18,17843914
과테말라,2020-04-02,39.0,1.0,,0.0604,,,,93.52,10.18,17843914
과테말라,2020-04-03,47.0,1.0,,0.0683,,,,93.52,10.18,17843914
과테말라,2020-04-04,50.0,1.0,,0.0964,,,,93.52,10.18,17843914
과테말라,2020-04-05,50.0,1.0,,0.0838,,,,93.52,10.18,17843914
