location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
괌,2020-01-03,,,,,,,,0.0,21.52,171783
괌,2020-01-04,,,,,,,,0.0,21.52,171783
괌,2020-01-05,,,,,,,,0.0,21.52,171783
괌,2020-01-06,,,,,,,,0.0,21.52,171783
괌,2020-01-07,,,,,,,,0.0,21.52,171783
괌,2020-01-08,,,,,,,,0.0,21.52,171783
괌,2020-01-09,,,,,,,,0.0,21.52,171783
괌,2020-01-10,,,,,,,,0.0,21.52,171783
괌,2020-01-11,,,,,,,,0.0,21.52,171783
괌,2020-01-12,,,,,,,,0.0,21.52,171783
괌,2020-01-13,,,,,,,,0.0,21.52,171783
괌,2020-01-14,,,,,,,,0.0,21.52,171783
괌,2020-01-15,,,,,,,,0.0,21.52,171783
괌,2020-01-16,,,,,,,,0.0,21.52,171783
괌,2020-01-17,,,,,,,,0.0,21.52,171783
괌,2020-01-18,,,,,,,,0.0,21.52,171783
괌,2020-01-19,,,,,,,,0.0,21.52,171783
괌,2020-01-20,,,,,,,,0.0,21.52,171783
괌,2020-01-21,,,,,,,,0.0,21.52,171783
괌,2020-01-22,,,,,,,,,21.52,171783
괌,2020-01-23,,,,,,,,,21.52,171783
괌,2020-01-24,,,,,,,,,21.52,171783
괌,2020-01-25,,,,,,,,,21.52,171783
괌,2020-01-26,,,,,,,,,21.52,171783
괌,2020-01-27,,,,,,,,,21.52,171783
괌,2020-01-28,,,,,,,,,21.52,171783
괌,2020-01-29,,,,,,,,,21.52,171783
괌,2020-01-30,,,,,,,,,21.52,171783
괌,2020-01-31,,,,,,,,,21.52,171783
괌,2020-02-01,,,,,,,,,21.52,171783
괌,2020-02-02,,,,,,,,,21.52,171783
괌,2020-02-03,,,,,,,,,21.52,171783
괌,2020-02-04,,,,,,,,,21.52,171783
괌,2020-02-05,,,,,,,,,21.52,171783
괌,2020-02-06,,,,,,,,,21.52,171783
괌,2020-02-07,,,,,,,,,21.52,171783
괌,2020-02-08,,,,,,,,,21.52,171783
괌,2020-02-09,,,,,,,,,21.52,171783
괌,2020-02-10,,,,,,,,,21.52,171783
괌,2020-02-11,,,,,,,,,21.52,171783
괌,2020-02-12,,,,,,,,,21.52,171783
괌,2020-02-13,,,,,,,,,21.52,171783
괌,2020-02-14,,,,,,,,,21.52,171783
괌,2020-02-15,,,,,,,,,21.52,171783
괌,2020-02-16,,,,,,,,,21.52,171783
괌,2020-02-17,,,,,,,,,21.52,171783
괌,2020-02-18,,,,,,,,,21.52,171783
괌,2020-02-19,,,,,,,,,21.52,171783
괌,2020-02-20,,,,,,,,,21.52,171783
괌,2020-02-21,,,,,,,,,21.52,171783
괌,2020-02-22,,,,,,,,,21.52,171783
괌,2020-02-23,,,,,,,,,21.52,171783
괌,2020-02-24,,,,,,,,,21.52,171783
괌,2020-02-25,,,,,,,,,21.52,171783
괌,2020-02-26,,,,,,,,,21.52,171783
괌,2020-02-27,,,,,,,,,21.52,171783
괌,2020-02-28,,,,,,,,,21.52,171783
괌,2020-02-29,,,,,,,,,21.52,171783
괌,2020-03-01,,,,,,,,,21.52,171783
괌,2020-03-02,,,,,,,,,21.52,171783
괌,2020-03-03,,,,,,,,,21.52,171783
괌,2020-03-04,,,,,,,,,21.52,171783
괌,2020-03-05,,,,,,,,,21.52,171783
괌,2020-03-06,,,,,,,,,21.52,171783
괌,2020-03-07,,,,,,,,,21.52,171783
괌,2020-03-08,,,,,,,,,21.52,171783
괌,2020-03-09,,,,,,,,,21.52,171783
괌,2020-03-10,,,,,,,,,21.52,171783
괌,2020-03-11,,,,,,,,,21.52,171783
괌,2020-03-12,,,,,,,,,21.52,171783
괌,2020-03-13,,,,,,,,,21.52,171783
괌,2020-03-14,,,,,,,,,21.52,171783
괌,2020-03-15,,,,,,,,,21.52,171783
괌,2020-03-16,,,,,,,,,21.52,171783
괌,2020-03-17,3.0,,,,,,,,21.52,171783
괌,2020-03-18,5.0,,,,,,,,21.52,171783
괌,2020-03-19,8.0,,,,,,,,21.52,171783
괌,2020-03-20,12.0,,,,,,,,21.52,171783
