location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
그리스,2020-01-03,,,,,,,,0.0,4.55,10384972
그리스,2020-01-04,,,,,,,,0.0,4.55,10384972
그리스,2020-01-05,,,,,,,,0.0,4.55,10384972
그리스,2020-01-06,,,,,,,,0.0,4.55,10384972
그리스,2020-01-07,,,,,,,,0.0,4.55,10384972
그리스,2020-01-08,,,,,,,,0.0,4.55,10384972
그리스,2020-01-09,,,,,,,,0.0,4.55,10384972
그리스,2020-01-10,,,,,,,,0.0,4.55,10384972
그리스,2020-01-11,,,,,,,,0.0,4.55,10384972
그리스,2020-01-12,,,,,,,,0.0,4.55,10384972
그리스,2020-01-13,,,,,,,,0.0,4.55,10384972
그리스,2020-01-14,,,,,,,,0.0,4.55,10384972
그리스,2020-01-15,,,,,,,,0.0,4.55,10384972
그리스,2020-01-16,,,,,,,,0.0,4.55,10384972
그리스,2020-01-17,,,,,,,,0.0,4.55,10384972
그리스,2020-01-18,,,,,,,,0.0,4.55,10384972
그리스,2020-01-19,,,,,,,,0.0,4.55,10384972
그리스,2020-01-20,,,,,,,,0.0,4.55,10384972
그리스,2020-01-21,,,,,,,,0.0,4.55,10384972
그리스,2020-01-22,,,,,,,,0.0,4.55,10384972
그리스,2020-01-23,,,,,,,,0.0,4.55,10384972
그리스,2020-01-24,,,,,,,,0.0,4.55,10384972
그리스,2020-01-25,,,,,,,,0.0,4.55,10384972
그리스,2020-01-26,,,,,,,,0.0,4.55,10384972
그리스,2020-01-27,,,,,,,,0.0,4.55,10384972
그리스,2020-01-28,,,,,,,,0.0,4.55,10384972
그리스,2020-01-29,,,,,,,,0.0,4.55,10384972
그리스,2020-01-30,,,,,,,,0.0,4.55,10384972
그리스,2020-01-31,,,,,,,,0.0,4.55,10384972
그리스,2020-02-01,,,,,,,,0.0,4.55,10384972
그리스,2020-02-02,,,,,,,,0.0,4.55,10384972
그리스,2020-02-03,,,,,,,,0.0,4.55,10384972
그리스,2020-02-04,,,,,,,,0.0,4.55,10384972
그리스,2020-02-05,,,,,,,,0.0,4.55,10384972
그리스,2020-02-06,,,,,,,,0.0,4.55,10384972
그리스,2020-02-07,,,,,,,,0.0,4.55,10384972
그리스,2020-02-08,,,,,,,,0.0,4.55,10384972
그리스,2020-02-09,,,,,,,,0.0,4.55,10384972
그리스,2020-02-10,,,,,,,,0.0,4.55,10384972
그리스,2020-02-11,,,,,,,,0.0,4.55,10384972
그리스,2020-02-12,,,,,,,,0.0,4.55,10384972
그리스,2020-02-13,,,,,,,,0.0,4.55,10384972
그리스,2020-02-14,,,,,,,,0.0,4.55,10384972
그리스,2020-02-15,,,,,,,,0.0,4.55,10384972
그리스,2020-02-16,,,,,,,,0.0,4.55,10384972
그리스,2020-02-17,,,,,,,,0.0,4.55,10384972
그리스,2020-02-18,,,,,,,,0.0,4.55,10384972
그리스,2020-02-19,,,,,,,,0.0,4.55,10384972
그리스,2020-02-20,,,,,,,,0.0,4.55,10384972
그리스,2020-02-21,,,,,,,,0.0,4.55,10384972
그리스,2020-02-22,,,,,,,,0.0,4.55,10384972
그리스,2020-02-23,,,,,,,,0.0,4.55,10384972
그리스,2020-02-24,,,,,,,,0.0,4.55,10384972
그리스,2020-02-25,,,,,,,,11.11,4.55,10384972
그리스,2020-02-26,,,,,,,,11.11,4.55,10384972
그리스,2020-02-27,,,,,,,,11.11,4.55,10384972
그리스,2020-02-28,,,,,,,,11.11,4.55,10384972
그리스,2020-02-29,,,,,,,,19.44,4.55,10384972
그리스,2020-03-01,6.0,,,,,,,19.44,4.55,10384972
그리스,2020-03-02,6.0,,,,,,,19.44,4.55,10384972
그리스,2020-03-03,6.0,,,,,,,19.44,4.55,10384972
그리스,2020-03-04,6.0,,,,,,,19.44,4.55,10384972
그리스,2020-03-05,6.0,,,,,,,28.7,4.55,10384972
그리스,2020-03-06,6.0,,,,,,,28.7,4.55,10384972
그리스,2020-03-07,6.0,,,,,,,28.7,4.55,10384972
그리스,2020-03-08,86.0,,,,,,,28.7,4.55,10384972
그리스,2020-03-09,86.0,,,,,,,31.48,4.55,10384972
그리스,2020-03-10,86.0,,,0.0654,,,,33.33,4.55,10384972
그리스,2020-03-11,86.0,,,0.0718,,,,33.33,4.55,10384972
그리스,2020-03-12,86.0,,,0.0543,,,,40.74,4.55,10384972
그리스,2020-03-13,86.0,,,0.0909,,,,40.74,4.55,10384972
그리스,2020-03-14,86.0,,1.4,0.0861,,,,54.63,4.55,10384972
그리스,2020-03-15,413.0,4.0,1.38,0.1018,,,,54.63,4.55,10384972
그리스,2020-03-16,413.0,4.0,1.36,0.0965,,,,54.63,4.55,10384972
그리스,2020-03-17,413.0,4.0,1.36,0.0892,,,,54.63,4.55,10384972
그리스,2020-03-18,413.0,4.0,1.35,0.0798,,,,65.74,4.55,10384972
그리스,2020-03-19,413.0,4.0,1.35,0.0724,,,,65.74,4.55,10384972
그리스,2020-03-20,413.0,4.0,1.36,0.0682,,,,65.74,4.55,10384972
그리스,2020-03-21,413.0,4.0,1.34,0.0682,,,,74.07,4.55,10384972
그리스,2020-03-22,794.0,17.0,1.32,0.0732,,,,74.07,4.55,10384972
그리스,2020-03-23,794.0,17.0,1.33,0.0841,,,,84.26,4.55,10384972
그리스,2020-03-24,794.0,17.0,1.31,0.091,,,,84.26,4.55,10384972
그리스,2020-03-25,794.0,17.0,1.29,0.0928,,,,84.26,4.55,10384972
그리스,2020-03-26,794.0,17.0,1.27,0.0773,,,,84.26,4.55,10384972
그리스,2020-03-27,794.0,17.0,1.25,0.0539,,,,84.26,4.55,10384972
그리스,2020-03-28,794.0,17.0,1.27,0.0467,,,,84.26,4.55,10384972
그리스,2020-03-29,1332.0,42.0,1.29,0.0744,,,,84.26,4.55,10384972
그리스,2020-03-30,1332.0,42.0,1.18,0.063,,,,84.26,4.55,10384972
그리스,2020-03-31,1332.0,42.0,1.08,0.0539,,,,84.26,4.55,10384972
그리스,2020-04-01,1332.0,42.0,1.0,0.0468,,,,84.26,4.55,10384972
그리스,2020-04-02,1332.0,42.0,0.94,0.0468,,,,84.26,4.55,10384972
그리스,2020-04-03,1332.0,42.0,0.9,0.0868,,,,84.26,4.55,10384972
그리스,2020-04-04,1332.0,42.0,0.85,0.0935,,,,84.26,4.55,10384972
그리스,2020-04-05,1866.0,77.0,0.8,0.0562,,,,84.26,4.55,10384972
그리스,2020-04-06,1866.0,77.0,0.8,0.0585,,,,84.26,4.55,10384972
그리스,2020-04-07,1866.0,77.0,0.79,0.057,,,,84.26,4.55,10384972
그리스,2020-04-08,1866.0,77.0,0.79,0.048,,,,84.26,4.55,10384972
그리스,2020-04-09,1866.0,77.0,0.78,0.054,,,,84.26,4.55,10384972
그리스,2020-04-10,1866.0,77.0,0.76,0.0305,,,,84.26,4.55,10384972
그리스,2020-04-11,1866.0,77.0,0.74,0.0291,,,,84.26,4.55,10384972
그리스,2020-04-12,2155.0,99.0,0.71,0.0206,,,,84.26,4.55,10384972
그리스,2020-04-13,2155.0,99.0,0.71,0.0226,,,,84.26,4.55,10384972
그리스,2020-04-14,2155.0,99.0,0.69,0.0201,,,,84.26,4.55,10384972
그리스,2020-04-15,2155.0,99.0,0.7,0.0207,,,,84.26,4.55,10384972
그리스,2020-04-16,2155.0,99.0,0.71,0.016,,,,84.26,4.55,10384972
그리스,2020-04-17,2155.0,99.0,0.73,0.0133,,,,84.26,4.55,10384972
그리스,2020-04-18,2155.0,99.0,0.75,0.0097,,,,84.26,4.55,10384972
그리스,2020-04-19,2273.0,113.0,0.78,0.0142,,,,84.26,4.55,10384972
그리스,2020-04-20,2273.0,113.0,0.83,0.0092,,,,84.26,4.55,10384972
그리스,2020-04-21,2273.0,113.0,0.89,0.0225,,,,84.26,4.55,10384972
그리스,2020-04-22,2273.0,113.0,0.86,0.0225,,,,84.26,4.55,10384972
그리스,2020-04-23,2273.0,113.0,0.84,0.026,,,,84.26,4.55,10384972
그리스,2020-04-24,2273.0,113.0,0.8,0.0272,,,,84.26,4.55,10384972
그리스,2020-04-25,2273.0,113.0,0.76,0.0277,,,,84.26,4.55,10384972
그리스,2020-04-26,2576.0,134.0,0.74,0.0252,,,,84.26,4.55,10384972
그리스,2020-04-27,2576.0,134.0,0.72,0.0246,,,,84.26,4.55,10384972
그리스,2020-04-28,2576.0,134.0,0.7,0.0116,,,,84.26,4.55,10384972
그리스,2020-04-29,2576.0,134.0,0.69,0.0111,,,,84.26,4.55,10384972
그리스,2020-04-30,2576.0,134.0,0.68,0.008,,,,84.26,4.55,10384972
그리스,2020-05-01,2576.0,134.0,0.68,0.0077,,,,84.26,4.55,10384972
그리스,2020-05-02,2576.0,134.0,0.68,0.0075,,,,84.26,4.55,10384972
그리스,2020-05-03,2680.0,144.0,0.68,0.0074,,,,84.26,4.55,10384972
그리스,2020-05-04,2680.0,144.0,0.69,0.0066,,,,81.48,4.55,10384972
그리스,2020-05-05,2680.0,144.0,0.71,0.0055,,,,72.22,4.55,10384972
그리스,2020-05-06,2680.0,144.0,0.74,0.0058,,,,72.22,4.55,10384972
