location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
기니비사우,2020-01-03,,,,,,,,,2.42,2105580
기니비사우,2020-01-04,,,,,,,,,2.42,2105580
기니비사우,2020-01-05,,,,,,,,,2.42,2105580
기니비사우,2020-01-06,,,,,,,,,2.42,2105580
기니비사우,2020-01-07,,,,,,,,,2.42,2105580
기니비사우,2020-01-08,,,,,,,,,2.42,2105580
기니비사우,2020-01-09,,,,,,,,,2.42,2105580
기니비사우,2020-01-10,,,,,,,,,2.42,2105580
기니비사우,2020-01-11,,,,,,,,,2.42,2105580
기니비사우,2020-01-12,,,,,,,,,2.42,2105580
기니비사우,2020-01-13,,,,,,,,,2.42,2105580
기니비사우,2020-01-14,,,,,,,,,2.42,2105580
기니비사우,2020-01-15,,,,,,,,,2.42,2105580
기니비사우,2020-01-16,,,,,,,,,2.42,2105580
기니비사우,2020-01-17,,,,,,,,,2.42,2105580
기니비사우,2020-01-18,,,,,,,,,2.42,2105580
기니비사우,2020-01-19,,,,,,,,,2.42,2105580
기니비사우,2020-01-20,,,,,,,,,2.42,2105580
기니비사우,2020-01-21,,,,,,,,,2.42,2105580
기니비사우,2020-01-22,,,,,,,,,2.42,2105580
기니비사우,2020-01-23,,,,,,,,,2.42,2105580
기니비사우,2020-01-24,,,,,,,,,2.42,2105580
기니비사우,2020-01-25,,,,,,,,,2.42,2105580
기니비사우,2020-01-26,,,,,,,,,2.42,2105580
기니비사우,2020-01-27,,,,,,,,,2.42,2105580
기니비사우,2020-01-28,,,,,,,,,2.42,2105580
기니비사우,2020-01-29,,,,,,,,,2.42,2105580
기니비사우,2020-01-30,,,,,,,,,2.42,2105580
기니비사우,2020-01-31,,,,,,,,,2.42,2105580
기니비사우,2020-02-01,,,,,,,,,2.42,2105580
기니비사우,2020-02-02,,,,,,,,,2.42,2105580
기니비사우,2020-02-03,,,,,,,,,2.42,2105580
기니비사우,2020-02-04,,,,,,,,,2.42,2105580
기니비사우,2020-02-05,,,,,,,,,2.42,2105580
기니비사우,2020-02-06,,,,,,,,,2.42,2105580
기니비사우,2020-02-07,,,,,,,,,2.42,2105580
기니비사우,2020-02-08,,,,,,,,,2.42,2105580
기니비사우,2020-02-09,,,,,,,,,2.42,2105580
기니비사우,2020-02-10,,,,,,,,,2.42,2105580
기니비사우,2020-02-11,,,,,,,,,2.42,2105580
기니비사우,2020-02-12,,,,,,,,,2.42,2105580
기니비사우,2020-02-13,,,,,,,,,2.42,2105580
기니비사우,2020-02-14,,,,,,,,,2.42,2105580
기니비사우,2020-02-15,,,,,,,,,2.42,2105580
기니비사우,2020-02-16,,,,,,,,,2.42,2105580
기니비사우,2020-02-17,,,,,,,,,2.42,2105580
기니비사우,2020-02-18,,,,,,,,,2.42,2105580
기니비사우,2020-02-19,,,,,,,,,2.42,2105580
기니비사우,2020-02-20,,,,,,,,,2.42,2105580
기니비사우,2020-02-21,,,,,,,,,2.42,2105580
기니비사우,2020-02-22,,,,,,,,,2.42,2105580
기니비사우,2020-02-23,,,,,,,,,2.42,2105580
기니비사우,2020-02-24,,,,,,,,,2.42,2105580
기니비사우,2020-02-25,,,,,,,,,2.42,2105580
기니비사우,2020-02-26,,,,,,,,,2.42,2105580
기니비사우,2020-02-27,,,,,,,,,2.42,2105580
기니비사우,2020-02-28,,,,,,,,,2.42,2105580
기니비사우,2020-02-29,,,,,,,,,2.42,2105580
기니비사우,2020-03-01,,,,,,,,,2.42,2105580
기니비사우,2020-03-02,,,,,,,,,2.42,2105580
기니비사우,2020-03-03,,,,,,,,,2.42,2105580
기니비사우,2020-03-04,,,,,,,,,2.42,2105580
기니비사우,2020-03-05,,,,,,,,,2.42,2105580
기니비사우,2020-03-06,,,,,,,,,2.42,2105580
기니비사우,2020-03-07,,,,,,,,,2.42,2105580
기니비사우,2020-03-08,,,,,,,,,2.42,2105580
기니비사우,2020-03-09,,,,,,,,,2.42,2105580
기니비사우,2020-03-10,,,,,,,,,2.42,2105580
기니비사우,2020-03-11,,,,,,,,,2.42,2105580
기니비사우,2020-03-12,,,,,,,,,2.42,2105580
기니비사우,2020-03-13,,,,,,,,,2.42,2105580
기니비사우,2020-03-14,,,,,,,,,2.42,2105580
기니비사우,2020-03-15,,,,,,,,,2.42,2105580
기니비사우,2020-03-16,,,,,,,,,2.42,2105580
기니비사우,2020-03-17,,,,,,,,,2.42,2105580
기니비사우,2020-03-18,,,,,,,,,2.42,2105580
기니비사우,2020-03-19,,,,,,,,,2.42,2105580
기니비사우,2020-03-20,,,,,,,,,2.42,2105580
기니비사우,2020-03-21,,,,,,,,,2.42,2105580
기니비사우,2020-03-22,,,,,,,,,2.42,2105580
기니비사우,2020-03-23,,,,,,,,,2.42,2105580
기니비사우,2020-03-24,,,,,,,,,2.42,2105580
기니비사우,2020-03-25,,,,,,,,,2.42,2105580
기니비사우,2020-03-26,2.0,,,,,,,,2.42,2105580
기니비사우,2020-03-27,2.0,,,,,,,,2.42,2105580
기니비사우,2020-03-28,2.0,,,,,,,,2.42,2105580
기니비사우,2020-03-29,2.0,,,,,,,,2.42,2105580
기니비사우,2020-03-30,2.0,,,,,,,,2.42,2105580
기니비사우,2020-03-31,8.0,,,,,,,,2.42,2105580
기니비사우,2020-04-01,9.0,,,,,,,,2.42,2105580
기니비사우,2020-04-02,9.0,,,,,,,,2.42,2105580
기니비사우,2020-04-03,9.0,,,,,,,,2.42,2105580
기니비사우,2020-04-04,15.0,,,,,,,,2.42,2105580
기니비사우,2020-04-05,18.0,,,,,,,,2.42,2105580
기니비사우,2020-04-06,18.0,,,,,,,,2.42,2105580
기니비사우,2020-04-07,33.0,,,,,,,,2.42,2105580
기니비사우,2020-04-08,33.0,,,,,,,,2.42,2105580
기니비사우,2020-04-09,33.0,,,,,,,,2.42,2105580
기니비사우,2020-04-10,35.0,,,,,,,,2.42,2105580
기니비사우,2020-04-11,38.0,,,,,,,,2.42,2105580
기니비사우,2020-04-12,39.0,,,,,,,,2.42,2105580
기니비사우,2020-04-13,40.0,,,,,,,,2.42,2105580
기니비사우,2020-04-14,40.0,,,,,,,,2.42,2105580
기니비사우,2020-04-15,46.0,,,,,,,,2.42,2105580
기니비사우,2020-04-16,46.0,,,,,,,,2.42,2105580
기니비사우,2020-04-17,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-18,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-19,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-20,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-21,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-22,50.0,,,,,,,,2.42,2105580
기니비사우,2020-04-23,52.0,,,,,,,,2.42,2105580
기니비사우,2020-04-24,52.0,,,,,,,,2.42,2105580
기니비사우,2020-04-25,52.0,,,,,,,,2.42,2105580
기니비사우,2020-04-26,52.0,,,,,,,,2.42,2105580
기니비사우,2020-04-27,53.0,1.0,,,,,,,2.42,2105580
기니비사우,2020-04-28,73.0,1.0,,,,,,,2.42,2105580
기니비사우,2020-04-29,73.0,1.0,,,,,,,2.42,2105580
기니비사우,2020-04-30,201.0,1.0,1.22,,,,,,2.42,2105580
기니비사우,2020-05-01,260.0,2.0,1.22,,,,,,2.42,2105580
기니비사우,2020-05-02,260.0,2.0,1.22,,,,,,2.42,2105580
기니비사우,2020-05-03,260.0,2.0,1.22,,,,,,2.42,2105580
기니비사우,2020-05-04,292.0,2.0,1.23,,,,,,2.42,2105580
기니비사우,2020-05-05,292.0,2.0,1.21,,,,,,2.42,2105580
기니비사우,2020-05-06,292.0,2.0,1.2,,,,,,2.42,2105580
기니비사우,2020-05-07,508.0,2.0,1.19,,,,,,2.42,2105580
기니비사우,2020-05-08,508.0,2.0,1.17,,,,,,2.42,2105580
기니비사우,2020-05-09,642.0,3.0,1.16,,,,,,2.42,2105580
기니비사우,2020-05-10,642.0,3.0,1.14,,,,,,2.42,2105580
기니비사우,2020-05-11,761.0,3.0,1.12,,,,,,2.42,2105580
기니비사우,2020-05-12,820.0,3.0,1.11,,,,,,2.42,2105580
기니비사우,2020-05-13,836.0,3.0,1.09,,,,,,2.42,2105580
기니비사우,2020-05-14,836.0,3.0,1.08,,,,,,2.42,2105580
기니비사우,2020-05-15,913.0,3.0,1.06,,,,,,2.42,2105580
기니비사우,2020-05-16,913.0,3.0,1.05,,,,,,2.42,2105580
기니비사우,2020-05-17,913.0,3.0,1.04,,,,,,2.42,2105580
기니비사우,2020-05-18,990.0,4.0,1.02,,,,,,2.42,2105580
기니비사우,2020-05-19,1038.0,6.0,1.01,,,,,,2.42,2105580
