location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
나미비아,2020-01-03,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-04,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-05,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-06,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-07,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-08,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-09,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-10,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-11,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-12,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-13,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-14,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-15,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-16,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-17,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-18,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-19,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-20,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-21,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-22,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-23,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-24,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-25,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-26,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-27,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-28,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-29,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-30,,,,,,,,0.0,3.94,2567024
나미비아,2020-01-31,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-01,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-02,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-03,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-04,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-05,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-06,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-07,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-08,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-09,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-10,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-11,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-12,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-13,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-14,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-15,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-16,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-17,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-18,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-19,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-20,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-21,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-22,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-23,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-24,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-25,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-26,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-27,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-28,,,,,,,,0.0,3.94,2567024
나미비아,2020-02-29,,,,,,,,0.0,3.94,2567024
나미비아,2020-03-01,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-02,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-03,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-04,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-05,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-06,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-07,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-08,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-09,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-10,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-11,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-12,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-13,,,,,,,,2.78,3.94,2567024
나미비아,2020-03-14,,,,,,,,8.33,3.94,2567024
나미비아,2020-03-15,2.0,,,,,,,8.33,3.94,2567024
나미비아,2020-03-16,2.0,,,,,,,8.33,3.94,2567024
나미비아,2020-03-17,2.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-18,2.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-19,2.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-20,3.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-21,3.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-22,3.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-23,3.0,,,,,,,50.0,3.94,2567024
나미비아,2020-03-24,4.0,,,,,,,52.78,3.94,2567024
나미비아,2020-03-25,5.0,,,,,,,52.78,3.94,2567024
나미비아,2020-03-26,5.0,,,,,,,52.78,3.94,2567024
나미비아,2020-03-27,8.0,,,,,,,66.67,3.94,2567024
나미비아,2020-03-28,8.0,,,,,,,66.67,3.94,2567024
나미비아,2020-03-29,11.0,,,,,,,66.67,3.94,2567024
나미비아,2020-03-30,11.0,,,,,,,66.67,3.94,2567024
나미비아,2020-03-31,11.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-01,11.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-02,13.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-03,13.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-04,14.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-05,16.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-06,16.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-07,16.0,,,,,,,66.67,3.94,2567024
나미비아,2020-04-08,16.0,,,0.0238,,,,66.67,3.94,2567024
나미비아,2020-04-09,16.0,,,0.026,,,,66.67,3.94,2567024
나미비아,2020-04-10,16.0,,,0.026,,,,66.67,3.94,2567024
나미비아,2020-04-11,16.0,,,0.0286,,,,66.67,3.94,2567024
나미비아,2020-04-12,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-04-13,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-04-14,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-04-15,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-04-16,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-04-17,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-18,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-19,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-20,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-21,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-22,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-23,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-24,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-25,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-26,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-27,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-28,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-29,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-04-30,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-05-01,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-05-02,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-05-03,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-05-04,16.0,,,0.0,,,,73.15,3.94,2567024
나미비아,2020-05-05,16.0,,,0.0,,,,68.52,3.94,2567024
나미비아,2020-05-06,16.0,,,0.0,,,,68.52,3.94,2567024
나미비아,2020-05-07,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-08,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-09,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-10,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-11,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-12,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-13,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-14,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-15,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-16,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-17,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-18,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-19,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-20,16.0,,,0.0,,,,66.67,3.94,2567024
나미비아,2020-05-21,16.0,,,0.003,,,,66.67,3.94,2567024
나미비아,2020-05-22,18.0,,,0.0048,,,,66.67,3.94,2567024
나미비아,2020-05-23,19.0,,,0.0068,,,,66.67,3.94,2567024
나미비아,2020-05-24,20.0,,,0.0078,,,,66.67,3.94,2567024
나미비아,2020-05-25,21.0,,,0.0071,,,,66.67,3.94,2567024
나미비아,2020-05-26,21.0,,,0.0067,,,,66.67,3.94,2567024
나미비아,2020-05-27,21.0,,,0.0097,,,,66.67,3.94,2567024
나미비아,2020-05-28,22.0,,,0.0058,,,,66.67,3.94,2567024
나미비아,2020-05-29,23.0,,,0.0061,,,,66.67,3.94,2567024
나미비아,2020-05-30,23.0,,,0.0043,,,,66.67,3.94,2567024
나미비아,2020-05-31,23.0,,,0.0046,,,,66.67,3.94,2567024
나미비아,2020-06-01,24.0,,,0.0047,,,,58.33,3.94,2567024
나미비아,2020-06-02,25.0,,,0.0049,,,,66.67,3.94,2567024
나미비아,2020-06-03,25.0,,,0.0033,,,,62.96,3.94,2567024
나미비아,2020-06-04,25.0,,,0.0035,,,,62.96,3.94,2567024
나미비아,2020-06-05,25.0,,,0.002,,,,62.96,3.94,2567024
나미비아,2020-06-06,25.0,,,0.0058,,,,62.96,3.94,2567024
나미비아,2020-06-07,29.0,,,0.0046,,,,62.96,3.94,2567024
나미비아,2020-06-08,29.0,,,0.0062,,,,62.96,3.94,2567024
나미비아,2020-06-09,31.0,,,0.0062,,,,62.96,3.94,2567024
나미비아,2020-06-10,31.0,,,0.0062,,,,62.96,3.94,2567024
나미비아,2020-06-11,31.0,,,0.0055,,,,62.96,3.94,2567024
나미비아,2020-06-12,31.0,,,0.0054,,,,62.96,3.94,2567024
나미비아,2020-06-13,31.0,,,0.0027,,,,62.96,3.94,2567024
나미비아,2020-06-14,32.0,,,0.0028,,,,62.96,3.94,2567024
나미비아,2020-06-15,32.0,,,0.0011,,,,62.96,3.94,2567024
나미비아,2020-06-16,32.0,,,0.0032,,,,62.96,3.94,2567024
나미비아,2020-06-17,34.0,,,0.0049,,,,62.96,3.94,2567024
나미비아,2020-06-18,36.0,,,0.0076,,,,62.96,3.94,2567024
나미비아,2020-06-19,39.0,,,0.014,,,,62.96,3.94,2567024
나미비아,2020-06-20,45.0,,,0.0121,,,,62.96,3.94,2567024
나미비아,2020-06-21,45.0,,,0.0198,,,,62.96,3.94,2567024
나미비아,2020-06-22,55.0,,,0.0214,,,,62.96,3.94,2567024
나미비아,2020-06-23,63.0,,,0.0235,,,,54.63,3.94,2567024
나미비아,2020-06-24,72.0,,,0.0245,,,,54.63,3.94,2567024
나미비아,2020-06-25,76.0,,,0.038,,,,54.63,3.94,2567024
나미비아,2020-06-26,102.0,,1.54,0.0478,,,,54.63,3.94,2567024
나미비아,2020-06-27,121.0,,1.54,0.063,,,,54.63,3.94,2567024
나미비아,2020-06-28,136.0,,1.54,0.0756,,,,54.63,3.94,2567024
나미비아,2020-06-29,202.0,,1.53,0.0841,,,,51.85,3.94,2567024
나미비아,2020-06-30,202.0,,1.53,0.0841,,,,51.85,3.94,2567024
