location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
노르웨이,2020-01-03,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-04,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-05,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-06,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-07,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-08,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-09,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-10,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-11,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-12,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-13,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-14,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-15,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-16,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-17,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-18,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-19,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-20,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-21,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-22,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-23,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-24,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-25,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-26,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-27,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-28,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-29,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-30,,,,,,,,0.0,5.31,5434324
노르웨이,2020-01-31,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-01,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-02,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-03,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-04,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-05,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-06,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-07,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-08,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-09,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-10,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-11,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-12,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-13,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-14,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-15,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-16,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-17,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-18,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-19,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-20,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-21,,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-22,1.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-23,1.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-24,1.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-25,1.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-26,1.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-27,4.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-28,6.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-02-29,15.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-01,21.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-02,31.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-03,43.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-04,74.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-05,107.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-06,140.0,,,,,,,11.11,5.31,5434324
노르웨이,2020-03-07,164.0,,2.93,,,,,11.11,5.31,5434324
