location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
누벨칼레도니,2020-01-03,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-04,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-05,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-06,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-07,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-08,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-09,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-10,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-11,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-12,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-13,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-14,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-15,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-16,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-17,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-18,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-19,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-20,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-21,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-22,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-23,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-24,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-25,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-26,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-27,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-28,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-29,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-30,,,,,,,,,23.36,289959
누벨칼레도니,2020-01-31,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-01,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-02,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-03,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-04,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-05,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-06,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-07,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-08,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-09,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-10,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-11,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-12,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-13,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-14,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-15,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-16,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-17,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-18,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-19,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-20,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-21,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-22,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-23,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-24,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-25,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-26,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-27,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-28,,,,,,,,,23.36,289959
누벨칼레도니,2020-02-29,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-01,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-02,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-03,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-04,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-05,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-06,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-07,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-08,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-09,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-10,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-11,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-12,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-13,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-14,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-15,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-16,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-17,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-18,,,,,,,,,23.36,289959
누벨칼레도니,2020-03-19,2.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-20,2.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-21,2.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-22,4.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-23,5.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-24,8.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-25,10.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-26,14.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-27,14.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-28,15.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-29,15.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-30,15.0,,,,,,,,23.36,289959
누벨칼레도니,2020-03-31,15.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-01,16.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-02,16.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-03,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-04,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-05,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-06,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-07,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-08,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-09,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-10,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-11,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-12,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-13,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-14,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-15,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-16,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-17,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-18,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-19,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-20,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-21,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-22,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-23,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-24,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-25,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-26,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-27,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-28,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-29,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-04-30,18.0,,,,,,,,23.36,289959
누벨칼레도니,2020-05-01,18.0,,,,,,,,23.36,289959
