location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
뉴질랜드,2020-01-03,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-04,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-05,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-06,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-07,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-08,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-09,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-10,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-11,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-12,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-13,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-14,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-15,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-16,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-17,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-18,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-19,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-20,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-21,,,,,,,,0.0,8.08,5185289
뉴질랜드,2020-01-22,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-23,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-24,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-25,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-26,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-27,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-28,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-29,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-30,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-01-31,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-02-01,,,,,,,,11.11,8.08,5185289
뉴질랜드,2020-02-02,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-03,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-04,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-05,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-06,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-07,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-08,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-09,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-10,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-11,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-12,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-13,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-14,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-15,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-16,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-17,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-18,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-19,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-20,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-21,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-22,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-23,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-24,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-25,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-26,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-27,,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-28,1.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-02-29,1.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-01,1.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-02,1.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-03,1.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-04,2.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-05,3.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-06,4.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-07,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-08,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-09,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-10,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-11,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-12,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-13,5.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-14,6.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-15,8.0,,,,,,,19.44,8.08,5185289
뉴질랜드,2020-03-16,8.0,,,,,,,36.11,8.08,5185289
뉴질랜드,2020-03-17,12.0,,,,,,,36.11,8.08,5185289
뉴질랜드,2020-03-18,20.0,,,,,,,36.11,8.08,5185289
뉴질랜드,2020-03-19,28.0,,,,,,,36.11,8.08,5185289
뉴질랜드,2020-03-20,39.0,,,,,,,38.89,8.08,5185289
뉴질랜드,2020-03-21,52.0,,,,,,,58.33,8.08,5185289
뉴질랜드,2020-03-22,66.0,,,,,,,58.33,8.08,5185289
뉴질랜드,2020-03-23,102.0,,1.95,,,,,79.63,8.08,5185289
뉴질랜드,2020-03-24,142.0,,1.98,,,,,87.04,8.08,5185289
뉴질랜드,2020-03-25,189.0,,1.96,,,,,90.74,8.08,5185289
뉴질랜드,2020-03-26,262.0,,1.92,,,,,96.3,8.08,5185289
뉴질랜드,2020-03-27,338.0,,1.86,,,,,96.3,8.08,5185289
