location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
대만,2020-01-16,,,,,,,,8.33,,23893396
대만,2020-01-17,,,,,,,,8.33,,23893396
대만,2020-01-18,,,,,,,,8.33,,23893396
대만,2020-01-19,,,,,,,,8.33,,23893396
대만,2020-01-20,,,,,,,,13.89,,23893396
대만,2020-01-21,,,,,,,,13.89,,23893396
대만,2020-01-22,,,,,,,,13.89,,23893396
대만,2020-01-23,,,,,,,,19.44,,23893396
대만,2020-01-24,,,,,,,,19.44,,23893396
대만,2020-01-25,,,,,,,,19.44,,23893396
대만,2020-01-26,,,,,,,,19.44,,23893396
대만,2020-01-27,,,,,,,,19.44,,23893396
대만,2020-01-28,,,,0.0118,,,,19.44,,23893396
대만,2020-01-29,,,,0.0106,,,,19.44,,23893396
대만,2020-01-30,,,,0.0117,,,,19.44,,23893396
대만,2020-01-31,,,,0.0096,,,,19.44,,23893396
대만,2020-02-01,,,,0.0097,,,,19.44,,23893396
대만,2020-02-02,,,,0.009,,,,30.56,,23893396
대만,2020-02-03,,,,0.0074,,,,30.56,,23893396
대만,2020-02-04,,,,0.0044,,,,30.56,,23893396
대만,2020-02-05,,,,0.0041,,,,30.56,,23893396
대만,2020-02-06,,,,0.0098,,,,30.56,,23893396
대만,2020-02-07,,,,0.0073,,,,30.56,,23893396
대만,2020-02-08,,,,0.0073,,,,30.56,,23893396
대만,2020-02-09,,,,0.0078,,,,30.56,,23893396
대만,2020-02-10,,,,0.0073,,,,30.56,,23893396
대만,2020-02-11,,,,0.006,,,,30.56,,23893396
대만,2020-02-12,,,,0.0062,,,,30.56,,23893396
대만,2020-02-13,,,,0.0017,,,,30.56,,23893396
대만,2020-02-14,,,,0.0019,,,,30.56,,23893396
대만,2020-02-15,,,,0.0011,,,,30.56,,23893396
대만,2020-02-16,,,,0.0023,,,,30.56,,23893396
대만,2020-02-17,,,,0.0027,,,,30.56,,23893396
대만,2020-02-18,,,,0.0018,,,,30.56,,23893396
대만,2020-02-19,,,,0.0018,,,,30.56,,23893396
대만,2020-02-20,,,,0.0018,,,,30.56,,23893396
대만,2020-02-21,,,,0.002,,,,30.56,,23893396
대만,2020-02-22,,,,0.0018,,,,30.56,,23893396
대만,2020-02-23,,,,0.0017,,,,30.56,,23893396
대만,2020-02-24,,,,0.0018,,,,30.56,,23893396
대만,2020-02-25,,,,0.0021,,,,23.15,,23893396
대만,2020-02-26,,,,0.0022,,,,23.15,,23893396
대만,2020-02-27,,,,0.0021,,,,23.15,,23893396
대만,2020-02-28,,,,0.0023,,,,23.15,,23893396
대만,2020-02-29,,,,0.0037,,,,23.15,,23893396
대만,2020-03-01,,,,0.0033,,,,23.15,,23893396
대만,2020-03-02,,,,0.0031,,,,23.15,,23893396
대만,2020-03-03,,,,0.0032,,,,23.15,,23893396
대만,2020-03-04,,,,0.0029,,,,23.15,,23893396
대만,2020-03-05,,,,0.0038,,,,28.7,,23893396
대만,2020-03-06,,,,0.0034,,,,28.7,,23893396
대만,2020-03-07,,,,0.002,,,,28.7,,23893396
대만,2020-03-08,,,,0.0017,,,,28.7,,23893396
대만,2020-03-09,,,,0.0015,,,,28.7,,23893396
대만,2020-03-10,,,,0.0019,,,,28.7,,23893396
대만,2020-03-11,,,,0.0024,,,,28.7,,23893396
대만,2020-03-12,,,,0.0017,,,,28.7,,23893396
대만,2020-03-13,,,,0.0017,,,,28.7,,23893396
대만,2020-03-14,,,,0.0026,,,,28.7,,23893396
대만,2020-03-15,,,,0.0046,,,,28.7,,23893396
대만,2020-03-16,,,,0.0066,,,,28.7,,23893396
대만,2020-03-17,,,,0.0078,,,,28.7,,23893396
대만,2020-03-18,,,,0.0113,,,,28.7,,23893396
대만,2020-03-19,,,1.04,0.0112,,,,31.48,,23893396
대만,2020-03-20,,,1.04,0.0137,,,,31.48,,23893396
대만,2020-03-21,,,1.02,0.0145,,,,31.48,,23893396
대만,2020-03-22,,,1.0,0.0149,,,,31.48,,23893396
대만,2020-03-23,,,0.99,0.0164,,,,31.48,,23893396
대만,2020-03-24,,,0.96,0.0176,,,,31.48,,23893396
대만,2020-03-25,,,0.94,0.0178,,,,31.48,,23893396
대만,2020-03-26,,,0.91,0.0201,,,,31.48,,23893396
대만,2020-03-27,,,0.88,0.0198,,,,31.48,,23893396
대만,2020-03-28,,,0.84,0.0212,,,,31.48,,23893396
대만,2020-03-29,,,0.81,0.021,,,,31.48,,23893396
대만,2020-03-30,,,0.78,0.0184,,,,31.48,,23893396
대만,2020-03-31,,,0.76,0.0177,,,,31.48,,23893396
대만,2020-04-01,,,0.73,0.0154,,,,31.48,,23893396
대만,2020-04-02,,,0.7,0.0145,,,,31.48,,23893396
대만,2020-04-03,,,0.67,0.0135,,,,31.48,,23893396
대만,2020-04-04,,,0.64,0.0113,,,,31.48,,23893396
대만,2020-04-05,,,0.62,0.0101,,,,31.48,,23893396
대만,2020-04-06,,,0.6,0.0093,,,,31.48,,23893396
대만,2020-04-07,,,0.57,0.0068,,,,31.48,,23893396
대만,2020-04-08,,,0.55,0.0058,,,,31.48,,23893396
대만,2020-04-09,,,0.52,0.0044,,,,31.48,,23893396
대만,2020-04-10,,,0.5,0.0034,,,,31.48,,23893396
대만,2020-04-11,,,0.49,0.0029,,,,31.48,,23893396
대만,2020-04-12,,,0.48,0.0025,,,,31.48,,23893396
대만,2020-04-13,,,0.46,0.0021,,,,31.48,,23893396
대만,2020-04-14,,,0.45,0.0019,,,,31.48,,23893396
대만,2020-04-15,,,0.44,0.0019,,,,31.48,,23893396
대만,2020-04-16,,,0.42,0.0019,,,,31.48,,23893396
대만,2020-04-17,,,0.42,0.0019,,,,31.48,,23893396
대만,2020-04-18,,,0.41,0.002,,,,31.48,,23893396
대만,2020-04-19,,,0.41,0.005,,,,31.48,,23893396
대만,2020-04-20,,,0.4,0.0042,,,,31.48,,23893396
