location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
대한민국,2020-01-03,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-04,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-05,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-06,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-07,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-08,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-09,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-10,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-11,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-12,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-13,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-14,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-15,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-16,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-17,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-18,,,,,,,,0.0,6.8,51815808
대한민국,2020-01-19,1.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-20,1.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-21,1.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-22,1.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-23,1.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-24,2.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-25,2.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-26,3.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-27,4.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-28,4.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-29,4.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-30,7.0,,,,,,,0.0,6.8,51815808
대한민국,2020-01-31,11.0,,,,,,,2.78,6.8,51815808
대한민국,2020-02-01,12.0,,,,,,,13.89,6.8,51815808
대한민국,2020-02-02,15.0,,,,,,,13.89,6.8,51815808
대한민국,2020-02-03,15.0,,,,,,,23.15,6.8,51815808
