location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
덴마크,2020-01-03,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-04,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-05,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-06,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-07,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-08,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-09,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-10,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-11,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-12,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-13,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-14,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-15,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-16,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-17,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-18,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-19,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-20,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-21,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-22,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-23,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-24,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-25,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-26,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-27,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-28,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-29,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-30,,,,,,,,0.0,6.41,5882259
덴마크,2020-01-31,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-01,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-02,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-03,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-04,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-05,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-06,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-07,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-08,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-09,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-10,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-11,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-12,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-13,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-14,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-15,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-16,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-17,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-18,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-19,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-20,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-21,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-22,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-23,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-24,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-25,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-26,,,,,,,,0.0,6.41,5882259
덴마크,2020-02-27,,,,,,,,11.11,6.41,5882259
덴마크,2020-02-28,1.0,,,,,,,11.11,6.41,5882259
덴마크,2020-02-29,1.0,,,,,,,11.11,6.41,5882259
덴마크,2020-03-01,3.0,,,,,,,11.11,6.41,5882259
덴마크,2020-03-02,4.0,,,,,,,11.11,6.41,5882259
덴마크,2020-03-03,4.0,,,0.0128,,,,20.37,6.41,5882259
덴마크,2020-03-04,6.0,,,0.0191,,,,20.37,6.41,5882259
덴마크,2020-03-05,10.0,,,0.0171,,,,20.37,6.41,5882259
덴마크,2020-03-06,10.0,,,0.0374,,,,25.93,6.41,5882259
덴마크,2020-03-07,23.0,,,0.0321,,,,25.93,6.41,5882259
덴마크,2020-03-08,23.0,,,0.0385,,,,25.93,6.41,5882259
덴마크,2020-03-09,35.0,,,0.0661,,,,25.93,6.41,5882259
덴마크,2020-03-10,90.0,,,0.1252,,,,31.48,6.41,5882259
덴마크,2020-03-11,262.0,,1.81,0.1524,,,,37.96,6.41,5882259
덴마크,2020-03-12,340.0,1.0,1.76,0.1778,,,,37.96,6.41,5882259
덴마크,2020-03-13,674.0,1.0,1.69,0.195,,,,62.96,6.41,5882259
덴마크,2020-03-14,801.0,1.0,1.62,0.18,,,,65.74,6.41,5882259
덴마크,2020-03-15,827.0,2.0,1.55,0.167,,,,65.74,6.41,5882259
덴마크,2020-03-16,864.0,4.0,1.5,0.1527,,,,65.74,6.41,5882259
덴마크,2020-03-17,898.0,5.0,1.46,0.129,,,,65.74,6.41,5882259
덴마크,2020-03-18,977.0,6.0,1.43,0.1045,,,,72.22,6.41,5882259
덴마크,2020-03-19,1057.0,9.0,1.41,0.076,,,,72.22,6.41,5882259
덴마크,2020-03-20,1151.0,14.0,1.4,0.0603,,,,72.22,6.41,5882259
덴마크,2020-03-21,1255.0,18.0,1.4,0.0661,,,,72.22,6.41,5882259
