location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
독일,2020-01-03,,,,,,,,0.0,8.31,83369840
독일,2020-01-04,1.0,,,,,,,0.0,8.31,83369840
독일,2020-01-05,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-06,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-07,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-08,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-09,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-10,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-11,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-12,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-13,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-14,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-15,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-16,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-17,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-18,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-19,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-20,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-21,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-22,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-23,1.0,3.0,,,,,,0.0,8.31,83369840
독일,2020-01-24,1.0,3.0,,,,,,5.56,8.31,83369840
독일,2020-01-25,1.0,3.0,,,,,,5.56,8.31,83369840
독일,2020-01-26,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-01-27,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-01-28,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-01-29,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-01-30,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-01-31,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-02-01,2.0,6.0,,,,,,5.56,8.31,83369840
독일,2020-02-02,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-03,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-04,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-05,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-06,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-07,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-08,11.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-09,20.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-10,20.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-11,20.0,9.0,,,,,,5.56,8.31,83369840
독일,2020-02-12,20.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-13,20.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-14,20.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-15,20.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-16,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-17,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-18,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-19,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-20,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-21,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-22,25.0,9.0,,,,,,11.11,8.31,83369840
독일,2020-02-23,31.0,10.0,,,,,,11.11,8.31,83369840
독일,2020-02-24,31.0,10.0,,,,,,11.11,8.31,83369840
독일,2020-02-25,31.0,10.0,,,,,,11.11,8.31,83369840
독일,2020-02-26,31.0,10.0,,,,,,16.67,8.31,83369840
독일,2020-02-27,31.0,10.0,,,,,,16.67,8.31,83369840
독일,2020-02-28,31.0,10.0,,,,,,19.44,8.31,83369840
독일,2020-02-29,31.0,10.0,,,,,,25.0,8.31,83369840
독일,2020-03-01,170.0,11.0,,,,,,25.0,8.31,83369840
독일,2020-03-02,170.0,11.0,2.93,,,,,25.0,8.31,83369840
독일,2020-03-03,170.0,11.0,2.96,,,,,25.0,8.31,83369840
독일,2020-03-04,170.0,11.0,2.99,,,,,25.0,8.31,83369840
독일,2020-03-05,170.0,11.0,3.0,,,,,25.0,8.31,83369840
독일,2020-03-06,170.0,11.0,2.99,,,,,25.0,8.31,83369840
독일,2020-03-07,170.0,11.0,2.92,,,,,25.0,8.31,83369840
독일,2020-03-08,1075.0,23.0,2.85,,,,,25.0,8.31,83369840
독일,2020-03-09,1075.0,23.0,2.83,,,,,28.7,8.31,83369840
독일,2020-03-10,1075.0,23.0,2.81,,,,,32.87,8.31,83369840
독일,2020-03-11,1075.0,23.0,2.82,,,,,32.87,8.31,83369840
독일,2020-03-12,1075.0,23.0,2.84,,,,,32.87,8.31,83369840
독일,2020-03-13,1075.0,23.0,2.79,,,,,32.87,8.31,83369840
독일,2020-03-14,1075.0,23.0,2.76,,,,,32.87,8.31,83369840
독일,2020-03-15,7516.0,107.0,2.72,0.058,,,,32.87,8.31,83369840
독일,2020-03-16,7516.0,107.0,2.65,,,,,42.13,8.31,83369840
독일,2020-03-17,7516.0,107.0,2.57,,,,,42.13,8.31,83369840
독일,2020-03-18,7516.0,107.0,2.49,,,,,52.31,8.31,83369840
독일,2020-03-19,7516.0,107.0,2.44,,,,,55.09,8.31,83369840
독일,2020-03-20,7516.0,107.0,2.37,,,,,57.87,8.31,83369840
독일,2020-03-21,7516.0,107.0,2.3,,,,,68.06,8.31,83369840
독일,2020-03-22,29923.0,586.0,2.24,0.069,,,,76.85,8.31,83369840
독일,2020-03-23,29923.0,586.0,2.18,,,,,76.85,8.31,83369840
독일,2020-03-24,29923.0,586.0,2.1,,,,,76.85,8.31,83369840
독일,2020-03-25,29923.0,586.0,1.98,,,,,76.85,8.31,83369840
독일,2020-03-26,29923.0,586.0,1.86,,,,,76.85,8.31,83369840
독일,2020-03-27,29923.0,586.0,1.77,,,,,76.85,8.31,83369840
독일,2020-03-28,29923.0,586.0,1.7,,,,,76.85,8.31,83369840
독일,2020-03-29,63904.0,2045.0,1.61,0.088,,,,76.85,8.31,83369840
독일,2020-03-30,63904.0,2045.0,1.54,,,,,76.85,8.31,83369840
독일,2020-03-31,63904.0,2045.0,1.46,,,,,76.85,8.31,83369840
독일,2020-04-01,63904.0,2045.0,1.39,,,,,76.85,8.31,83369840
독일,2020-04-02,63904.0,2045.0,1.31,,,,,76.85,8.31,83369840
독일,2020-04-03,63904.0,2045.0,1.25,,,,,76.85,8.31,83369840
독일,2020-04-04,63904.0,2045.0,1.21,,,,,76.85,8.31,83369840
독일,2020-04-05,99971.0,4318.0,1.17,0.09,,,,76.85,8.31,83369840
독일,2020-04-06,99971.0,4318.0,1.1,,,,,76.85,8.31,83369840
독일,2020-04-07,99971.0,4318.0,1.05,,,,,76.85,8.31,83369840
독일,2020-04-08,99971.0,4318.0,0.99,,,,,76.85,8.31,83369840
독일,2020-04-09,99971.0,4318.0,0.94,,,,,76.85,8.31,83369840
독일,2020-04-10,99971.0,4318.0,0.91,,,,,76.85,8.31,83369840
독일,2020-04-11,99971.0,4318.0,0.87,,,,,76.85,8.31,83369840
독일,2020-04-12,127116.0,6196.0,0.85,0.08,,,,76.85,8.31,83369840
독일,2020-04-13,127116.0,6196.0,0.82,,,,,76.85,8.31,83369840
독일,2020-04-14,127116.0,6196.0,0.8,,,,,76.85,8.31,83369840
독일,2020-04-15,127116.0,6196.0,0.78,,,,,76.85,8.31,83369840
독일,2020-04-16,127116.0,6196.0,0.76,,,,,76.85,8.31,83369840
독일,2020-04-17,127116.0,6196.0,0.76,,,,,76.85,8.31,83369840
독일,2020-04-18,127116.0,6196.0,0.76,,,,,76.85,8.31,83369840
독일,2020-04-19,144461.0,7422.0,0.76,0.067,,,,76.85,8.31,83369840
독일,2020-04-20,144461.0,7422.0,0.75,,,,,76.85,8.31,83369840
독일,2020-04-21,144461.0,7422.0,0.73,,,,,76.85,8.31,83369840
독일,2020-04-22,144461.0,7422.0,0.72,,,,,76.85,8.31,83369840
독일,2020-04-23,144461.0,7422.0,0.7,,,,,76.85,8.31,83369840
독일,2020-04-24,144461.0,7422.0,0.69,,,,,76.85,8.31,83369840
독일,2020-04-25,144461.0,7422.0,0.68,,,,,76.85,8.31,83369840
독일,2020-04-26,156812.0,8149.0,0.68,0.05,,,,76.85,8.31,83369840
독일,2020-04-27,156812.0,8149.0,0.67,,,,,76.85,8.31,83369840
독일,2020-04-28,156812.0,8149.0,0.66,,,,,76.85,8.31,83369840
독일,2020-04-29,156812.0,8149.0,0.65,,,,,76.85,8.31,83369840
독일,2020-04-30,156812.0,8149.0,0.64,,,,,76.85,8.31,83369840
독일,2020-05-01,156812.0,8149.0,0.63,,,,,76.85,8.31,83369840
독일,2020-05-02,156812.0,8149.0,0.63,,,,,76.85,8.31,83369840
독일,2020-05-03,164254.0,8537.0,0.64,0.038,,,,75.46,8.31,83369840
독일,2020-05-04,164254.0,8537.0,0.65,,,,,71.76,8.31,83369840
독일,2020-05-05,164254.0,8537.0,0.66,,,,,71.76,8.31,83369840
독일,2020-05-06,164254.0,8537.0,0.68,,,,,66.2,8.31,83369840
독일,2020-05-07,164254.0,8537.0,0.69,,,,,64.35,8.31,83369840
독일,2020-05-08,164254.0,8537.0,0.7,,,,,64.35,8.31,83369840
독일,2020-05-09,164254.0,8537.0,0.71,,,,,64.35,8.31,83369840
독일,2020-05-10,170497.0,8795.0,0.71,0.026,,,,64.35,8.31,83369840
독일,2020-05-11,170497.0,8795.0,0.72,,,,,64.35,8.31,83369840
