location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
라트비아,2020-01-03,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-04,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-05,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-06,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-07,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-08,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-09,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-10,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-11,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-12,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-13,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-14,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-15,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-16,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-17,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-18,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-19,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-20,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-21,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-22,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-23,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-24,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-25,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-26,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-27,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-28,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-29,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-30,,,,,,,,0.0,4.91,1850654
라트비아,2020-01-31,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-01,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-02,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-03,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-04,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-05,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-06,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-07,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-08,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-09,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-10,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-11,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-12,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-13,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-14,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-15,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-16,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-17,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-18,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-19,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-20,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-21,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-22,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-23,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-24,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-25,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-26,,,,,,,,2.78,4.91,1850654
라트비아,2020-02-27,,,,,,,,8.33,4.91,1850654
라트비아,2020-02-28,,,,,,,,8.33,4.91,1850654
라트비아,2020-02-29,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-01,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-02,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-03,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-04,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-05,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-06,,,,,,,,8.33,4.91,1850654
라트비아,2020-03-07,,,,0.0049,,,,8.33,4.91,1850654
라트비아,2020-03-08,3.0,,,0.0092,,,,8.33,4.91,1850654
라트비아,2020-03-09,3.0,,,0.0216,,,,8.33,4.91,1850654
라트비아,2020-03-10,3.0,,,0.0286,,,,8.33,4.91,1850654
라트비아,2020-03-11,3.0,,,0.0348,,,,11.11,4.91,1850654
라트비아,2020-03-12,3.0,,,0.0299,,,,11.11,4.91,1850654
라트비아,2020-03-13,3.0,,,0.0401,,,,49.07,4.91,1850654
라트비아,2020-03-14,3.0,,,0.0357,,,,51.85,4.91,1850654
라트비아,2020-03-15,30.0,,,0.0278,,,,51.85,4.91,1850654
라트비아,2020-03-16,30.0,,,0.0213,,,,51.85,4.91,1850654
라트비아,2020-03-17,30.0,,,0.0234,,,,57.41,4.91,1850654
라트비아,2020-03-18,30.0,,,0.0248,,,,57.41,4.91,1850654
라트비아,2020-03-19,30.0,,,0.0245,,,,57.41,4.91,1850654
라트비아,2020-03-20,30.0,,,0.0256,,,,57.41,4.91,1850654
라트비아,2020-03-21,30.0,,1.28,0.0206,,,,57.41,4.91,1850654
라트비아,2020-03-22,136.0,,1.28,0.0209,,,,57.41,4.91,1850654
라트비아,2020-03-23,136.0,,1.29,0.0241,,,,57.41,4.91,1850654
라트비아,2020-03-24,136.0,,1.27,0.023,,,,61.11,4.91,1850654
라트비아,2020-03-25,136.0,,1.26,0.0219,,,,61.11,4.91,1850654
라트비아,2020-03-26,136.0,,1.24,0.0228,,,,61.11,4.91,1850654
라트비아,2020-03-27,136.0,,1.23,0.0231,,,,61.11,4.91,1850654
라트비아,2020-03-28,136.0,,1.21,0.0259,,,,61.11,4.91,1850654
라트비아,2020-03-29,347.0,,1.19,0.0288,,,,61.11,4.91,1850654
라트비아,2020-03-30,347.0,,1.16,0.0299,,,,61.11,4.91,1850654
라트비아,2020-03-31,347.0,,1.13,0.0326,,,,61.11,4.91,1850654
라트비아,2020-04-01,347.0,,1.09,0.0374,,,,61.11,4.91,1850654
라트비아,2020-04-02,347.0,,1.05,0.0344,,,,61.11,4.91,1850654
라트비아,2020-04-03,347.0,,1.02,0.0328,,,,61.11,4.91,1850654
라트비아,2020-04-04,347.0,,0.98,0.0308,,,,61.11,4.91,1850654
라트비아,2020-04-05,534.0,2.0,0.95,0.0271,,,,61.11,4.91,1850654
라트비아,2020-04-06,534.0,2.0,0.93,0.0232,,,,61.11,4.91,1850654
라트비아,2020-04-07,534.0,2.0,0.91,0.0193,,,,61.11,4.91,1850654
라트비아,2020-04-08,534.0,2.0,0.9,0.0159,,,,61.11,4.91,1850654
라트비아,2020-04-09,534.0,2.0,0.88,0.0152,,,,61.11,4.91,1850654
라트비아,2020-04-10,534.0,2.0,0.87,0.0141,,,,61.11,4.91,1850654
라트비아,2020-04-11,534.0,2.0,0.86,0.0144,,,,61.11,4.91,1850654
라트비아,2020-04-12,652.0,7.0,0.85,0.0157,,,,61.11,4.91,1850654
라트비아,2020-04-13,652.0,7.0,0.83,0.0154,,,,61.11,4.91,1850654
라트비아,2020-04-14,652.0,7.0,0.83,0.0169,,,,61.11,4.91,1850654
라트비아,2020-04-15,652.0,7.0,0.83,0.0152,,,,61.11,4.91,1850654
라트비아,2020-04-16,652.0,7.0,0.84,0.0147,,,,61.11,4.91,1850654
라트비아,2020-04-17,652.0,7.0,0.86,0.0113,,,,61.11,4.91,1850654
라트비아,2020-04-18,652.0,7.0,0.88,0.0119,,,,61.11,4.91,1850654
라트비아,2020-04-19,728.0,8.0,0.88,0.0099,,,,61.11,4.91,1850654
라트비아,2020-04-20,728.0,8.0,0.88,0.0106,,,,61.11,4.91,1850654
라트비아,2020-04-21,728.0,8.0,0.88,0.0102,,,,61.11,4.91,1850654
라트비아,2020-04-22,728.0,8.0,0.88,0.0101,,,,61.11,4.91,1850654
라트비아,2020-04-23,728.0,8.0,0.88,0.0106,,,,61.11,4.91,1850654
라트비아,2020-04-24,728.0,8.0,0.87,0.01,,,,61.11,4.91,1850654
라트비아,2020-04-25,728.0,8.0,0.87,0.0083,,,,61.11,4.91,1850654
라트비아,2020-04-26,813.0,13.0,0.87,0.0072,,,,61.11,4.91,1850654
라트비아,2020-04-27,813.0,13.0,0.87,0.0063,,,,61.11,4.91,1850654
라트비아,2020-04-28,813.0,13.0,0.87,0.0065,,,,61.11,4.91,1850654
라트비아,2020-04-29,813.0,13.0,0.86,0.0057,,,,61.11,4.91,1850654
라트비아,2020-04-30,813.0,13.0,0.85,0.0048,,,,61.11,4.91,1850654
라트비아,2020-05-01,813.0,13.0,0.84,0.0048,,,,61.11,4.91,1850654
라트비아,2020-05-02,813.0,13.0,0.83,0.0039,,,,61.11,4.91,1850654
라트비아,2020-05-03,880.0,16.0,0.84,0.004,,,,61.11,4.91,1850654
라트비아,2020-05-04,880.0,16.0,0.85,0.0048,,,,61.11,4.91,1850654
라트비아,2020-05-05,880.0,16.0,0.85,0.0041,,,,61.11,4.91,1850654
라트비아,2020-05-06,880.0,16.0,0.85,0.0037,,,,61.11,4.91,1850654
라트비아,2020-05-07,880.0,16.0,0.86,0.0039,,,,61.11,4.91,1850654
라트비아,2020-05-08,880.0,16.0,0.88,0.0049,,,,61.11,4.91,1850654
라트비아,2020-05-09,880.0,16.0,0.87,0.0047,,,,61.11,4.91,1850654
라트비아,2020-05-10,940.0,18.0,0.88,0.0049,,,,61.11,4.91,1850654
라트비아,2020-05-11,940.0,18.0,0.88,0.0043,,,,61.11,4.91,1850654
라트비아,2020-05-12,940.0,18.0,0.88,0.0042,,,,58.33,4.91,1850654
라트비아,2020-05-13,940.0,18.0,0.89,0.004,,,,58.33,4.91,1850654
라트비아,2020-05-14,940.0,18.0,0.91,0.0043,,,,58.33,4.91,1850654
라트비아,2020-05-15,940.0,18.0,0.93,0.0034,,,,55.56,4.91,1850654
라트비아,2020-05-16,940.0,18.0,0.94,0.0057,,,,55.56,4.91,1850654
라트비아,2020-05-17,1008.0,20.0,0.91,0.0058,,,,55.56,4.91,1850654
라트비아,2020-05-18,1008.0,20.0,0.88,0.0053,,,,55.56,4.91,1850654
