location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
레바논,2020-01-03,,,,,,,,0.0,12.71,5489744
레바논,2020-01-04,,,,,,,,0.0,12.71,5489744
레바논,2020-01-05,,,,,,,,0.0,12.71,5489744
레바논,2020-01-06,,,,,,,,0.0,12.71,5489744
레바논,2020-01-07,,,,,,,,0.0,12.71,5489744
레바논,2020-01-08,,,,,,,,0.0,12.71,5489744
레바논,2020-01-09,,,,,,,,0.0,12.71,5489744
레바논,2020-01-10,,,,,,,,0.0,12.71,5489744
레바논,2020-01-11,,,,,,,,0.0,12.71,5489744
레바논,2020-01-12,,,,,,,,0.0,12.71,5489744
레바논,2020-01-13,,,,,,,,0.0,12.71,5489744
레바논,2020-01-14,,,,,,,,0.0,12.71,5489744
레바논,2020-01-15,,,,,,,,0.0,12.71,5489744
레바논,2020-01-16,,,,,,,,0.0,12.71,5489744
레바논,2020-01-17,,,,,,,,0.0,12.71,5489744
레바논,2020-01-18,,,,,,,,0.0,12.71,5489744
레바논,2020-01-19,,,,,,,,0.0,12.71,5489744
레바논,2020-01-20,,,,,,,,0.0,12.71,5489744
레바논,2020-01-21,,,,,,,,0.0,12.71,5489744
레바논,2020-01-22,,,,,,,,0.0,12.71,5489744
레바논,2020-01-23,,,,,,,,0.0,12.71,5489744
레바논,2020-01-24,,,,,,,,0.0,12.71,5489744
레바논,2020-01-25,,,,,,,,0.0,12.71,5489744
레바논,2020-01-26,,,,,,,,0.0,12.71,5489744
레바논,2020-01-27,,,,,,,,0.0,12.71,5489744
레바논,2020-01-28,,,,,,,,0.0,12.71,5489744
레바논,2020-01-29,,,,,,,,0.0,12.71,5489744
레바논,2020-01-30,,,,,,,,0.0,12.71,5489744
레바논,2020-01-31,,,,,,,,0.0,12.71,5489744
레바논,2020-02-01,,,,,,,,0.0,12.71,5489744
레바논,2020-02-02,,,,,,,,0.0,12.71,5489744
레바논,2020-02-03,,,,,,,,0.0,12.71,5489744
레바논,2020-02-04,,,,,,,,0.0,12.71,5489744
레바논,2020-02-05,,,,,,,,0.0,12.71,5489744
레바논,2020-02-06,,,,,,,,0.0,12.71,5489744
레바논,2020-02-07,,,,,,,,0.0,12.71,5489744
레바논,2020-02-08,,,,,,,,2.78,12.71,5489744
레바논,2020-02-09,,,,,,,,2.78,12.71,5489744
레바논,2020-02-10,,,,,,,,2.78,12.71,5489744
레바논,2020-02-11,,,,,,,,2.78,12.71,5489744
레바논,2020-02-12,,,,,,,,2.78,12.71,5489744
레바논,2020-02-13,,,,,,,,2.78,12.71,5489744
레바논,2020-02-14,,,,,,,,2.78,12.71,5489744
레바논,2020-02-15,,,,,,,,2.78,12.71,5489744
레바논,2020-02-16,,,,,,,,2.78,12.71,5489744
레바논,2020-02-17,,,,,,,,2.78,12.71,5489744
레바논,2020-02-18,,,,,,,,2.78,12.71,5489744
레바논,2020-02-19,,,,,,,,2.78,12.71,5489744
레바논,2020-02-20,,,,,,,,2.78,12.71,5489744
레바논,2020-02-21,,,,,,,,8.33,12.71,5489744
레바논,2020-02-22,,,,,,,,8.33,12.71,5489744
레바논,2020-02-23,1.0,,,,,,,8.33,12.71,5489744
레바논,2020-02-24,1.0,,,,,,,8.33,12.71,5489744
레바논,2020-02-25,1.0,,,,,,,8.33,12.71,5489744
레바논,2020-02-26,1.0,,,,,,,8.33,12.71,5489744
레바논,2020-02-27,2.0,,,,,,,8.33,12.71,5489744
레바논,2020-02-28,3.0,,,,,,,13.89,12.71,5489744
레바논,2020-02-29,4.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-01,7.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-02,10.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-03,13.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-04,13.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-05,13.0,,,,,,,25.0,12.71,5489744
레바논,2020-03-06,16.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-07,22.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-08,28.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-09,32.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-10,41.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-11,52.0,,,,,,,37.96,12.71,5489744
레바논,2020-03-12,66.0,3.0,,,,,,37.96,12.71,5489744
레바논,2020-03-13,73.0,3.0,,,,,,37.96,12.71,5489744
레바논,2020-03-14,77.0,3.0,,,,,,37.96,12.71,5489744
레바논,2020-03-15,93.0,3.0,,,,,,37.96,12.71,5489744
레바논,2020-03-16,99.0,3.0,1.18,,,,,52.78,12.71,5489744
레바논,2020-03-17,109.0,3.0,1.18,,,,,52.78,12.71,5489744
레바논,2020-03-18,120.0,3.0,1.18,,,,,85.19,12.71,5489744
레바논,2020-03-19,133.0,4.0,1.18,,,,,85.19,12.71,5489744
레바논,2020-03-20,149.0,4.0,1.18,,,,,85.19,12.71,5489744
레바논,2020-03-21,163.0,4.0,1.19,,,,,85.19,12.71,5489744
레바논,2020-03-22,230.0,4.0,1.19,,,,,85.19,12.71,5489744
레바논,2020-03-23,248.0,4.0,1.17,,,,,85.19,12.71,5489744
레바논,2020-03-24,267.0,4.0,1.15,,,,,85.19,12.71,5489744
