location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
레위니옹,2020-01-03,,,,,,,,,,974062
레위니옹,2020-01-04,,,,,,,,,,974062
레위니옹,2020-01-05,,,,,,,,,,974062
레위니옹,2020-01-06,,,,,,,,,,974062
레위니옹,2020-01-07,,,,,,,,,,974062
레위니옹,2020-01-08,,,,,,,,,,974062
레위니옹,2020-01-09,,,,,,,,,,974062
레위니옹,2020-01-10,,,,,,,,,,974062
레위니옹,2020-01-11,,,,,,,,,,974062
레위니옹,2020-01-12,,,,,,,,,,974062
레위니옹,2020-01-13,,,,,,,,,,974062
레위니옹,2020-01-14,,,,,,,,,,974062
레위니옹,2020-01-15,,,,,,,,,,974062
레위니옹,2020-01-16,,,,,,,,,,974062
레위니옹,2020-01-17,,,,,,,,,,974062
레위니옹,2020-01-18,,,,,,,,,,974062
레위니옹,2020-01-19,,,,,,,,,,974062
레위니옹,2020-01-20,,,,,,,,,,974062
레위니옹,2020-01-21,,,,,,,,,,974062
레위니옹,2020-01-22,,,,,,,,,,974062
레위니옹,2020-01-23,,,,,,,,,,974062
레위니옹,2020-01-24,,,,,,,,,,974062
레위니옹,2020-01-25,,,,,,,,,,974062
레위니옹,2020-01-26,,,,,,,,,,974062
레위니옹,2020-01-27,,,,,,,,,,974062
레위니옹,2020-01-28,,,,,,,,,,974062
레위니옹,2020-01-29,,,,,,,,,,974062
레위니옹,2020-01-30,,,,,,,,,,974062
레위니옹,2020-01-31,,,,,,,,,,974062
레위니옹,2020-02-01,,,,,,,,,,974062
레위니옹,2020-02-02,,,,,,,,,,974062
레위니옹,2020-02-03,,,,,,,,,,974062
레위니옹,2020-02-04,,,,,,,,,,974062
레위니옹,2020-02-05,,,,,,,,,,974062
레위니옹,2020-02-06,,,,,,,,,,974062
레위니옹,2020-02-07,,,,,,,,,,974062
레위니옹,2020-02-08,,,,,,,,,,974062
레위니옹,2020-02-09,,,,,,,,,,974062
레위니옹,2020-02-10,,,,,,,,,,974062
레위니옹,2020-02-11,,,,,,,,,,974062
레위니옹,2020-02-12,,,,,,,,,,974062
레위니옹,2020-02-13,,,,,,,,,,974062
레위니옹,2020-02-14,,,,,,,,,,974062
레위니옹,2020-02-15,,,,,,,,,,974062
레위니옹,2020-02-16,,,,,,,,,,974062
레위니옹,2020-02-17,,,,,,,,,,974062
레위니옹,2020-02-18,,,,,,,,,,974062
레위니옹,2020-02-19,,,,,,,,,,974062
레위니옹,2020-02-20,,,,,,,,,,974062
레위니옹,2020-02-21,,,,,,,,,,974062
레위니옹,2020-02-22,,,,,,,,,,974062
레위니옹,2020-02-23,,,,,,,,,,974062
레위니옹,2020-02-24,,,,,,,,,,974062
레위니옹,2020-02-25,,,,,,,,,,974062
레위니옹,2020-02-26,,,,,,,,,,974062
레위니옹,2020-02-27,,,,,,,,,,974062
레위니옹,2020-02-28,,,,,,,,,,974062
레위니옹,2020-02-29,,,,,,,,,,974062
레위니옹,2020-03-01,,,,,,,,,,974062
레위니옹,2020-03-02,,,,,,,,,,974062
레위니옹,2020-03-03,,,,,,,,,,974062
레위니옹,2020-03-04,,,,,,,,,,974062
레위니옹,2020-03-05,,,,,,,,,,974062
레위니옹,2020-03-06,,,,,,,,,,974062
레위니옹,2020-03-07,,,,,,,,,,974062
레위니옹,2020-03-08,,,,,,,,,,974062
레위니옹,2020-03-09,,,,,,,,,,974062
레위니옹,2020-03-10,,,,,,,,,,974062
레위니옹,2020-03-11,,,,,,,,,,974062
레위니옹,2020-03-12,,,,,,,,,,974062
레위니옹,2020-03-13,7.0,,,,,,,,,974062
레위니옹,2020-03-14,9.0,,,,,,,,,974062
레위니옹,2020-03-15,13.0,,,,,,,,,974062
