location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
루마니아,2020-01-03,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-04,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-05,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-06,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-07,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-08,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-09,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-10,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-11,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-12,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-13,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-14,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-15,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-16,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-17,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-18,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-19,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-20,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-21,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-22,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-23,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-24,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-25,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-26,,,,,,,,0.0,9.74,19659270
루마니아,2020-01-27,,,,,,,,2.78,9.74,19659270
루마니아,2020-01-28,,,,,,,,2.78,9.74,19659270
루마니아,2020-01-29,,,,,,,,2.78,9.74,19659270
루마니아,2020-01-30,,,,,,,,2.78,9.74,19659270
루마니아,2020-01-31,,,,,,,,2.78,9.74,19659270
루마니아,2020-02-01,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-02,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-03,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-04,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-05,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-06,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-07,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-08,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-09,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-10,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-11,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-12,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-13,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-14,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-15,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-16,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-17,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-18,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-19,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-20,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-21,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-22,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-23,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-24,,,,,,,,5.56,9.74,19659270
루마니아,2020-02-25,,,,,,,,16.67,9.74,19659270
루마니아,2020-02-26,,,,,,,,16.67,9.74,19659270
루마니아,2020-02-27,,,,,,,,16.67,9.74,19659270
루마니아,2020-02-28,3.0,,,,,,,16.67,9.74,19659270
루마니아,2020-02-29,4.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-01,4.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-02,4.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-03,4.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-04,6.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-05,6.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-06,7.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-07,13.0,,,,,,,16.67,9.74,19659270
루마니아,2020-03-08,15.0,,,,,,,30.56,9.74,19659270
루마니아,2020-03-09,17.0,,,,,,,33.33,9.74,19659270
루마니아,2020-03-10,25.0,,,,,,,33.33,9.74,19659270
루마니아,2020-03-11,45.0,,,,,,,44.44,9.74,19659270
루마니아,2020-03-12,64.0,,,,,,,58.33,9.74,19659270
루마니아,2020-03-13,89.0,,,,,,,58.33,9.74,19659270
루마니아,2020-03-14,113.0,,,,,,,58.33,9.74,19659270
루마니아,2020-03-15,139.0,,1.52,,,,,58.33,9.74,19659270
루마니아,2020-03-16,162.0,,1.62,,,,,58.33,9.74,19659270
