location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
마카오,2021-02-08,,,,,0.0,,,23.15,,695180
마카오,2021-02-09,,,,,595.0,,,23.15,,695180
마카오,2021-02-10,,,,,,,,23.15,,695180
마카오,2021-02-11,,,,,,,,23.15,,695180
마카오,2021-02-12,,,,,,,,23.15,,695180
마카오,2021-02-13,,,,,,,,23.15,,695180
마카오,2021-02-14,,,,,,,,23.15,,695180
마카오,2021-02-15,,,,,,,,23.15,,695180
마카오,2021-02-16,,,,,,,,23.15,,695180
마카오,2021-02-17,,,,,2000.0,,,23.15,,695180
마카오,2021-02-18,,,,,,,,23.15,,695180
마카오,2021-02-19,,,,,,,,23.15,,695180
마카오,2021-02-20,,,,,,,,23.15,,695180
마카오,2021-02-21,,,,,,,,23.15,,695180
마카오,2021-02-22,,,,,3700.0,,,23.15,,695180
마카오,2021-02-23,,,,,,,,23.15,,695180
마카오,2021-02-24,,,,,9284.0,,,23.15,,695180
마카오,2021-02-25,,,,,10691.0,,,23.15,,695180
마카오,2021-02-26,,,,,11982.0,,,23.15,,695180
마카오,2021-02-27,,,,,,,,23.15,,695180
마카오,2021-02-28,,,,,14426.0,,,23.15,,695180
마카오,2021-03-01,,,,,15094.0,,,23.15,,695180
마카오,2021-03-02,,,,,16044.0,,,23.15,,695180
마카오,2021-03-03,,,,,17071.0,,,23.15,,695180
마카오,2021-03-04,,,,,18098.0,,,23.15,,695180
마카오,2021-03-05,,,,,19028.0,,,23.15,,695180
마카오,2021-03-06,,,,,20218.0,,,23.15,,695180
마카오,2021-03-07,,,,,21056.0,,,23.15,,695180
마카오,2021-03-08,,,,,21840.0,,,23.15,,695180
마카오,2021-03-09,,,,,22865.0,,,23.15,,695180
마카오,2021-03-10,,,,,24040.0,,,23.15,,695180
마카오,2021-03-11,,,,,25394.0,,,23.15,,695180
마카오,2021-03-12,,,,,26440.0,,,23.15,,695180
마카오,2021-03-13,,,,,27637.0,,,23.15,,695180
마카오,2021-03-14,,,,,28767.0,,,23.15,,695180
마카오,2021-03-15,,,,,29833.0,,,23.15,,695180
마카오,2021-03-16,,,,,30913.0,,,23.15,,695180
마카오,2021-03-17,,,,,31867.0,,,23.15,,695180
마카오,2021-03-18,,,,,32841.0,,,23.15,,695180
마카오,2021-03-19,,,,,33927.0,,,23.15,,695180
마카오,2021-03-20,,,,,35271.0,,,23.15,,695180
마카오,2021-03-21,,,,,36459.0,,,23.15,,695180
마카오,2021-03-22,,,,,37707.0,,,23.15,,695180
마카오,2021-03-23,,,,,39257.0,,,23.15,,695180
마카오,2021-03-24,,,,,40701.0,,,23.15,,695180
마카오,2021-03-25,,,,,41948.0,,,23.15,,695180
마카오,2021-03-26,,,,,43211.0,,,23.15,,695180
마카오,2021-03-27,,,,,44908.0,,,23.15,,695180
마카오,2021-03-28,,,,,46286.0,,,23.15,,695180
마카오,2021-03-29,,,,,47483.0,,,23.15,,695180
마카오,2021-03-30,,,,,49308.0,,,23.15,,695180
마카오,2021-03-31,,,,,51017.0,,,23.15,,695180
마카오,2021-04-01,,,,,52772.0,,,23.15,,695180
마카오,2021-04-02,,,,,53626.0,,,23.15,,695180
마카오,2021-04-03,,,,,54704.0,,,23.15,,695180
마카오,2021-04-04,,,,,55951.0,,,23.15,,695180
마카오,2021-04-05,,,,,56530.0,,,23.15,,695180
마카오,2021-04-06,,,,,57251.0,,,23.15,,695180
마카오,2021-04-07,,,,,58676.0,41117.0,17559.0,23.15,,695180
마카오,2021-04-08,,,,,60778.0,41914.0,18864.0,23.15,,695180
마카오,2021-04-09,,,,,62893.0,42802.0,20091.0,23.15,,695180
마카오,2021-04-10,,,,,65514.0,43967.0,21547.0,23.15,,695180
마카오,2021-04-11,,,,,67431.0,44838.0,22593.0,23.15,,695180
마카오,2021-04-12,,,,,69149.0,45648.0,23501.0,23.15,,695180
마카오,2021-04-13,,,,,71196.0,46732.0,24464.0,23.15,,695180
마카오,2021-04-14,,,,,73100.0,47812.0,25288.0,23.15,,695180
마카오,2021-04-15,,,,,75087.0,48974.0,26113.0,23.15,,695180
마카오,2021-04-16,,,,,77236.0,50184.0,27052.0,23.15,,695180
마카오,2021-04-17,,,,,79921.0,51612.0,28309.0,23.15,,695180
마카오,2021-04-18,,,,,81893.0,52688.0,29205.0,23.15,,695180
마카오,2021-04-19,,,,,83257.0,53466.0,29791.0,23.15,,695180
마카오,2021-04-20,,,,,85011.0,54622.0,30389.0,23.15,,695180
마카오,2021-04-21,,,,,86653.0,55750.0,30903.0,23.15,,695180
마카오,2021-04-22,,,,,88292.0,56931.0,31361.0,23.15,,695180
마카오,2021-04-23,,,,,90063.0,58186.0,31877.0,23.15,,695180
마카오,2021-04-24,,,,,91763.0,59402.0,32361.0,23.15,,695180
마카오,2021-04-25,,,,,93688.0,60800.0,32888.0,23.15,,695180
마카오,2021-04-26,,,,,95629.0,62155.0,33474.0,23.15,,695180
마카오,2021-04-27,,,,,98021.0,64047.0,34109.0,23.15,,695180
마카오,2021-04-28,,,,,100454.0,65813.0,34776.0,23.15,,695180
마카오,2021-04-29,,,,,102444.0,67115.0,35464.0,23.15,,695180
마카오,2021-04-30,,,,,104136.0,68211.0,36062.0,23.15,,695180
마카오,2021-05-01,,,,,106197.0,69708.0,36627.0,23.15,,695180
마카오,2021-05-02,,,,,107714.0,70655.0,37197.0,23.15,,695180
마카오,2021-05-03,,,,,108174.0,70972.0,37340.0,23.15,,695180
마카오,2021-05-04,,,,,109255.0,71719.0,37674.0,23.15,,695180
