location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
말레이시아,2020-01-03,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-04,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-05,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-06,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-07,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-08,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-09,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-10,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-11,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-12,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-13,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-14,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-15,,,,,,,,0.0,16.74,33938216
말레이시아,2020-01-16,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-17,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-18,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-19,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-20,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-21,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-22,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-23,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-24,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-25,,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-26,4.0,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-27,4.0,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-28,4.0,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-29,4.0,,,,,,,11.11,16.74,33938216
말레이시아,2020-01-30,7.0,,,,,,,19.44,16.74,33938216
말레이시아,2020-01-31,8.0,,,0.0309,,,,19.44,16.74,33938216
말레이시아,2020-02-01,8.0,,,0.0143,,,,19.44,16.74,33938216
말레이시아,2020-02-02,8.0,,,0.0121,,,,19.44,16.74,33938216
말레이시아,2020-02-03,8.0,,,0.0114,,,,19.44,16.74,33938216
말레이시아,2020-02-04,9.0,,,0.0175,,,,19.44,16.74,33938216
말레이시아,2020-02-05,10.0,,,0.0155,,,,19.44,16.74,33938216
말레이시아,2020-02-06,12.0,,,0.0119,,,,19.44,16.74,33938216
말레이시아,2020-02-07,14.0,,,0.0109,,,,19.44,16.74,33938216
말레이시아,2020-02-08,15.0,,,0.0115,,,,19.44,16.74,33938216
말레이시아,2020-02-09,16.0,,,0.0122,,,,19.44,16.74,33938216
말레이시아,2020-02-10,17.0,,,0.0129,,,,19.44,16.74,33938216
말레이시아,2020-02-11,18.0,,,0.0085,,,,19.44,16.74,33938216
말레이시아,2020-02-12,18.0,,,0.0054,,,,19.44,16.74,33938216
말레이시아,2020-02-13,18.0,,,0.0038,,,,19.44,16.74,33938216
말레이시아,2020-02-14,19.0,,,0.0041,,,,19.44,16.74,33938216
말레이시아,2020-02-15,19.0,,,0.0057,,,,19.44,16.74,33938216
말레이시아,2020-02-16,22.0,,,0.0047,,,,19.44,16.74,33938216
말레이시아,2020-02-17,22.0,,,0.0037,,,,19.44,16.74,33938216
말레이시아,2020-02-18,22.0,,,0.0035,,,,19.44,16.74,33938216
말레이시아,2020-02-19,22.0,,,0.004,,,,19.44,16.74,33938216
말레이시아,2020-02-20,22.0,,,0.0043,,,,19.44,16.74,33938216
말레이시아,2020-02-21,22.0,,,0.0034,,,,19.44,16.74,33938216
말레이시아,2020-02-22,22.0,,,0.0,,,,19.44,16.74,33938216
말레이시아,2020-02-23,22.0,,,0.0,,,,19.44,16.74,33938216
말레이시아,2020-02-24,22.0,,,0.0,,,,19.44,16.74,33938216
말레이시아,2020-02-25,22.0,,,0.0,,,,19.44,16.74,33938216
말레이시아,2020-02-26,22.0,,,0.0,,,,19.44,16.74,33938216
말레이시아,2020-02-27,22.0,,,0.0014,,,,19.44,16.74,33938216
말레이시아,2020-02-28,24.0,,,0.0034,,,,19.44,16.74,33938216
말레이시아,2020-02-29,25.0,,,0.0065,,,,19.44,16.74,33938216
말레이시아,2020-03-01,25.0,,,0.0061,,,,19.44,16.74,33938216
말레이시아,2020-03-02,25.0,,,0.0053,,,,19.44,16.74,33938216
말레이시아,2020-03-03,29.0,,,0.008,,,,19.44,16.74,33938216
말레이시아,2020-03-04,36.0,,,0.0129,,,,19.44,16.74,33938216
말레이시아,2020-03-05,50.0,,,0.0113,,,,19.44,16.74,33938216
말레이시아,2020-03-06,55.0,,,0.0181,,,,19.44,16.74,33938216
말레이시아,2020-03-07,83.0,,,0.0164,,,,22.22,16.74,33938216
말레이시아,2020-03-08,93.0,,,0.0168,,,,22.22,16.74,33938216
말레이시아,2020-03-09,99.0,,,0.0195,,,,22.22,16.74,33938216
말레이시아,2020-03-10,117.0,,2.06,0.0188,,,,22.22,16.74,33938216
말레이시아,2020-03-11,117.0,,2.09,0.0191,,,,22.22,16.74,33938216
말레이시아,2020-03-12,149.0,,2.16,0.018,,,,27.78,16.74,33938216
말레이시아,2020-03-13,158.0,,2.3,0.0158,,,,27.78,16.74,33938216
말레이시아,2020-03-14,197.0,,2.42,0.0165,,,,38.89,16.74,33938216
말레이시아,2020-03-15,238.0,,2.54,0.032,,,,38.89,16.74,33938216
말레이시아,2020-03-16,428.0,,2.43,0.0359,,,,38.89,16.74,33938216
말레이시아,2020-03-17,553.0,2.0,2.3,0.0385,,,,38.89,16.74,33938216
말레이시아,2020-03-18,673.0,2.0,2.16,0.0384,,,,73.15,16.74,33938216
말레이시아,2020-03-19,790.0,2.0,2.03,0.0398,,,,73.15,16.74,33938216
말레이시아,2020-03-20,900.0,3.0,1.91,0.0413,,,,73.15,16.74,33938216
말레이시아,2020-03-21,1030.0,4.0,1.81,0.0437,,,,73.15,16.74,33938216
말레이시아,2020-03-22,1183.0,10.0,1.69,0.038,,,,73.15,16.74,33938216
말레이시아,2020-03-23,1306.0,10.0,1.65,0.0395,,,,73.15,16.74,33938216
말레이시아,2020-03-24,1518.0,14.0,1.59,0.0382,,,,73.15,16.74,33938216
말레이시아,2020-03-25,1624.0,16.0,1.54,0.0396,,,,73.15,16.74,33938216
말레이시아,2020-03-26,1796.0,19.0,1.48,0.0436,,,,73.15,16.74,33938216
말레이시아,2020-03-27,2031.0,23.0,1.39,0.0392,,,,78.7,16.74,33938216
말레이시아,2020-03-28,2161.0,26.0,1.31,0.0376,,,,78.7,16.74,33938216
말레이시아,2020-03-29,2320.0,27.0,1.25,0.0369,,,,78.7,16.74,33938216
말레이시아,2020-03-30,2470.0,34.0,1.23,0.0334,,,,78.7,16.74,33938216
말레이시아,2020-03-31,2626.0,37.0,1.21,0.031,,,,78.7,16.74,33938216
말레이시아,2020-04-01,2766.0,43.0,1.2,0.0278,,,,78.7,16.74,33938216
말레이시아,2020-04-02,2908.0,45.0,1.18,0.0254,,,,78.7,16.74,33938216
말레이시아,2020-04-03,3116.0,50.0,1.14,0.0264,,,,78.7,16.74,33938216
말레이시아,2020-04-04,3333.0,53.0,1.09,0.0242,,,,78.7,16.74,33938216
말레이시아,2020-04-05,3483.0,57.0,1.04,0.0231,,,,78.7,16.74,33938216
말레이시아,2020-04-06,3662.0,61.0,1.02,0.0225,,,,78.7,16.74,33938216
말레이시아,2020-04-07,3793.0,62.0,1.01,0.022,,,,78.7,16.74,33938216
말레이시아,2020-04-08,3963.0,63.0,0.99,0.0216,,,,78.7,16.74,33938216
말레이시아,2020-04-09,4119.0,65.0,0.96,0.0193,,,,78.7,16.74,33938216
말레이시아,2020-04-10,4228.0,67.0,0.93,0.017,,,,73.15,16.74,33938216
말레이시아,2020-04-11,4346.0,70.0,0.91,0.0174,,,,73.15,16.74,33938216
말레이시아,2020-04-12,4530.0,73.0,0.88,0.0174,,,,73.15,16.74,33938216
말레이시아,2020-04-13,4683.0,76.0,0.86,0.0174,,,,73.15,16.74,33938216
말레이시아,2020-04-14,4817.0,77.0,0.85,0.0179,,,,78.7,16.74,33938216
말레이시아,2020-04-15,4987.0,82.0,0.81,0.0164,,,,78.7,16.74,33938216
