location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
맨섬,2020-01-03,,,,,,,,,,84534
맨섬,2020-01-04,,,,,,,,,,84534
맨섬,2020-01-05,,,,,,,,,,84534
맨섬,2020-01-06,,,,,,,,,,84534
맨섬,2020-01-07,,,,,,,,,,84534
맨섬,2020-01-08,,,,,,,,,,84534
맨섬,2020-01-09,,,,,,,,,,84534
맨섬,2020-01-10,,,,,,,,,,84534
맨섬,2020-01-11,,,,,,,,,,84534
맨섬,2020-01-12,,,,,,,,,,84534
맨섬,2020-01-13,,,,,,,,,,84534
맨섬,2020-01-14,,,,,,,,,,84534
맨섬,2020-01-15,,,,,,,,,,84534
맨섬,2020-01-16,,,,,,,,,,84534
맨섬,2020-01-17,,,,,,,,,,84534
맨섬,2020-01-18,,,,,,,,,,84534
맨섬,2020-01-19,,,,,,,,,,84534
맨섬,2020-01-20,,,,,,,,,,84534
맨섬,2020-01-21,,,,,,,,,,84534
맨섬,2020-01-22,,,,,,,,,,84534
맨섬,2020-01-23,,,,,,,,,,84534
맨섬,2020-01-24,,,,,,,,,,84534
맨섬,2020-01-25,,,,,,,,,,84534
맨섬,2020-01-26,,,,,,,,,,84534
맨섬,2020-01-27,,,,,,,,,,84534
맨섬,2020-01-28,,,,,,,,,,84534
맨섬,2020-01-29,,,,,,,,,,84534
맨섬,2020-01-30,,,,,,,,,,84534
맨섬,2020-01-31,,,,,,,,,,84534
맨섬,2020-02-01,,,,,,,,,,84534
맨섬,2020-02-02,,,,,,,,,,84534
맨섬,2020-02-03,,,,,,,,,,84534
맨섬,2020-02-04,,,,,,,,,,84534
맨섬,2020-02-05,,,,,,,,,,84534
맨섬,2020-02-06,,,,,,,,,,84534
맨섬,2020-02-07,,,,,,,,,,84534
맨섬,2020-02-08,,,,,,,,,,84534
맨섬,2020-02-09,,,,,,,,,,84534
맨섬,2020-02-10,,,,,,,,,,84534
맨섬,2020-02-11,,,,,,,,,,84534
맨섬,2020-02-12,,,,,,,,,,84534
맨섬,2020-02-13,,,,,,,,,,84534
맨섬,2020-02-14,,,,,,,,,,84534
맨섬,2020-02-15,,,,,,,,,,84534
맨섬,2020-02-16,,,,,,,,,,84534
맨섬,2020-02-17,,,,,,,,,,84534
맨섬,2020-02-18,,,,,,,,,,84534
맨섬,2020-02-19,,,,,,,,,,84534
맨섬,2020-02-20,,,,,,,,,,84534
맨섬,2020-02-21,,,,,,,,,,84534
맨섬,2020-02-22,,,,,,,,,,84534
맨섬,2020-02-23,,,,,,,,,,84534
맨섬,2020-02-24,,,,,,,,,,84534
맨섬,2020-02-25,,,,,,,,,,84534
맨섬,2020-02-26,,,,,,,,,,84534
맨섬,2020-02-27,,,,,,,,,,84534
맨섬,2020-02-28,,,,,,,,,,84534
맨섬,2020-02-29,,,,,,,,,,84534
맨섬,2020-03-01,,,,,,,,,,84534
맨섬,2020-03-02,,,,,,,,,,84534
맨섬,2020-03-03,,,,,,,,,,84534
맨섬,2020-03-04,,,,,,,,,,84534
맨섬,2020-03-05,,,,,,,,,,84534
맨섬,2020-03-06,,,,,,,,,,84534
맨섬,2020-03-07,,,,,,,,,,84534
맨섬,2020-03-08,,,,,,,,,,84534
맨섬,2020-03-09,,,,,,,,,,84534
맨섬,2020-03-10,,,,,,,,,,84534
맨섬,2020-03-11,,,,,,,,,,84534
맨섬,2020-03-12,,,,,,,,,,84534
맨섬,2020-03-13,,,,,,,,,,84534
맨섬,2020-03-14,,,,,,,,,,84534
맨섬,2020-03-15,,,,,,,,,,84534
맨섬,2020-03-16,,,,,,,,,,84534
맨섬,2020-03-17,,,,,,,,,,84534
맨섬,2020-03-18,,,,,,,,,,84534
맨섬,2020-03-19,,,,,,,,,,84534
맨섬,2020-03-20,,,,,,,,,,84534
맨섬,2020-03-21,1.0,,,,,,,,,84534
맨섬,2020-03-22,2.0,,,,,,,,,84534
맨섬,2020-03-23,2.0,,,,,,,,,84534
맨섬,2020-03-24,11.0,,,,,,,,,84534
맨섬,2020-03-25,20.0,,,,,,,,,84534
맨섬,2020-03-26,23.0,,,,,,,,,84534
맨섬,2020-03-27,25.0,,,,,,,,,84534
맨섬,2020-03-28,29.0,,,,,,,,,84534
맨섬,2020-03-29,32.0,,,,,,,,,84534
맨섬,2020-03-30,36.0,,,,,,,,,84534
맨섬,2020-03-31,44.0,,,,,,,,,84534
맨섬,2020-04-01,53.0,,,,,,,,,84534
맨섬,2020-04-02,64.0,,,,,,,,,84534
맨섬,2020-04-03,72.0,1.0,,,,,,,,84534
맨섬,2020-04-04,93.0,1.0,,,,,,,,84534
맨섬,2020-04-05,120.0,1.0,,,,,,,,84534
맨섬,2020-04-06,126.0,1.0,,,,,,,,84534
맨섬,2020-04-07,129.0,1.0,,,,,,,,84534
맨섬,2020-04-08,151.0,1.0,,,,,,,,84534
맨섬,2020-04-09,152.0,1.0,,,,,,,,84534
맨섬,2020-04-10,165.0,6.0,,,,,,,,84534
맨섬,2020-04-11,192.0,6.0,,,,,,,,84534
맨섬,2020-04-12,206.0,6.0,,,,,,,,84534
맨섬,2020-04-13,228.0,6.0,,,,,,,,84534
맨섬,2020-04-14,233.0,7.0,,,,,,,,84534
맨섬,2020-04-15,244.0,7.0,,,,,,,,84534
맨섬,2020-04-16,258.0,7.0,,,,,,,,84534
맨섬,2020-04-17,260.0,9.0,,,,,,,,84534
맨섬,2020-04-18,291.0,9.0,,,,,,,,84534
맨섬,2020-04-19,293.0,9.0,,,,,,,,84534
맨섬,2020-04-20,299.0,9.0,,,,,,,,84534
맨섬,2020-04-21,301.0,9.0,,,,,,,,84534
맨섬,2020-04-22,309.0,15.0,,,,,,,,84534
맨섬,2020-04-23,309.0,15.0,,,,,,,,84534
맨섬,2020-04-24,309.0,21.0,,,,,,,,84534
맨섬,2020-04-25,310.0,22.0,,,,,,,,84534
맨섬,2020-04-26,310.0,23.0,,,,,,,,84534
맨섬,2020-04-27,310.0,23.0,,,,,,,,84534
맨섬,2020-04-28,310.0,23.0,,,,,,,,84534
맨섬,2020-04-29,310.0,25.0,,,,,,,,84534
맨섬,2020-04-30,311.0,26.0,,,,,,,,84534
맨섬,2020-05-01,317.0,27.0,,,,,,,,84534
맨섬,2020-05-02,318.0,27.0,,,,,,,,84534
맨섬,2020-05-03,321.0,28.0,,,,,,,,84534
맨섬,2020-05-04,322.0,28.0,,,,,,,,84534
맨섬,2020-05-05,323.0,28.0,,,,,,,,84534
맨섬,2020-05-06,327.0,28.0,,,,,,,,84534
맨섬,2020-05-07,328.0,28.0,,,,,,,,84534
맨섬,2020-05-08,329.0,28.0,,,,,,,,84534
맨섬,2020-05-09,331.0,28.0,,,,,,,,84534
맨섬,2020-05-10,331.0,33.0,,,,,,,,84534
맨섬,2020-05-11,332.0,33.0,,,,,,,,84534
맨섬,2020-05-12,332.0,33.0,,,,,,,,84534
맨섬,2020-05-13,333.0,33.0,,,,,,,,84534
맨섬,2020-05-14,333.0,34.0,,,,,,,,84534
맨섬,2020-05-15,334.0,34.0,,,,,,,,84534
맨섬,2020-05-16,335.0,34.0,,,,,,,,84534
맨섬,2020-05-17,337.0,34.0,,,,,,,,84534
맨섬,2020-05-18,337.0,34.0,,,,,,,,84534
맨섬,2020-05-19,337.0,34.0,,,,,,,,84534
맨섬,2020-05-20,337.0,34.0,,,,,,,,84534
맨섬,2020-05-21,338.0,34.0,,,,,,,,84534
맨섬,2020-05-22,338.0,34.0,,,,,,,,84534
맨섬,2020-05-23,338.0,34.0,,,,,,,,84534
맨섬,2020-05-24,338.0,34.0,,,,,,,,84534
맨섬,2020-05-25,338.0,34.0,,,,,,,,84534
맨섬,2020-05-26,338.0,34.0,,,,,,,,84534
맨섬,2020-05-27,338.0,34.0,,,,,,,,84534
맨섬,2020-05-28,338.0,34.0,,,,,,,,84534
맨섬,2020-05-29,338.0,34.0,,,,,,,,84534
맨섬,2020-05-30,338.0,34.0,,,,,,,,84534
맨섬,2020-05-31,338.0,34.0,,,,,,,,84534
맨섬,2020-06-01,338.0,34.0,,,,,,,,84534
맨섬,2020-06-02,338.0,34.0,,,,,,,,84534
맨섬,2020-06-03,338.0,34.0,,,,,,,,84534
맨섬,2020-06-04,338.0,34.0,,,,,,,,84534
맨섬,2020-06-05,338.0,34.0,,,,,,,,84534
맨섬,2020-06-06,338.0,34.0,,,,,,,,84534
맨섬,2020-06-07,338.0,34.0,,,,,,,,84534
맨섬,2020-06-08,338.0,34.0,,,,,,,,84534
맨섬,2020-06-09,338.0,34.0,,,,,,,,84534
맨섬,2020-06-10,338.0,34.0,,,,,,,,84534
맨섬,2020-06-11,338.0,34.0,,,,,,,,84534
맨섬,2020-06-12,338.0,34.0,,,,,,,,84534
맨섬,2020-06-13,338.0,34.0,,,,,,,,84534
맨섬,2020-06-14,338.0,34.0,,,,,,,,84534
맨섬,2020-06-15,338.0,34.0,,,,,,,,84534
맨섬,2020-06-16,338.0,34.0,,,,,,,,84534
맨섬,2020-06-17,338.0,34.0,,,,,,,,84534
맨섬,2020-06-18,338.0,34.0,,,,,,,,84534
맨섬,2020-06-19,338.0,34.0,,,,,,,,84534
맨섬,2020-06-20,338.0,34.0,,,,,,,,84534
맨섬,2020-06-21,338.0,34.0,,,,,,,,84534
맨섬,2020-06-22,338.0,34.0,,,,,,,,84534
맨섬,2020-06-23,338.0,34.0,,,,,,,,84534
맨섬,2020-06-24,338.0,34.0,,,,,,,,84534
맨섬,2020-06-25,338.0,34.0,,,,,,,,84534
맨섬,2020-06-26,338.0,34.0,,,,,,,,84534
맨섬,2020-06-27,338.0,34.0,,,,,,,,84534
맨섬,2020-06-28,338.0,34.0,,,,,,,,84534
맨섬,2020-06-29,338.0,34.0,,,,,,,,84534
맨섬,2020-06-30,338.0,34.0,,,,,,,,84534
맨섬,2020-07-01,338.0,34.0,,,,,,,,84534
맨섬,2020-07-02,338.0,34.0,,,,,,,,84534
맨섬,2020-07-03,338.0,34.0,,,,,,,,84534
맨섬,2020-07-04,338.0,34.0,,,,,,,,84534
맨섬,2020-07-05,338.0,34.0,,,,,,,,84534
맨섬,2020-07-06,338.0,34.0,,,,,,,,84534
맨섬,2020-07-07,338.0,34.0,,,,,,,,84534
맨섬,2020-07-08,338.0,34.0,,,,,,,,84534
맨섬,2020-07-09,338.0,34.0,,,,,,,,84534
맨섬,2020-07-10,338.0,34.0,,,,,,,,84534
맨섬,2020-07-11,338.0,34.0,,,,,,,,84534
