location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
멕시코,2020-01-01,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-02,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-03,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-04,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-05,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-06,,,,,,,,0.0,13.06,127504120
멕시코,2020-01-07,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-08,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-09,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-10,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-11,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-12,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-13,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-14,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-15,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-16,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-17,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-18,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-19,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-20,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-21,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-22,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-23,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-24,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-25,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-26,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-27,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-28,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-29,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-30,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-01-31,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-01,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-02,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-03,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-04,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-05,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-06,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-07,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-08,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-09,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-10,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-11,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-12,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-13,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-14,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-15,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-16,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-17,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-18,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-19,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-20,,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-21,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-22,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-23,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-24,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-25,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-26,1.0,,,0.0,,,,0.0,13.06,127504120
멕시코,2020-02-27,1.0,,,0.003,,,,0.0,13.06,127504120
멕시코,2020-02-28,1.0,,,0.005,,,,2.78,13.06,127504120
멕시코,2020-02-29,4.0,,,0.006,,,,2.78,13.06,127504120
멕시코,2020-03-01,6.0,,,0.008,,,,2.78,13.06,127504120
멕시코,2020-03-02,8.0,,,0.011,,,,2.78,13.06,127504120
멕시코,2020-03-03,10.0,,,0.017,,,,2.78,13.06,127504120
멕시코,2020-03-04,15.0,,,0.024,,,,2.78,13.06,127504120
멕시코,2020-03-05,24.0,,,0.028,,,,2.78,13.06,127504120
멕시코,2020-03-06,34.0,,,0.031,,,,2.78,13.06,127504120
멕시코,2020-03-07,45.0,,,0.035,,,,2.78,13.06,127504120
멕시코,2020-03-08,51.0,,,0.04,,,,2.78,13.06,127504120
멕시코,2020-03-09,58.0,,,0.041,,,,2.78,13.06,127504120
멕시코,2020-03-10,66.0,,,0.048,,,,2.78,13.06,127504120
멕시코,2020-03-11,71.0,,,0.066,,,,2.78,13.06,127504120
멕시코,2020-03-12,88.0,,,0.079,,,,2.78,13.06,127504120
멕시코,2020-03-13,127.0,,,0.1,,,,2.78,13.06,127504120
멕시코,2020-03-14,168.0,,,0.116,,,,2.78,13.06,127504120
멕시코,2020-03-15,234.0,,,0.122,,,,2.78,13.06,127504120
멕시코,2020-03-16,286.0,,,0.148,,,,2.78,13.06,127504120
멕시코,2020-03-17,323.0,,,0.155,,,,2.78,13.06,127504120
멕시코,2020-03-18,400.0,,,0.156,,,,2.78,13.06,127504120
멕시코,2020-03-19,504.0,,1.87,0.167,,,,2.78,13.06,127504120
멕시코,2020-03-20,620.0,3.0,1.86,0.17,,,,2.78,13.06,127504120
멕시코,2020-03-21,771.0,3.0,1.86,0.167,,,,8.33,13.06,127504120
멕시코,2020-03-22,903.0,4.0,1.85,0.168,,,,8.33,13.06,127504120
멕시코,2020-03-23,988.0,4.0,1.84,0.162,,,,19.44,13.06,127504120
멕시코,2020-03-24,1058.0,6.0,1.83,0.164,,,,52.78,13.06,127504120
멕시코,2020-03-25,1226.0,7.0,1.83,0.158,,,,52.78,13.06,127504120
멕시코,2020-03-26,1446.0,10.0,1.82,0.156,,,,63.89,13.06,127504120
멕시코,2020-03-27,1631.0,12.0,1.81,0.156,,,,63.89,13.06,127504120
멕시코,2020-03-28,1855.0,20.0,1.8,0.163,,,,63.89,13.06,127504120
멕시코,2020-03-29,2117.0,28.0,1.79,0.168,,,,63.89,13.06,127504120
멕시코,2020-03-30,2308.0,43.0,1.77,0.176,,,,82.41,13.06,127504120
멕시코,2020-03-31,2474.0,52.0,1.76,0.183,,,,82.41,13.06,127504120
멕시코,2020-04-01,2819.0,66.0,1.75,0.2,,,,82.41,13.06,127504120
멕시코,2020-04-02,3130.0,92.0,1.73,0.206,,,,82.41,13.06,127504120
멕시코,2020-04-03,3512.0,114.0,1.72,0.215,,,,82.41,13.06,127504120
멕시코,2020-04-04,3859.0,140.0,1.72,0.215,,,,82.41,13.06,127504120
멕시코,2020-04-05,4251.0,174.0,1.71,0.222,,,,82.41,13.06,127504120
멕시코,2020-04-06,4501.0,214.0,1.7,0.24,,,,82.41,13.06,127504120
멕시코,2020-04-07,4760.0,247.0,1.69,0.247,,,,82.41,13.06,127504120
멕시코,2020-04-08,5391.0,305.0,1.67,0.252,,,,82.41,13.06,127504120
멕시코,2020-04-09,5906.0,367.0,1.65,0.263,,,,82.41,13.06,127504120
멕시코,2020-04-10,6487.0,416.0,1.64,0.274,,,,82.41,13.06,127504120
멕시코,2020-04-11,6970.0,478.0,1.63,0.284,,,,82.41,13.06,127504120
멕시코,2020-04-12,7542.0,556.0,1.61,0.292,,,,82.41,13.06,127504120
멕시코,2020-04-13,8006.0,637.0,1.6,0.299,,,,82.41,13.06,127504120
멕시코,2020-04-14,8485.0,725.0,1.59,0.309,,,,82.41,13.06,127504120
멕시코,2020-04-15,9438.0,827.0,1.58,0.323,,,,82.41,13.06,127504120
멕시코,2020-04-16,10374.0,941.0,1.57,0.333,,,,82.41,13.06,127504120
멕시코,2020-04-17,11359.0,1056.0,1.56,0.345,,,,82.41,13.06,127504120
멕시코,2020-04-18,12355.0,1163.0,1.55,0.359,,,,82.41,13.06,127504120
멕시코,2020-04-19,13500.0,1305.0,1.55,0.37,,,,82.41,13.06,127504120
멕시코,2020-04-20,14315.0,1442.0,1.54,0.383,,,,82.41,13.06,127504120
멕시코,2020-04-21,15109.0,1623.0,1.53,0.402,,,,82.41,13.06,127504120
멕시코,2020-04-22,16630.0,1834.0,1.52,0.415,,,,82.41,13.06,127504120
멕시코,2020-04-23,18101.0,2049.0,1.51,0.422,,,,82.41,13.06,127504120
멕시코,2020-04-24,19524.0,2265.0,1.49,0.43,,,,82.41,13.06,127504120
멕시코,2020-04-25,21030.0,2495.0,1.48,0.433,,,,82.41,13.06,127504120
멕시코,2020-04-26,22764.0,2758.0,1.47,0.439,,,,82.41,13.06,127504120
멕시코,2020-04-27,23928.0,3048.0,1.46,0.443,,,,82.41,13.06,127504120
멕시코,2020-04-28,25045.0,3358.0,1.45,0.442,,,,82.41,13.06,127504120
멕시코,2020-04-29,26987.0,3643.0,1.44,0.436,,,,82.41,13.06,127504120
멕시코,2020-04-30,28948.0,3969.0,1.43,0.425,,,,82.41,13.06,127504120
멕시코,2020-05-01,30896.0,4355.0,1.42,0.432,,,,82.41,13.06,127504120
멕시코,2020-05-02,32780.0,4709.0,1.41,0.434,,,,82.41,13.06,127504120
멕시코,2020-05-03,34335.0,5119.0,1.4,0.431,,,,82.41,13.06,127504120
멕시코,2020-05-04,35828.0,5477.0,1.39,0.431,,,,82.41,13.06,127504120
멕시코,2020-05-05,37205.0,5846.0,1.38,0.431,,,,82.41,13.06,127504120
멕시코,2020-05-06,39847.0,6307.0,1.37,0.432,,,,82.41,13.06,127504120
멕시코,2020-05-07,42081.0,6756.0,1.36,0.442,,,,82.41,13.06,127504120
멕시코,2020-05-08,44470.0,7170.0,1.35,0.432,,,,82.41,13.06,127504120
멕시코,2020-05-09,47001.0,7573.0,1.34,0.429,,,,82.41,13.06,127504120
멕시코,2020-05-10,49531.0,8012.0,1.33,0.434,,,,82.41,13.06,127504120
멕시코,2020-05-11,51188.0,8430.0,1.33,0.435,,,,82.41,13.06,127504120
멕시코,2020-05-12,52740.0,8887.0,1.32,0.435,,,,82.41,13.06,127504120
멕시코,2020-05-13,55858.0,9347.0,1.31,0.442,,,,82.41,13.06,127504120
멕시코,2020-05-14,58928.0,9834.0,1.31,0.443,,,,82.41,13.06,127504120
멕시코,2020-05-15,62158.0,10324.0,1.3,0.453,,,,82.41,13.06,127504120
멕시코,2020-05-16,65375.0,10870.0,1.3,0.46,,,,82.41,13.06,127504120
멕시코,2020-05-17,69069.0,11426.0,1.29,0.463,,,,82.41,13.06,127504120
멕시코,2020-05-18,71339.0,11960.0,1.29,0.47,,,,82.41,13.06,127504120
멕시코,2020-05-19,73078.0,12547.0,1.28,0.477,,,,82.41,13.06,127504120
멕시코,2020-05-20,77259.0,13138.0,1.27,0.48,,,,82.41,13.06,127504120
멕시코,2020-05-21,80969.0,13717.0,1.27,0.488,,,,82.41,13.06,127504120
멕시코,2020-05-22,85021.0,14288.0,1.26,0.489,,,,82.41,13.06,127504120
멕시코,2020-05-23,89124.0,14860.0,1.26,0.49,,,,82.41,13.06,127504120
멕시코,2020-05-24,93256.0,15420.0,1.25,0.488,,,,82.41,13.06,127504120
멕시코,2020-05-25,95672.0,15959.0,1.24,0.49,,,,82.41,13.06,127504120
멕시코,2020-05-26,97674.0,16567.0,1.24,0.491,,,,82.41,13.06,127504120
멕시코,2020-05-27,102462.0,17195.0,1.23,0.491,,,,82.41,13.06,127504120
멕시코,2020-05-28,106885.0,17806.0,1.22,0.489,,,,82.41,13.06,127504120
멕시코,2020-05-29,111451.0,18400.0,1.22,0.489,,,,82.41,13.06,127504120
멕시코,2020-05-30,115761.0,19023.0,1.21,0.49,,,,82.41,13.06,127504120
멕시코,2020-05-31,120229.0,19598.0,1.21,0.491,,,,82.41,13.06,127504120
멕시코,2020-06-01,123051.0,20207.0,1.2,0.494,,,,72.69,13.06,127504120
멕시코,2020-06-02,125250.0,20841.0,1.2,0.495,,,,72.69,13.06,127504120
멕시코,2020-06-03,130703.0,21532.0,1.2,0.495,,,,72.69,13.06,127504120
멕시코,2020-06-04,135540.0,22181.0,1.19,0.497,,,,72.69,13.06,127504120
멕시코,2020-06-05,140613.0,22857.0,1.19,0.497,,,,72.69,13.06,127504120
멕시코,2020-06-06,145626.0,23513.0,1.18,0.499,,,,72.69,13.06,127504120
멕시코,2020-06-07,150785.0,24110.0,1.18,0.501,,,,72.69,13.06,127504120
멕시코,2020-06-08,153934.0,24777.0,1.17,0.504,,,,72.69,13.06,127504120
멕시코,2020-06-09,156402.0,25465.0,1.17,0.505,,,,72.69,13.06,127504120
멕시코,2020-06-10,162693.0,26203.0,1.17,0.506,,,,72.69,13.06,127504120
멕시코,2020-06-11,168566.0,26894.0,1.16,0.504,,,,72.69,13.06,127504120
멕시코,2020-06-12,174392.0,27600.0,1.16,0.503,,,,70.83,13.06,127504120
멕시코,2020-06-13,179863.0,28270.0,1.15,0.504,,,,70.83,13.06,127504120
멕시코,2020-06-14,185607.0,29001.0,1.15,0.504,,,,70.83,13.06,127504120
