location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
모로코,2020-01-03,,,,,,,,0.0,7.14,37457976
모로코,2020-01-04,,,,,,,,0.0,7.14,37457976
모로코,2020-01-05,,,,,,,,0.0,7.14,37457976
모로코,2020-01-06,,,,,,,,0.0,7.14,37457976
모로코,2020-01-07,,,,,,,,0.0,7.14,37457976
모로코,2020-01-08,,,,,,,,0.0,7.14,37457976
모로코,2020-01-09,,,,,,,,0.0,7.14,37457976
모로코,2020-01-10,,,,,,,,0.0,7.14,37457976
모로코,2020-01-11,,,,,,,,0.0,7.14,37457976
모로코,2020-01-12,,,,,,,,0.0,7.14,37457976
모로코,2020-01-13,,,,,,,,0.0,7.14,37457976
모로코,2020-01-14,,,,,,,,0.0,7.14,37457976
모로코,2020-01-15,,,,,,,,0.0,7.14,37457976
모로코,2020-01-16,,,,,,,,0.0,7.14,37457976
모로코,2020-01-17,,,,,,,,0.0,7.14,37457976
모로코,2020-01-18,,,,,,,,0.0,7.14,37457976
모로코,2020-01-19,,,,,,,,0.0,7.14,37457976
모로코,2020-01-20,,,,,,,,0.0,7.14,37457976
모로코,2020-01-21,,,,,,,,0.0,7.14,37457976
모로코,2020-01-22,,,,,,,,0.0,7.14,37457976
모로코,2020-01-23,,,,,,,,0.0,7.14,37457976
모로코,2020-01-24,,,,,,,,0.0,7.14,37457976
모로코,2020-01-25,,,,,,,,0.0,7.14,37457976
모로코,2020-01-26,,,,,,,,0.0,7.14,37457976
모로코,2020-01-27,,,,,,,,0.0,7.14,37457976
모로코,2020-01-28,,,,,,,,0.0,7.14,37457976
모로코,2020-01-29,,,,,,,,0.0,7.14,37457976
모로코,2020-01-30,,,,,,,,0.0,7.14,37457976
모로코,2020-01-31,,,,,,,,0.0,7.14,37457976
모로코,2020-02-01,,,,,,,,0.0,7.14,37457976
모로코,2020-02-02,,,,,,,,0.0,7.14,37457976
모로코,2020-02-03,,,,,,,,0.0,7.14,37457976
모로코,2020-02-04,,,,,,,,0.0,7.14,37457976
모로코,2020-02-05,,,,,,,,0.0,7.14,37457976
모로코,2020-02-06,,,,,,,,0.0,7.14,37457976
모로코,2020-02-07,,,,,,,,0.0,7.14,37457976
모로코,2020-02-08,,,,,,,,0.0,7.14,37457976
모로코,2020-02-09,,,,,,,,0.0,7.14,37457976
모로코,2020-02-10,,,,,,,,0.0,7.14,37457976
모로코,2020-02-11,,,,,,,,0.0,7.14,37457976
모로코,2020-02-12,,,,,,,,0.0,7.14,37457976
모로코,2020-02-13,,,,,,,,0.0,7.14,37457976
모로코,2020-02-14,,,,,,,,0.0,7.14,37457976
모로코,2020-02-15,,,,,,,,0.0,7.14,37457976
모로코,2020-02-16,,,,,,,,0.0,7.14,37457976
모로코,2020-02-17,,,,,,,,0.0,7.14,37457976
모로코,2020-02-18,,,,,,,,0.0,7.14,37457976
모로코,2020-02-19,,,,,,,,0.0,7.14,37457976
모로코,2020-02-20,,,,,,,,0.0,7.14,37457976
모로코,2020-02-21,,,,,,,,0.0,7.14,37457976
모로코,2020-02-22,,,,,,,,0.0,7.14,37457976
모로코,2020-02-23,,,,,,,,0.0,7.14,37457976
모로코,2020-02-24,,,,,,,,0.0,7.14,37457976
모로코,2020-02-25,,,,,,,,0.0,7.14,37457976
모로코,2020-02-26,,,,,,,,0.0,7.14,37457976
모로코,2020-02-27,,,,,,,,0.0,7.14,37457976
모로코,2020-02-28,,,,,,,,0.0,7.14,37457976
모로코,2020-02-29,,,,,,,,0.0,7.14,37457976
모로코,2020-03-01,,,,,,,,0.0,7.14,37457976
모로코,2020-03-02,,,,,,,,0.0,7.14,37457976
모로코,2020-03-03,,,,,,,,0.0,7.14,37457976
모로코,2020-03-04,,,,,,,,5.56,7.14,37457976
모로코,2020-03-05,1.0,,,,,,,5.56,7.14,37457976
모로코,2020-03-06,2.0,,,,,,,5.56,7.14,37457976
모로코,2020-03-07,2.0,,,0.0572,,,,5.56,7.14,37457976
모로코,2020-03-08,2.0,,,0.0572,,,,5.56,7.14,37457976
모로코,2020-03-09,2.0,,,0.0286,,,,5.56,7.14,37457976
모로코,2020-03-10,2.0,,,0.0572,,,,5.56,7.14,37457976
모로코,2020-03-11,3.0,,,0.0816,,,,5.56,7.14,37457976
모로코,2020-03-12,6.0,,,0.0714,,,,5.56,7.14,37457976
모로코,2020-03-13,6.0,1.0,,0.102,,,,25.0,7.14,37457976
모로코,2020-03-14,8.0,1.0,,0.2143,,,,44.44,7.14,37457976
모로코,2020-03-15,17.0,1.0,,0.2653,,,,44.44,7.14,37457976
모로코,2020-03-16,28.0,1.0,,0.2143,,,,55.56,7.14,37457976
모로코,2020-03-17,37.0,1.0,,0.2174,,,,55.56,7.14,37457976
모로코,2020-03-18,44.0,2.0,,0.1849,,,,55.56,7.14,37457976
모로코,2020-03-19,49.0,2.0,,0.2088,,,,55.56,7.14,37457976
모로코,2020-03-20,63.0,2.0,,0.1923,,,,90.74,7.14,37457976
모로코,2020-03-21,79.0,3.0,,0.1946,,,,90.74,7.14,37457976
모로코,2020-03-22,96.0,3.0,,0.1855,,,,90.74,7.14,37457976
모로코,2020-03-23,115.0,4.0,1.99,0.1916,,,,90.74,7.14,37457976
모로코,2020-03-24,143.0,4.0,2.0,0.2095,,,,90.74,7.14,37457976
모로코,2020-03-25,170.0,5.0,2.02,0.2592,,,,93.52,7.14,37457976
모로코,2020-03-26,225.0,6.0,1.98,0.2545,,,,93.52,7.14,37457976
모로코,2020-03-27,275.0,10.0,1.92,0.2058,,,,93.52,7.14,37457976
모로코,2020-03-28,345.0,23.0,1.84,0.2122,,,,93.52,7.14,37457976
모로코,2020-03-29,390.0,25.0,1.78,0.2213,,,,93.52,7.14,37457976
모로코,2020-03-30,463.0,26.0,1.71,0.21,,,,93.52,7.14,37457976
모로코,2020-03-31,556.0,33.0,1.62,0.2187,,,,93.52,7.14,37457976
모로코,2020-04-01,617.0,36.0,1.53,0.1824,,,,93.52,7.14,37457976
모로코,2020-04-02,654.0,39.0,1.51,0.1793,,,,93.52,7.14,37457976
모로코,2020-04-03,708.0,44.0,1.52,0.2082,,,,93.52,7.14,37457976
모로코,2020-04-04,791.0,48.0,1.54,0.2205,,,,93.52,7.14,37457976
모로코,2020-04-05,919.0,59.0,1.5,0.2104,,,,93.52,7.14,37457976
모로코,2020-04-06,1021.0,70.0,1.45,0.2398,,,,93.52,7.14,37457976
모로코,2020-04-07,1120.0,80.0,1.39,0.2238,,,,93.52,7.14,37457976
모로코,2020-04-08,1184.0,90.0,1.35,0.2579,,,,93.52,7.14,37457976
모로코,2020-04-09,1275.0,93.0,1.33,0.2415,,,,93.52,7.14,37457976
모로코,2020-04-10,1374.0,97.0,1.3,0.1972,,,,93.52,7.14,37457976
