location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
몬테네그로,2020-01-03,,,,,,,,,10.08,627082
몬테네그로,2020-01-04,,,,,,,,,10.08,627082
몬테네그로,2020-01-05,,,,,,,,,10.08,627082
몬테네그로,2020-01-06,,,,,,,,,10.08,627082
몬테네그로,2020-01-07,,,,,,,,,10.08,627082
몬테네그로,2020-01-08,,,,,,,,,10.08,627082
몬테네그로,2020-01-09,,,,,,,,,10.08,627082
몬테네그로,2020-01-10,,,,,,,,,10.08,627082
몬테네그로,2020-01-11,,,,,,,,,10.08,627082
몬테네그로,2020-01-12,,,,,,,,,10.08,627082
몬테네그로,2020-01-13,,,,,,,,,10.08,627082
몬테네그로,2020-01-14,,,,,,,,,10.08,627082
몬테네그로,2020-01-15,,,,,,,,,10.08,627082
몬테네그로,2020-01-16,,,,,,,,,10.08,627082
몬테네그로,2020-01-17,,,,,,,,,10.08,627082
몬테네그로,2020-01-18,,,,,,,,,10.08,627082
몬테네그로,2020-01-19,,,,,,,,,10.08,627082
몬테네그로,2020-01-20,,,,,,,,,10.08,627082
몬테네그로,2020-01-21,,,,,,,,,10.08,627082
몬테네그로,2020-01-22,,,,,,,,,10.08,627082
몬테네그로,2020-01-23,,,,,,,,,10.08,627082
몬테네그로,2020-01-24,,,,,,,,,10.08,627082
몬테네그로,2020-01-25,,,,,,,,,10.08,627082
몬테네그로,2020-01-26,,,,,,,,,10.08,627082
몬테네그로,2020-01-27,,,,,,,,,10.08,627082
몬테네그로,2020-01-28,,,,,,,,,10.08,627082
몬테네그로,2020-01-29,,,,,,,,,10.08,627082
몬테네그로,2020-01-30,,,,,,,,,10.08,627082
몬테네그로,2020-01-31,,,,,,,,,10.08,627082
몬테네그로,2020-02-01,,,,,,,,,10.08,627082
몬테네그로,2020-02-02,,,,,,,,,10.08,627082
몬테네그로,2020-02-03,,,,,,,,,10.08,627082
몬테네그로,2020-02-04,,,,,,,,,10.08,627082
몬테네그로,2020-02-05,,,,,,,,,10.08,627082
몬테네그로,2020-02-06,,,,,,,,,10.08,627082
몬테네그로,2020-02-07,,,,,,,,,10.08,627082
몬테네그로,2020-02-08,,,,,,,,,10.08,627082
몬테네그로,2020-02-09,,,,,,,,,10.08,627082
몬테네그로,2020-02-10,,,,,,,,,10.08,627082
몬테네그로,2020-02-11,,,,,,,,,10.08,627082
몬테네그로,2020-02-12,,,,,,,,,10.08,627082
몬테네그로,2020-02-13,,,,,,,,,10.08,627082
몬테네그로,2020-02-14,,,,,,,,,10.08,627082
몬테네그로,2020-02-15,,,,,,,,,10.08,627082
몬테네그로,2020-02-16,,,,,,,,,10.08,627082
몬테네그로,2020-02-17,,,,,,,,,10.08,627082
몬테네그로,2020-02-18,,,,,,,,,10.08,627082
몬테네그로,2020-02-19,,,,,,,,,10.08,627082
몬테네그로,2020-02-20,,,,,,,,,10.08,627082
몬테네그로,2020-02-21,,,,,,,,,10.08,627082
몬테네그로,2020-02-22,,,,,,,,,10.08,627082
몬테네그로,2020-02-23,,,,,,,,,10.08,627082
몬테네그로,2020-02-24,,,,,,,,,10.08,627082
몬테네그로,2020-02-25,,,,,,,,,10.08,627082
몬테네그로,2020-02-26,,,,,,,,,10.08,627082
몬테네그로,2020-02-27,,,,,,,,,10.08,627082
몬테네그로,2020-02-28,,,,,,,,,10.08,627082
몬테네그로,2020-02-29,,,,,,,,,10.08,627082
몬테네그로,2020-03-01,,,,,,,,,10.08,627082
몬테네그로,2020-03-02,,,,,,,,,10.08,627082
몬테네그로,2020-03-03,,,,,,,,,10.08,627082
몬테네그로,2020-03-04,,,,,,,,,10.08,627082
몬테네그로,2020-03-05,,,,,,,,,10.08,627082
몬테네그로,2020-03-06,,,,,,,,,10.08,627082
몬테네그로,2020-03-07,,,,,,,,,10.08,627082
몬테네그로,2020-03-08,,,,,,,,,10.08,627082
몬테네그로,2020-03-09,,,,,,,,,10.08,627082
몬테네그로,2020-03-10,,,,,,,,,10.08,627082
몬테네그로,2020-03-11,,,,,,,,,10.08,627082
몬테네그로,2020-03-12,,,,,,,,,10.08,627082
몬테네그로,2020-03-13,,,,,,,,,10.08,627082
몬테네그로,2020-03-14,,,,,,,,,10.08,627082
몬테네그로,2020-03-15,,,,,,,,,10.08,627082
