location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
몰타,2020-01-03,,,,,,,,0.0,8.83,533293
몰타,2020-01-04,,,,,,,,0.0,8.83,533293
몰타,2020-01-05,,,,,,,,0.0,8.83,533293
몰타,2020-01-06,,,,,,,,0.0,8.83,533293
몰타,2020-01-07,,,,,,,,0.0,8.83,533293
몰타,2020-01-08,,,,,,,,0.0,8.83,533293
몰타,2020-01-09,,,,,,,,0.0,8.83,533293
몰타,2020-01-10,,,,,,,,0.0,8.83,533293
몰타,2020-01-11,,,,,,,,0.0,8.83,533293
몰타,2020-01-12,,,,,,,,0.0,8.83,533293
몰타,2020-01-13,,,,,,,,0.0,8.83,533293
몰타,2020-01-14,,,,,,,,0.0,8.83,533293
몰타,2020-01-15,,,,,,,,0.0,8.83,533293
몰타,2020-01-16,,,,,,,,0.0,8.83,533293
몰타,2020-01-17,,,,,,,,0.0,8.83,533293
몰타,2020-01-18,,,,,,,,0.0,8.83,533293
몰타,2020-01-19,,,,,,,,0.0,8.83,533293
몰타,2020-01-20,,,,,,,,0.0,8.83,533293
몰타,2020-01-21,,,,,,,,0.0,8.83,533293
몰타,2020-01-22,,,,,,,,0.0,8.83,533293
몰타,2020-01-23,,,,,,,,0.0,8.83,533293
몰타,2020-01-24,,,,,,,,0.0,8.83,533293
몰타,2020-01-25,,,,,,,,5.56,8.83,533293
몰타,2020-01-26,,,,,,,,5.56,8.83,533293
몰타,2020-01-27,,,,,,,,5.56,8.83,533293
몰타,2020-01-28,,,,,,,,5.56,8.83,533293
몰타,2020-01-29,,,,,,,,5.56,8.83,533293
몰타,2020-01-30,,,,,,,,5.56,8.83,533293
몰타,2020-01-31,,,,,,,,5.56,8.83,533293
몰타,2020-02-01,,,,,,,,5.56,8.83,533293
몰타,2020-02-02,,,,,,,,5.56,8.83,533293
몰타,2020-02-03,,,,,,,,5.56,8.83,533293
몰타,2020-02-04,,,,,,,,5.56,8.83,533293
몰타,2020-02-05,,,,,,,,5.56,8.83,533293
몰타,2020-02-06,,,,,,,,5.56,8.83,533293
몰타,2020-02-07,,,,,,,,5.56,8.83,533293
몰타,2020-02-08,,,,,,,,5.56,8.83,533293
몰타,2020-02-09,,,,,,,,5.56,8.83,533293
몰타,2020-02-10,,,,,,,,5.56,8.83,533293
몰타,2020-02-11,,,,,,,,5.56,8.83,533293
몰타,2020-02-12,,,,,,,,5.56,8.83,533293
몰타,2020-02-13,,,,,,,,5.56,8.83,533293
몰타,2020-02-14,,,,,,,,5.56,8.83,533293
몰타,2020-02-15,,,,,,,,5.56,8.83,533293
몰타,2020-02-16,,,,,,,,5.56,8.83,533293
몰타,2020-02-17,,,,,,,,5.56,8.83,533293
몰타,2020-02-18,,,,,,,,5.56,8.83,533293
몰타,2020-02-19,,,,,,,,5.56,8.83,533293
몰타,2020-02-20,,,,,,,,5.56,8.83,533293
몰타,2020-02-21,,,,,,,,5.56,8.83,533293
몰타,2020-02-22,,,,,,,,5.56,8.83,533293
몰타,2020-02-23,,,,,,,,8.33,8.83,533293
몰타,2020-02-24,,,,,,,,8.33,8.83,533293
몰타,2020-02-25,,,,,,,,11.11,8.83,533293
몰타,2020-02-26,,,,,,,,11.11,8.83,533293
몰타,2020-02-27,,,,,,,,11.11,8.83,533293
몰타,2020-02-28,,,,,,,,11.11,8.83,533293
몰타,2020-02-29,,,,,,,,11.11,8.83,533293
몰타,2020-03-01,,,,,,,,11.11,8.83,533293
몰타,2020-03-02,,,,,,,,11.11,8.83,533293
몰타,2020-03-03,,,,,,,,11.11,8.83,533293
몰타,2020-03-04,,,,,,,,11.11,8.83,533293
몰타,2020-03-05,,,,,,,,11.11,8.83,533293
몰타,2020-03-06,,,,,,,,11.11,8.83,533293
몰타,2020-03-07,,,,,,,,11.11,8.83,533293
몰타,2020-03-08,3.0,,,,,,,11.11,8.83,533293
몰타,2020-03-09,3.0,,,,,,,16.67,8.83,533293
몰타,2020-03-10,3.0,,,,,,,27.78,8.83,533293
몰타,2020-03-11,3.0,,,,,,,27.78,8.83,533293
몰타,2020-03-12,3.0,,,,,,,33.33,8.83,533293
몰타,2020-03-13,3.0,,,,,,,57.41,8.83,533293
몰타,2020-03-14,3.0,,,,,,,57.41,8.83,533293
몰타,2020-03-15,31.0,,,,,,,57.41,8.83,533293
몰타,2020-03-16,31.0,,,,,,,57.41,8.83,533293
몰타,2020-03-17,31.0,,,,,,,57.41,8.83,533293
몰타,2020-03-18,31.0,,,,,,,62.96,8.83,533293
몰타,2020-03-19,31.0,,,,,,,62.96,8.83,533293
몰타,2020-03-20,31.0,,,,,,,62.96,8.83,533293
몰타,2020-03-21,31.0,,,,,,,65.74,8.83,533293
몰타,2020-03-22,109.0,,,,,,,65.74,8.83,533293
몰타,2020-03-23,109.0,,,,,,,69.44,8.83,533293
몰타,2020-03-24,109.0,,0.6,,,,,69.44,8.83,533293
몰타,2020-03-25,109.0,,0.66,,,,,69.44,8.83,533293
몰타,2020-03-26,109.0,,0.66,,,,,69.44,8.83,533293
몰타,2020-03-27,109.0,,0.7,,,,,69.44,8.83,533293
몰타,2020-03-28,109.0,,0.75,,,,,81.48,8.83,533293
몰타,2020-03-29,159.0,,0.78,,,,,81.48,8.83,533293
몰타,2020-03-30,159.0,,0.86,,,,,81.48,8.83,533293
몰타,2020-03-31,159.0,,0.95,,,,,81.48,8.83,533293
몰타,2020-04-01,159.0,,1.05,,,,,81.48,8.83,533293
몰타,2020-04-02,159.0,,1.07,,,,,81.48,8.83,533293
