location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
몽골,2020-01-03,,,,,,,,0.0,4.82,3398373
몽골,2020-01-04,,,,,,,,0.0,4.82,3398373
몽골,2020-01-05,,,,,,,,0.0,4.82,3398373
몽골,2020-01-06,,,,,,,,0.0,4.82,3398373
몽골,2020-01-07,,,,,,,,0.0,4.82,3398373
몽골,2020-01-08,,,,,,,,0.0,4.82,3398373
몽골,2020-01-09,,,,,,,,0.0,4.82,3398373
몽골,2020-01-10,,,,,,,,0.0,4.82,3398373
몽골,2020-01-11,,,,,,,,0.0,4.82,3398373
몽골,2020-01-12,,,,,,,,0.0,4.82,3398373
몽골,2020-01-13,,,,,,,,0.0,4.82,3398373
몽골,2020-01-14,,,,,,,,0.0,4.82,3398373
몽골,2020-01-15,,,,,,,,0.0,4.82,3398373
몽골,2020-01-16,,,,,,,,0.0,4.82,3398373
몽골,2020-01-17,,,,,,,,0.0,4.82,3398373
몽골,2020-01-18,,,,,,,,0.0,4.82,3398373
몽골,2020-01-19,,,,,,,,0.0,4.82,3398373
몽골,2020-01-20,,,,,,,,0.0,4.82,3398373
몽골,2020-01-21,,,,,,,,0.0,4.82,3398373
몽골,2020-01-22,,,,,,,,11.11,4.82,3398373
몽골,2020-01-23,,,,,,,,11.11,4.82,3398373
몽골,2020-01-24,,,,,,,,11.11,4.82,3398373
몽골,2020-01-25,,,,,,,,11.11,4.82,3398373
몽골,2020-01-26,,,,,,,,11.11,4.82,3398373
몽골,2020-01-27,,,,,,,,58.33,4.82,3398373
몽골,2020-01-28,,,,,,,,58.33,4.82,3398373
몽골,2020-01-29,,,,,,,,58.33,4.82,3398373
몽골,2020-01-30,,,,,,,,58.33,4.82,3398373
몽골,2020-01-31,,,,,,,,58.33,4.82,3398373
몽골,2020-02-01,,,,,,,,58.33,4.82,3398373
몽골,2020-02-02,,,,,,,,58.33,4.82,3398373
몽골,2020-02-03,,,,,,,,58.33,4.82,3398373
몽골,2020-02-04,,,,,,,,58.33,4.82,3398373
몽골,2020-02-05,,,,,,,,58.33,4.82,3398373
몽골,2020-02-06,,,,,,,,58.33,4.82,3398373
몽골,2020-02-07,,,,,,,,58.33,4.82,3398373
몽골,2020-02-08,,,,,,,,58.33,4.82,3398373
몽골,2020-02-09,,,,,,,,58.33,4.82,3398373
몽골,2020-02-10,,,,,,,,58.33,4.82,3398373
몽골,2020-02-11,,,,,,,,58.33,4.82,3398373
몽골,2020-02-12,,,,,,,,58.33,4.82,3398373
몽골,2020-02-13,,,,,,,,58.33,4.82,3398373
몽골,2020-02-14,,,,,,,,58.33,4.82,3398373
몽골,2020-02-15,,,,,,,,58.33,4.82,3398373
몽골,2020-02-16,,,,,,,,58.33,4.82,3398373
몽골,2020-02-17,,,,,,,,58.33,4.82,3398373
몽골,2020-02-18,,,,,,,,58.33,4.82,3398373
몽골,2020-02-19,,,,,,,,58.33,4.82,3398373
