location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
미국,2020-01-03,,,,,,,,0.0,10.79,338289856
미국,2020-01-04,,,,,,,,0.0,10.79,338289856
미국,2020-01-05,,,,,,,,0.0,10.79,338289856
미국,2020-01-06,,,,,,,,0.0,10.79,338289856
미국,2020-01-07,,,,,,,,0.0,10.79,338289856
미국,2020-01-08,,,,,,,,0.0,10.79,338289856
미국,2020-01-09,,,,,,,,0.0,10.79,338289856
미국,2020-01-10,,,,,,,,0.0,10.79,338289856
미국,2020-01-11,,,,,,,,0.0,10.79,338289856
미국,2020-01-12,,,,,,,,0.0,10.79,338289856
미국,2020-01-13,,,,,,,,0.0,10.79,338289856
미국,2020-01-14,,,,,,,,0.0,10.79,338289856
미국,2020-01-15,,,,,,,,0.0,10.79,338289856
미국,2020-01-16,,,,,,,,0.0,10.79,338289856
미국,2020-01-17,,,,,,,,0.0,10.79,338289856
미국,2020-01-18,,,,,,,,0.0,10.79,338289856
미국,2020-01-19,,,,,,,,0.0,10.79,338289856
미국,2020-01-20,1.0,,,,,,,0.0,10.79,338289856
미국,2020-01-21,1.0,,,,,,,0.0,10.79,338289856
미국,2020-01-22,1.0,,,,,,,0.0,10.79,338289856
미국,2020-01-23,1.0,,,,,,,0.0,10.79,338289856
미국,2020-01-24,1.0,,,,,,,0.0,10.79,338289856
미국,2020-01-25,6.0,,,,,,,0.0,10.79,338289856
미국,2020-01-26,7.0,,,,,,,0.0,10.79,338289856
미국,2020-01-27,7.0,,,,,,,0.0,10.79,338289856
미국,2020-01-28,8.0,,,,,,,0.0,10.79,338289856
미국,2020-01-29,8.0,,,,,,,0.0,10.79,338289856
미국,2020-01-30,8.0,,,,,,,0.0,10.79,338289856
미국,2020-01-31,8.0,,,,,,,0.0,10.79,338289856
미국,2020-02-01,8.0,,,,,,,0.0,10.79,338289856
미국,2020-02-02,9.0,,,,,,,5.56,10.79,338289856
미국,2020-02-03,10.0,,,,,,,5.56,10.79,338289856
미국,2020-02-04,13.0,,,,,,,5.56,10.79,338289856
미국,2020-02-05,17.0,,,,,,,5.56,10.79,338289856
미국,2020-02-06,19.0,,,,,,,5.56,10.79,338289856
미국,2020-02-07,19.0,,,,,,,5.56,10.79,338289856
미국,2020-02-08,19.0,,,,,,,5.56,10.79,338289856
미국,2020-02-09,20.0,,,,,,,5.56,10.79,338289856
미국,2020-02-10,20.0,,,,,,,5.56,10.79,338289856
미국,2020-02-11,20.0,,,,,,,8.33,10.79,338289856
미국,2020-02-12,20.0,,,,,,,8.33,10.79,338289856
미국,2020-02-13,20.0,,,,,,,8.33,10.79,338289856
미국,2020-02-14,22.0,,,,,,,8.33,10.79,338289856
미국,2020-02-15,23.0,,,,,,,8.33,10.79,338289856
미국,2020-02-16,24.0,,,,,,,8.33,10.79,338289856
미국,2020-02-17,24.0,,,,,,,8.33,10.79,338289856
미국,2020-02-18,24.0,,,,,,,8.33,10.79,338289856
미국,2020-02-19,26.0,,,,,,,8.33,10.79,338289856
미국,2020-02-20,31.0,,,,,,,8.33,10.79,338289856
미국,2020-02-21,34.0,,,,,,,8.33,10.79,338289856
미국,2020-02-22,35.0,,,,,,,8.33,10.79,338289856
미국,2020-02-23,40.0,,,,,,,8.33,10.79,338289856
미국,2020-02-24,48.0,,,,,,,8.33,10.79,338289856
미국,2020-02-25,48.0,,,,,,,8.33,10.79,338289856
미국,2020-02-26,52.0,,,,,,,8.33,10.79,338289856
미국,2020-02-27,56.0,,,,,,,8.33,10.79,338289856
미국,2020-02-28,64.0,,,,,,,8.33,10.79,338289856
