location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
미크로네시아 연방,2020-01-03,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-04,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-05,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-06,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-07,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-08,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-09,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-10,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-11,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-12,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-13,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-14,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-15,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-16,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-17,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-18,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-19,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-20,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-21,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-22,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-23,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-24,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-25,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-26,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-27,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-28,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-29,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-30,,,,,,,,,12.02,114178
미크로네시아 연방,2020-01-31,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-01,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-02,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-03,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-04,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-05,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-06,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-07,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-08,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-09,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-10,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-11,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-12,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-13,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-14,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-15,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-16,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-17,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-18,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-19,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-20,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-21,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-22,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-23,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-24,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-25,,,,,,,,,12.02,114178
미크로네시아 연방,2020-02-26,,,,,,,,,12.02,114178
