location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
바레인,2020-01-03,,,,,,,,0.0,16.52,1472237
바레인,2020-01-04,,,,,,,,0.0,16.52,1472237
바레인,2020-01-05,,,,,,,,0.0,16.52,1472237
바레인,2020-01-06,,,,,,,,0.0,16.52,1472237
바레인,2020-01-07,,,,,,,,0.0,16.52,1472237
바레인,2020-01-08,,,,,,,,0.0,16.52,1472237
바레인,2020-01-09,,,,,,,,0.0,16.52,1472237
바레인,2020-01-10,,,,,,,,0.0,16.52,1472237
바레인,2020-01-11,,,,,,,,0.0,16.52,1472237
바레인,2020-01-12,,,,,,,,0.0,16.52,1472237
바레인,2020-01-13,,,,,,,,0.0,16.52,1472237
바레인,2020-01-14,,,,,,,,0.0,16.52,1472237
바레인,2020-01-15,,,,,,,,0.0,16.52,1472237
바레인,2020-01-16,,,,,,,,0.0,16.52,1472237
바레인,2020-01-17,,,,,,,,0.0,16.52,1472237
바레인,2020-01-18,,,,,,,,0.0,16.52,1472237
바레인,2020-01-19,,,,,,,,0.0,16.52,1472237
바레인,2020-01-20,,,,,,,,0.0,16.52,1472237
바레인,2020-01-21,,,,,,,,0.0,16.52,1472237
바레인,2020-01-22,,,,,,,,8.33,16.52,1472237
바레인,2020-01-23,,,,,,,,8.33,16.52,1472237
바레인,2020-01-24,,,,,,,,8.33,16.52,1472237
바레인,2020-01-25,,,,,,,,8.33,16.52,1472237
바레인,2020-01-26,,,,,,,,8.33,16.52,1472237
바레인,2020-01-27,,,,,,,,11.11,16.52,1472237
바레인,2020-01-28,,,,,,,,11.11,16.52,1472237
바레인,2020-01-29,,,,,,,,11.11,16.52,1472237
바레인,2020-01-30,,,,,,,,11.11,16.52,1472237
바레인,2020-01-31,,,,,,,,11.11,16.52,1472237
바레인,2020-02-01,,,,,,,,11.11,16.52,1472237
바레인,2020-02-02,,,,,,,,11.11,16.52,1472237
바레인,2020-02-03,,,,,,,,11.11,16.52,1472237
바레인,2020-02-04,,,,,,,,11.11,16.52,1472237
바레인,2020-02-05,,,,,,,,11.11,16.52,1472237
바레인,2020-02-06,,,,,,,,11.11,16.52,1472237
바레인,2020-02-07,,,,,,,,11.11,16.52,1472237
바레인,2020-02-08,,,,,,,,11.11,16.52,1472237
바레인,2020-02-09,,,,,,,,11.11,16.52,1472237
바레인,2020-02-10,,,,,,,,11.11,16.52,1472237
바레인,2020-02-11,,,,,,,,11.11,16.52,1472237
바레인,2020-02-12,,,,,,,,16.67,16.52,1472237
바레인,2020-02-13,,,,,,,,16.67,16.52,1472237
바레인,2020-02-14,,,,,,,,16.67,16.52,1472237
바레인,2020-02-15,,,,,,,,16.67,16.52,1472237
바레인,2020-02-16,,,,,,,,16.67,16.52,1472237
바레인,2020-02-17,,,,,,,,16.67,16.52,1472237
바레인,2020-02-18,,,,,,,,16.67,16.52,1472237
바레인,2020-02-19,,,,,,,,19.44,16.52,1472237
바레인,2020-02-20,,,,,,,,19.44,16.52,1472237
바레인,2020-02-21,,,,,,,,19.44,16.52,1472237
바레인,2020-02-22,,,,,,,,19.44,16.52,1472237
바레인,2020-02-23,,,,,,,,19.44,16.52,1472237
바레인,2020-02-24,,,,,,,,25.0,16.52,1472237
바레인,2020-02-25,,,,,,,,25.0,16.52,1472237
바레인,2020-02-26,23.0,,,,,,,30.56,16.52,1472237
바레인,2020-02-27,33.0,,,,,,,30.56,16.52,1472237
바레인,2020-02-28,33.0,,,,,,,30.56,16.52,1472237
바레인,2020-02-29,38.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-01,41.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-02,47.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-03,49.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-04,49.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-05,52.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-06,52.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-07,56.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-08,63.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-09,79.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-10,109.0,,,,,,,30.56,16.52,1472237
바레인,2020-03-11,110.0,,1.39,,,,,30.56,16.52,1472237
바레인,2020-03-12,195.0,,1.24,0.0377,,,,30.56,16.52,1472237
바레인,2020-03-13,195.0,,1.15,0.0343,,,,30.56,16.52,1472237
바레인,2020-03-14,210.0,,1.09,0.03,,,,30.56,16.52,1472237
바레인,2020-03-15,211.0,,1.04,0.0305,,,,30.56,16.52,1472237
