location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
바하마,2020-01-03,,,,,,,,0.0,13.17,409989
바하마,2020-01-04,,,,,,,,0.0,13.17,409989
바하마,2020-01-05,,,,,,,,0.0,13.17,409989
바하마,2020-01-06,,,,,,,,0.0,13.17,409989
바하마,2020-01-07,,,,,,,,0.0,13.17,409989
바하마,2020-01-08,,,,,,,,0.0,13.17,409989
바하마,2020-01-09,,,,,,,,0.0,13.17,409989
바하마,2020-01-10,,,,,,,,0.0,13.17,409989
바하마,2020-01-11,,,,,,,,0.0,13.17,409989
바하마,2020-01-12,,,,,,,,0.0,13.17,409989
바하마,2020-01-13,,,,,,,,0.0,13.17,409989
바하마,2020-01-14,,,,,,,,0.0,13.17,409989
바하마,2020-01-15,,,,,,,,0.0,13.17,409989
바하마,2020-01-16,,,,,,,,0.0,13.17,409989
바하마,2020-01-17,,,,,,,,0.0,13.17,409989
바하마,2020-01-18,,,,,,,,0.0,13.17,409989
바하마,2020-01-19,,,,,,,,0.0,13.17,409989
바하마,2020-01-20,,,,,,,,0.0,13.17,409989
바하마,2020-01-21,,,,,,,,0.0,13.17,409989
바하마,2020-01-22,,,,,,,,5.56,13.17,409989
바하마,2020-01-23,,,,,,,,5.56,13.17,409989
바하마,2020-01-24,,,,,,,,5.56,13.17,409989
바하마,2020-01-25,,,,,,,,5.56,13.17,409989
바하마,2020-01-26,,,,,,,,5.56,13.17,409989
바하마,2020-01-27,,,,,,,,5.56,13.17,409989
바하마,2020-01-28,,,,,,,,5.56,13.17,409989
바하마,2020-01-29,,,,,,,,5.56,13.17,409989
바하마,2020-01-30,,,,,,,,13.89,13.17,409989
바하마,2020-01-31,,,,,,,,13.89,13.17,409989
바하마,2020-02-01,,,,,,,,13.89,13.17,409989
바하마,2020-02-02,,,,,,,,13.89,13.17,409989
바하마,2020-02-03,,,,,,,,13.89,13.17,409989
바하마,2020-02-04,,,,,,,,13.89,13.17,409989
바하마,2020-02-05,,,,,,,,13.89,13.17,409989
바하마,2020-02-06,,,,,,,,13.89,13.17,409989
바하마,2020-02-07,,,,,,,,13.89,13.17,409989
바하마,2020-02-08,,,,,,,,13.89,13.17,409989
바하마,2020-02-09,,,,,,,,13.89,13.17,409989
바하마,2020-02-10,,,,,,,,13.89,13.17,409989
바하마,2020-02-11,,,,,,,,13.89,13.17,409989
바하마,2020-02-12,,,,,,,,13.89,13.17,409989
바하마,2020-02-13,,,,,,,,13.89,13.17,409989
바하마,2020-02-14,,,,,,,,13.89,13.17,409989
바하마,2020-02-15,,,,,,,,13.89,13.17,409989
바하마,2020-02-16,,,,,,,,13.89,13.17,409989
바하마,2020-02-17,,,,,,,,13.89,13.17,409989
바하마,2020-02-18,,,,,,,,13.89,13.17,409989
바하마,2020-02-19,,,,,,,,13.89,13.17,409989
바하마,2020-02-20,,,,,,,,13.89,13.17,409989
바하마,2020-02-21,,,,,,,,13.89,13.17,409989
바하마,2020-02-22,,,,,,,,13.89,13.17,409989
바하마,2020-02-23,,,,,,,,13.89,13.17,409989
바하마,2020-02-24,,,,,,,,13.89,13.17,409989
바하마,2020-02-25,,,,,,,,13.89,13.17,409989
바하마,2020-02-26,,,,,,,,13.89,13.17,409989
바하마,2020-02-27,,,,,,,,19.44,13.17,409989
바하마,2020-02-28,,,,,,,,19.44,13.17,409989
바하마,2020-02-29,,,,,,,,19.44,13.17,409989
바하마,2020-03-01,,,,,,,,19.44,13.17,409989
바하마,2020-03-02,,,,,,,,19.44,13.17,409989
바하마,2020-03-03,,,,,,,,19.44,13.17,409989
바하마,2020-03-04,,,,,,,,19.44,13.17,409989
바하마,2020-03-05,,,,,,,,19.44,13.17,409989
바하마,2020-03-06,,,,,,,,19.44,13.17,409989
바하마,2020-03-07,,,,,,,,19.44,13.17,409989
바하마,2020-03-08,,,,,,,,19.44,13.17,409989
바하마,2020-03-09,,,,,,,,19.44,13.17,409989
바하마,2020-03-10,,,,,,,,19.44,13.17,409989
바하마,2020-03-11,,,,,,,,19.44,13.17,409989
바하마,2020-03-12,,,,,,,,19.44,13.17,409989
바하마,2020-03-13,,,,,,,,19.44,13.17,409989
바하마,2020-03-14,,,,,,,,19.44,13.17,409989
바하마,2020-03-15,,,,,,,,19.44,13.17,409989
바하마,2020-03-16,,,,,,,,30.56,13.17,409989
바하마,2020-03-17,1.0,,,,,,,30.56,13.17,409989
바하마,2020-03-18,1.0,,,,,,,30.56,13.17,409989
바하마,2020-03-19,3.0,,,,,,,30.56,13.17,409989
