location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
방글라데시,2020-01-03,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-04,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-05,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-06,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-07,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-08,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-09,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-10,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-11,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-12,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-13,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-14,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-15,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-16,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-17,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-18,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-19,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-20,,,,,,,,0.0,8.38,171186368
방글라데시,2020-01-21,,,,,,,,5.56,8.38,171186368
방글라데시,2020-01-22,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-23,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-24,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-25,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-26,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-27,,,,,,,,8.33,8.38,171186368
방글라데시,2020-01-28,,,,,,,,13.89,8.38,171186368
방글라데시,2020-01-29,,,,,,,,13.89,8.38,171186368
방글라데시,2020-01-30,,,,,,,,13.89,8.38,171186368
방글라데시,2020-01-31,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-01,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-02,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-03,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-04,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-05,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-06,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-07,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-08,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-09,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-10,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-11,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-12,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-13,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-14,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-15,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-16,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-17,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-18,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-19,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-20,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-21,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-22,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-23,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-24,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-25,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-26,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-27,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-28,,,,,,,,13.89,8.38,171186368
방글라데시,2020-02-29,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-01,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-02,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-03,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-04,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-05,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-06,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-07,,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-08,3.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-09,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-10,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-11,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-12,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-13,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-14,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-15,7.0,,,,,,,13.89,8.38,171186368
방글라데시,2020-03-16,8.0,,,,,,,33.33,8.38,171186368
방글라데시,2020-03-17,9.0,,,,,,,33.33,8.38,171186368
방글라데시,2020-03-18,10.0,,,,,,,33.33,8.38,171186368
방글라데시,2020-03-19,17.0,1.0,,,,,,75.93,8.38,171186368
방글라데시,2020-03-20,17.0,1.0,,,,,,75.93,8.38,171186368
방글라데시,2020-03-21,24.0,1.0,,,,,,81.48,8.38,171186368
방글라데시,2020-03-22,24.0,2.0,,,,,,81.48,8.38,171186368
방글라데시,2020-03-23,33.0,3.0,,,,,,81.48,8.38,171186368
방글라데시,2020-03-24,39.0,4.0,,,,,,81.48,8.38,171186368
방글라데시,2020-03-25,39.0,5.0,,,,,,82.41,8.38,171186368
방글라데시,2020-03-26,44.0,5.0,,,,,,84.26,8.38,171186368
방글라데시,2020-03-27,48.0,5.0,,,,,,84.26,8.38,171186368
방글라데시,2020-03-28,48.0,5.0,,,,,,84.26,8.38,171186368
방글라데시,2020-03-29,48.0,5.0,,,,,,84.26,8.38,171186368
방글라데시,2020-03-30,49.0,5.0,,,,,,84.26,8.38,171186368
방글라데시,2020-03-31,51.0,5.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-01,54.0,6.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-02,56.0,6.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-03,61.0,6.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-04,70.0,8.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-05,88.0,8.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-06,123.0,12.0,,,,,,87.04,8.38,171186368
방글라데시,2020-04-07,164.0,17.0,2.72,,,,,87.04,8.38,171186368
방글라데시,2020-04-08,218.0,20.0,2.8,,,,,87.04,8.38,171186368
방글라데시,2020-04-09,330.0,21.0,2.86,,,,,87.04,8.38,171186368
방글라데시,2020-04-10,424.0,27.0,2.72,0.0723,,,,90.74,8.38,171186368
방글라데시,2020-04-11,482.0,30.0,2.58,0.0744,,,,93.52,8.38,171186368
