location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
베트남,2020-01-03,,,,,,,,0.0,6.0,98186856
베트남,2020-01-04,,,,,,,,0.0,6.0,98186856
베트남,2020-01-05,,,,,,,,0.0,6.0,98186856
베트남,2020-01-06,,,,,,,,0.0,6.0,98186856
베트남,2020-01-07,,,,,,,,0.0,6.0,98186856
베트남,2020-01-08,,,,,,,,0.0,6.0,98186856
베트남,2020-01-09,,,,,,,,0.0,6.0,98186856
베트남,2020-01-10,,,,,,,,0.0,6.0,98186856
베트남,2020-01-11,,,,,,,,0.0,6.0,98186856
베트남,2020-01-12,,,,,,,,0.0,6.0,98186856
베트남,2020-01-13,,,,,,,,0.0,6.0,98186856
베트남,2020-01-14,,,,,,,,0.0,6.0,98186856
베트남,2020-01-15,,,,,,,,0.0,6.0,98186856
베트남,2020-01-16,,,,,,,,0.0,6.0,98186856
베트남,2020-01-17,,,,,,,,0.0,6.0,98186856
베트남,2020-01-18,,,,,,,,0.0,6.0,98186856
베트남,2020-01-19,,,,,,,,0.0,6.0,98186856
베트남,2020-01-20,,,,,,,,0.0,6.0,98186856
베트남,2020-01-21,,,,,,,,0.0,6.0,98186856
베트남,2020-01-22,,,,,,,,0.0,6.0,98186856
베트남,2020-01-23,,,,,,,,0.0,6.0,98186856
베트남,2020-01-24,,,,,,,,0.0,6.0,98186856
베트남,2020-01-25,2.0,,,,,,,2.78,6.0,98186856
베트남,2020-01-26,2.0,,,,,,,2.78,6.0,98186856
베트남,2020-01-27,2.0,,,,,,,2.78,6.0,98186856
베트남,2020-01-28,2.0,,,,,,,2.78,6.0,98186856
베트남,2020-01-29,2.0,,,,,,,23.15,6.0,98186856
베트남,2020-01-30,2.0,,,,,,,25.93,6.0,98186856
베트남,2020-01-31,2.0,,,,,,,25.93,6.0,98186856
베트남,2020-02-01,5.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-02,6.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-03,7.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-04,7.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-05,10.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-06,10.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-07,12.0,,,,,,,28.7,6.0,98186856
베트남,2020-02-08,13.0,,,,,,,37.04,6.0,98186856
베트남,2020-02-09,13.0,,,,,,,37.04,6.0,98186856
베트남,2020-02-10,14.0,,,,,,,37.04,6.0,98186856
베트남,2020-02-11,14.0,,,,,,,37.04,6.0,98186856
베트남,2020-02-12,15.0,,,,,,,37.04,6.0,98186856
베트남,2020-02-13,15.0,,,,,,,45.37,6.0,98186856
베트남,2020-02-14,16.0,,,,,,,45.37,6.0,98186856
베트남,2020-02-15,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-16,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-17,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-18,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-19,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-20,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-21,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-22,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-23,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-24,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-25,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-26,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-27,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-28,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-02-29,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-01,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-02,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-03,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-04,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-05,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-06,16.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-07,18.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-08,20.0,,,,,,,47.22,6.0,98186856
베트남,2020-03-09,30.0,,,,,,,47.22,6.0,98186856
