location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
벨기에,2020-01-03,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-04,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-05,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-06,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-07,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-08,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-09,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-10,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-11,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-12,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-13,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-14,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-15,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-16,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-17,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-18,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-19,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-20,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-21,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-22,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-23,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-24,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-25,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-26,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-27,,,,,,,,0.0,4.29,11655923
벨기에,2020-01-28,,,,,,,,5.56,4.29,11655923
벨기에,2020-01-29,,,,,,,,5.56,4.29,11655923
벨기에,2020-01-30,,,,,,,,5.56,4.29,11655923
벨기에,2020-01-31,,,,,,,,11.11,4.29,11655923
벨기에,2020-02-01,,,,,,,,11.11,4.29,11655923
벨기에,2020-02-02,,,,,,,,11.11,4.29,11655923
벨기에,2020-02-03,,,,,,,,11.11,4.29,11655923
벨기에,2020-02-04,,,,,,,,11.11,4.29,11655923
벨기에,2020-02-05,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-06,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-07,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-08,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-09,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-10,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-11,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-12,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-13,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-14,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-15,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-16,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-17,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-18,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-19,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-20,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-21,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-22,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-23,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-24,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-25,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-26,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-27,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-28,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-02-29,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-03-01,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-03-02,1.0,,,,,,,11.11,4.29,11655923
벨기에,2020-03-03,19.0,,,,,,,11.11,4.29,11655923
벨기에,2020-03-04,38.0,,,,,,,13.89,4.29,11655923
벨기에,2020-03-05,72.0,,,,,,,13.89,4.29,11655923
벨기에,2020-03-06,125.0,,,,,,,13.89,4.29,11655923
벨기에,2020-03-07,206.0,,2.43,0.062,,,,13.89,4.29,11655923
벨기에,2020-03-08,316.0,,2.41,0.068,,,,13.89,4.29,11655923
벨기에,2020-03-09,343.0,1.0,2.41,0.069,,,,13.89,4.29,11655923
벨기에,2020-03-10,407.0,1.0,2.4,0.073,,,,19.44,4.29,11655923
벨기에,2020-03-11,501.0,1.0,2.41,0.079,,,,19.44,4.29,11655923
벨기에,2020-03-12,600.0,2.0,2.41,0.084,,,,19.44,4.29,11655923
벨기에,2020-03-13,774.0,5.0,2.43,0.09,,,,23.15,4.29,11655923
벨기에,2020-03-14,1024.0,5.0,2.4,0.089,,,,50.93,4.29,11655923
벨기에,2020-03-15,1362.0,9.0,2.38,0.095,,,,50.93,4.29,11655923
벨기에,2020-03-16,1541.0,16.0,2.35,0.104,,,,50.93,4.29,11655923
벨기에,2020-03-17,1755.0,23.0,2.31,0.122,,,,50.93,4.29,11655923
벨기에,2020-03-18,2142.0,34.0,2.28,0.136,,,,73.15,4.29,11655923
벨기에,2020-03-19,2564.0,49.0,2.24,0.155,,,,73.15,4.29,11655923
벨기에,2020-03-20,3098.0,74.0,2.2,0.183,,,,81.48,4.29,11655923
벨기에,2020-03-21,3811.0,109.0,2.16,0.21,,,,81.48,4.29,11655923
