location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
보츠와나,2020-01-03,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-04,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-05,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-06,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-07,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-08,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-09,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-10,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-11,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-12,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-13,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-14,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-15,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-16,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-17,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-18,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-19,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-20,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-21,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-22,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-23,,,,,,,,5.56,4.81,2630300
보츠와나,2020-01-24,,,,,,,,11.11,4.81,2630300
보츠와나,2020-01-25,,,,,,,,11.11,4.81,2630300
보츠와나,2020-01-26,,,,,,,,11.11,4.81,2630300
보츠와나,2020-01-27,,,,,,,,11.11,4.81,2630300
보츠와나,2020-01-28,,,,,,,,13.89,4.81,2630300
보츠와나,2020-01-29,,,,,,,,13.89,4.81,2630300
보츠와나,2020-01-30,,,,,,,,13.89,4.81,2630300
보츠와나,2020-01-31,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-01,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-02,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-03,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-04,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-05,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-06,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-07,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-08,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-09,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-10,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-11,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-12,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-13,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-14,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-15,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-16,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-17,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-18,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-19,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-20,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-21,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-22,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-23,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-24,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-25,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-26,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-27,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-28,,,,,,,,13.89,4.81,2630300
보츠와나,2020-02-29,,,,,,,,13.89,4.81,2630300
보츠와나,2020-03-01,,,,,,,,13.89,4.81,2630300
