location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
부탄,2020-01-03,,,,,,,,0.0,9.75,782457
부탄,2020-01-04,,,,,,,,0.0,9.75,782457
부탄,2020-01-05,,,,,,,,0.0,9.75,782457
부탄,2020-01-06,,,,,,,,0.0,9.75,782457
부탄,2020-01-07,,,,,,,,0.0,9.75,782457
부탄,2020-01-08,,,,,,,,0.0,9.75,782457
부탄,2020-01-09,,,,,,,,0.0,9.75,782457
부탄,2020-01-10,,,,,,,,0.0,9.75,782457
부탄,2020-01-11,,,,,,,,0.0,9.75,782457
부탄,2020-01-12,,,,,,,,0.0,9.75,782457
부탄,2020-01-13,,,,,,,,0.0,9.75,782457
부탄,2020-01-14,,,,,,,,0.0,9.75,782457
부탄,2020-01-15,,,,,,,,8.33,9.75,782457
부탄,2020-01-16,,,,,,,,8.33,9.75,782457
부탄,2020-01-17,,,,,,,,8.33,9.75,782457
부탄,2020-01-18,,,,,,,,8.33,9.75,782457
부탄,2020-01-19,,,,,,,,8.33,9.75,782457
부탄,2020-01-20,,,,,,,,8.33,9.75,782457
부탄,2020-01-21,,,,,,,,8.33,9.75,782457
부탄,2020-01-22,,,,,,,,8.33,9.75,782457
부탄,2020-01-23,,,,,,,,13.89,9.75,782457
부탄,2020-01-24,,,,,,,,13.89,9.75,782457
부탄,2020-01-25,,,,,,,,13.89,9.75,782457
부탄,2020-01-26,,,,,,,,13.89,9.75,782457
부탄,2020-01-27,,,,,,,,13.89,9.75,782457
부탄,2020-01-28,,,,,,,,13.89,9.75,782457
부탄,2020-01-29,,,,,,,,13.89,9.75,782457
부탄,2020-01-30,,,,,,,,13.89,9.75,782457
부탄,2020-01-31,,,,,,,,13.89,9.75,782457
부탄,2020-02-01,,,,,,,,13.89,9.75,782457
부탄,2020-02-02,,,,,,,,13.89,9.75,782457
부탄,2020-02-03,,,,,,,,13.89,9.75,782457
부탄,2020-02-04,,,,,,,,13.89,9.75,782457
부탄,2020-02-05,,,,,,,,13.89,9.75,782457
부탄,2020-02-06,,,,,,,,13.89,9.75,782457
부탄,2020-02-07,,,,,,,,13.89,9.75,782457
부탄,2020-02-08,,,,,,,,13.89,9.75,782457
부탄,2020-02-09,,,,,,,,13.89,9.75,782457
부탄,2020-02-10,,,,,,,,13.89,9.75,782457
부탄,2020-02-11,,,,,,,,13.89,9.75,782457
부탄,2020-02-12,,,,,,,,13.89,9.75,782457
부탄,2020-02-13,,,,,,,,13.89,9.75,782457
부탄,2020-02-14,,,,,,,,13.89,9.75,782457
부탄,2020-02-15,,,,,,,,13.89,9.75,782457
부탄,2020-02-16,,,,,,,,13.89,9.75,782457
부탄,2020-02-17,,,,,,,,13.89,9.75,782457
부탄,2020-02-18,,,,,,,,13.89,9.75,782457
부탄,2020-02-19,,,,,,,,13.89,9.75,782457
부탄,2020-02-20,,,,,,,,13.89,9.75,782457
부탄,2020-02-21,,,,,,,,13.89,9.75,782457
부탄,2020-02-22,,,,,,,,13.89,9.75,782457
부탄,2020-02-23,,,,,,,,13.89,9.75,782457
부탄,2020-02-24,,,,,,,,13.89,9.75,782457
부탄,2020-02-25,,,,,,,,13.89,9.75,782457
부탄,2020-02-26,,,,,,,,13.89,9.75,782457
부탄,2020-02-27,,,,,,,,13.89,9.75,782457
부탄,2020-02-28,,,,,,,,13.89,9.75,782457
부탄,2020-02-29,,,,,,,,13.89,9.75,782457
부탄,2020-03-01,,,,,,,,13.89,9.75,782457
부탄,2020-03-02,,,,,,,,13.89,9.75,782457
부탄,2020-03-03,,,,,,,,13.89,9.75,782457
부탄,2020-03-04,,,,,,,,13.89,9.75,782457
부탄,2020-03-05,,,,,,,,13.89,9.75,782457
부탄,2020-03-06,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-07,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-08,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-09,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-10,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-11,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-12,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-13,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-14,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-15,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-16,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-17,1.0,,,,,,,31.48,9.75,782457
부탄,2020-03-18,1.0,,,,,,,33.33,9.75,782457
부탄,2020-03-19,2.0,,,,,,,33.33,9.75,782457
부탄,2020-03-20,1.0,,,,,,,33.33,9.75,782457
부탄,2020-03-21,2.0,,,,,,,33.33,9.75,782457
부탄,2020-03-22,2.0,,,,,,,33.33,9.75,782457
부탄,2020-03-23,2.0,,,,,,,38.89,9.75,782457
부탄,2020-03-24,2.0,,,,,,,38.89,9.75,782457
부탄,2020-03-25,2.0,,,,,,,38.89,9.75,782457
부탄,2020-03-26,3.0,,,,,,,42.59,9.75,782457
