location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
북아메리카,2020-01-03,,,,,,,,,,600323657
북아메리카,2020-01-04,,,,,,,,,,600323657
북아메리카,2020-01-05,,,,,,,,,,600323657
북아메리카,2020-01-06,,,,,,,,,,600323657
북아메리카,2020-01-07,,,,,,,,,,600323657
북아메리카,2020-01-08,,,,,,,,,,600323657
북아메리카,2020-01-09,,,,,,,,,,600323657
북아메리카,2020-01-10,,,,,,,,,,600323657
북아메리카,2020-01-11,,,,,,,,,,600323657
북아메리카,2020-01-12,,,,,,,,,,600323657
북아메리카,2020-01-13,,,,,,,,,,600323657
북아메리카,2020-01-14,,,,,,,,,,600323657
북아메리카,2020-01-15,,,,,,,,,,600323657
북아메리카,2020-01-16,,,,,,,,,,600323657
북아메리카,2020-01-17,,,,,,,,,,600323657
북아메리카,2020-01-18,,,,,,,,,,600323657
북아메리카,2020-01-19,,,,,,,,,,600323657
북아메리카,2020-01-20,1.0,,,,,,,,,600323657
북아메리카,2020-01-21,1.0,,,,,,,,,600323657
북아메리카,2020-01-22,1.0,,,,,,,,,600323657
북아메리카,2020-01-23,1.0,,,,,,,,,600323657
북아메리카,2020-01-24,1.0,,,,,,,,,600323657
북아메리카,2020-01-25,6.0,,,,,,,,,600323657
북아메리카,2020-01-26,8.0,,,,,,,,,600323657
북아메리카,2020-01-27,8.0,,,,,,,,,600323657
북아메리카,2020-01-28,10.0,,,,,,,,,600323657
북아메리카,2020-01-29,10.0,,,,,,,,,600323657
북아메리카,2020-01-30,11.0,,,,,,,,,600323657
북아메리카,2020-01-31,11.0,,,,,,,,,600323657
북아메리카,2020-02-01,12.0,,,,,,,,,600323657
북아메리카,2020-02-02,13.0,,,,,,,,,600323657
북아메리카,2020-02-03,14.0,,,,,,,,,600323657
북아메리카,2020-02-04,21.0,,,,,,,,,600323657
북아메리카,2020-02-05,26.0,,,,,,,,,600323657
북아메리카,2020-02-06,28.0,,,,,,,,,600323657
북아메리카,2020-02-07,24.0,,,,,,,,,600323657
북아메리카,2020-02-08,26.0,,,,,,,,,600323657
북아메리카,2020-02-09,27.0,,,,,,,,,600323657
북아메리카,2020-02-10,27.0,,,,,,,,,600323657
북아메리카,2020-02-11,27.0,,,,,,,,,600323657
북아메리카,2020-02-12,27.0,,,,,,,,,600323657
북아메리카,2020-02-13,27.0,,,,,,,,,600323657
북아메리카,2020-02-14,29.0,,,,,,,,,600323657
북아메리카,2020-02-15,30.0,,,,,,,,,600323657
북아메리카,2020-02-16,31.0,,,,,,,,,600323657
북아메리카,2020-02-17,32.0,,,,,,,,,600323657
북아메리카,2020-02-18,32.0,,,,,,,,,600323657
북아메리카,2020-02-19,34.0,,,,,,,,,600323657
북아메리카,2020-02-20,39.0,,,,,,,,,600323657
북아메리카,2020-02-21,43.0,,,,,,,,,600323657
북아메리카,2020-02-22,45.0,,,,,,,,,600323657
북아메리카,2020-02-23,50.0,,,,,,,,,600323657
북아메리카,2020-02-24,58.0,,,,,,,,,600323657
북아메리카,2020-02-25,59.0,,,,,,,,,600323657
북아메리카,2020-02-26,63.0,,,,,,,,,600323657
북아메리카,2020-02-27,68.0,,,,,,,,,600323657
북아메리카,2020-02-28,77.0,,,,,,,,,600323657
북아메리카,2020-02-29,86.0,1.0,,,,,,,,600323657
북아메리카,2020-03-01,94.0,1.0,,,,,,,,600323657
북아메리카,2020-03-02,105.0,2.0,,,,,,,,600323657
북아메리카,2020-03-03,135.0,2.0,,,,,,,,600323657
북아메리카,2020-03-04,186.0,8.0,,,,,,,,600323657
북아메리카,2020-03-05,246.0,11.0,,,,,,,,600323657
북아메리카,2020-03-06,338.0,13.0,,,,,,,,600323657
북아메리카,2020-03-07,428.0,16.0,,,,,,,,600323657
북아메리카,2020-03-08,574.0,19.0,,,,,,,,600323657
