location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
불가리아,2020-01-03,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-04,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-05,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-06,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-07,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-08,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-09,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-10,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-11,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-12,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-13,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-14,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-15,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-16,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-17,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-18,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-19,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-20,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-21,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-22,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-23,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-24,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-25,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-26,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-27,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-28,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-29,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-30,,,,,,,,0.0,5.81,6781955
불가리아,2020-01-31,,,,,,,,0.0,5.81,6781955
불가리아,2020-02-01,,,,,,,,0.0,5.81,6781955
불가리아,2020-02-02,,,,,,,,0.0,5.81,6781955
불가리아,2020-02-03,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-04,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-05,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-06,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-07,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-08,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-09,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-10,,,,,,,,2.78,5.81,6781955
불가리아,2020-02-11,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-12,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-13,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-14,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-15,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-16,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-17,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-18,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-19,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-20,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-21,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-22,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-23,,,,,,,,8.33,5.81,6781955
불가리아,2020-02-24,,,,,,,,13.89,5.81,6781955
불가리아,2020-02-25,,,,,,,,13.89,5.81,6781955
불가리아,2020-02-26,,,,,,,,13.89,5.81,6781955
불가리아,2020-02-27,,,,,,,,13.89,5.81,6781955
불가리아,2020-02-28,,,,,,,,13.89,5.81,6781955
불가리아,2020-02-29,,,,,,,,13.89,5.81,6781955
불가리아,2020-03-01,,,,,,,,13.89,5.81,6781955
불가리아,2020-03-02,,,,,,,,13.89,5.81,6781955
불가리아,2020-03-03,,,,,,,,13.89,5.81,6781955
불가리아,2020-03-04,,,,,,,,13.89,5.81,6781955
불가리아,2020-03-05,,,,,,,,21.3,5.81,6781955
불가리아,2020-03-06,,,,,,,,21.3,5.81,6781955
불가리아,2020-03-07,,,,,,,,21.3,5.81,6781955
불가리아,2020-03-08,4.0,,,,,,,21.3,5.81,6781955
불가리아,2020-03-09,4.0,,,,,,,21.3,5.81,6781955
불가리아,2020-03-10,4.0,,,,,,,21.3,5.81,6781955
불가리아,2020-03-11,4.0,,,,,,,26.85,5.81,6781955
불가리아,2020-03-12,4.0,,,,,,,26.85,5.81,6781955
불가리아,2020-03-13,4.0,,,,,,,50.93,5.81,6781955
불가리아,2020-03-14,4.0,,,,,,,50.93,5.81,6781955
불가리아,2020-03-15,51.0,2.0,,,,,,50.93,5.81,6781955
불가리아,2020-03-16,51.0,2.0,,,,,,50.93,5.81,6781955
불가리아,2020-03-17,51.0,2.0,,,,,,56.48,5.81,6781955
불가리아,2020-03-18,51.0,2.0,,,,,,70.37,5.81,6781955
불가리아,2020-03-19,51.0,2.0,,,,,,70.37,5.81,6781955
불가리아,2020-03-20,51.0,2.0,,,,,,70.37,5.81,6781955
불가리아,2020-03-21,51.0,2.0,1.28,,,,,73.15,5.81,6781955
불가리아,2020-03-22,185.0,3.0,1.25,,,,,73.15,5.81,6781955
불가리아,2020-03-23,185.0,3.0,1.22,,,,,73.15,5.81,6781955
