location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
브루나이,2020-01-03,,,,,,,,0.0,12.79,449002
브루나이,2020-01-04,,,,,,,,0.0,12.79,449002
브루나이,2020-01-05,,,,,,,,0.0,12.79,449002
브루나이,2020-01-06,,,,,,,,11.11,12.79,449002
브루나이,2020-01-07,,,,,,,,11.11,12.79,449002
브루나이,2020-01-08,,,,,,,,11.11,12.79,449002
브루나이,2020-01-09,,,,,,,,11.11,12.79,449002
브루나이,2020-01-10,,,,,,,,11.11,12.79,449002
브루나이,2020-01-11,,,,,,,,11.11,12.79,449002
브루나이,2020-01-12,,,,,,,,11.11,12.79,449002
브루나이,2020-01-13,,,,,,,,11.11,12.79,449002
브루나이,2020-01-14,,,,,,,,11.11,12.79,449002
브루나이,2020-01-15,,,,,,,,11.11,12.79,449002
브루나이,2020-01-16,,,,,,,,11.11,12.79,449002
브루나이,2020-01-17,,,,,,,,11.11,12.79,449002
브루나이,2020-01-18,,,,,,,,11.11,12.79,449002
브루나이,2020-01-19,,,,,,,,11.11,12.79,449002
브루나이,2020-01-20,,,,,,,,11.11,12.79,449002
브루나이,2020-01-21,,,,,,,,11.11,12.79,449002
브루나이,2020-01-22,,,,,,,,11.11,12.79,449002
브루나이,2020-01-23,,,,,,,,11.11,12.79,449002
브루나이,2020-01-24,,,,,,,,11.11,12.79,449002
브루나이,2020-01-25,,,,,,,,11.11,12.79,449002
브루나이,2020-01-26,,,,,,,,11.11,12.79,449002
브루나이,2020-01-27,,,,,,,,11.11,12.79,449002
브루나이,2020-01-28,,,,,,,,11.11,12.79,449002
브루나이,2020-01-29,,,,,,,,11.11,12.79,449002
브루나이,2020-01-30,,,,,,,,19.44,12.79,449002
브루나이,2020-01-31,,,,,,,,19.44,12.79,449002
브루나이,2020-02-01,,,,,,,,19.44,12.79,449002
브루나이,2020-02-02,,,,,,,,19.44,12.79,449002
브루나이,2020-02-03,,,,,,,,19.44,12.79,449002
브루나이,2020-02-04,,,,,,,,19.44,12.79,449002
브루나이,2020-02-05,,,,,,,,19.44,12.79,449002
브루나이,2020-02-06,,,,,,,,19.44,12.79,449002
브루나이,2020-02-07,,,,,,,,19.44,12.79,449002
브루나이,2020-02-08,,,,,,,,19.44,12.79,449002
브루나이,2020-02-09,,,,,,,,19.44,12.79,449002
브루나이,2020-02-10,,,,,,,,19.44,12.79,449002
브루나이,2020-02-11,,,,,,,,19.44,12.79,449002
브루나이,2020-02-12,,,,,,,,19.44,12.79,449002
브루나이,2020-02-13,,,,,,,,19.44,12.79,449002
브루나이,2020-02-14,,,,,,,,19.44,12.79,449002
브루나이,2020-02-15,,,,,,,,19.44,12.79,449002
브루나이,2020-02-16,,,,,,,,19.44,12.79,449002
브루나이,2020-02-17,,,,,,,,19.44,12.79,449002
브루나이,2020-02-18,,,,,,,,19.44,12.79,449002
브루나이,2020-02-19,,,,,,,,19.44,12.79,449002
브루나이,2020-02-20,,,,,,,,19.44,12.79,449002
브루나이,2020-02-21,,,,,,,,19.44,12.79,449002
브루나이,2020-02-22,,,,,,,,19.44,12.79,449002
브루나이,2020-02-23,,,,,,,,19.44,12.79,449002
브루나이,2020-02-24,,,,,,,,19.44,12.79,449002
브루나이,2020-02-25,,,,,,,,19.44,12.79,449002
브루나이,2020-02-26,,,,,,,,19.44,12.79,449002
브루나이,2020-02-27,,,,,,,,19.44,12.79,449002
브루나이,2020-02-28,,,,,,,,19.44,12.79,449002
브루나이,2020-02-29,,,,,,,,19.44,12.79,449002
브루나이,2020-03-01,,,,,,,,19.44,12.79,449002
브루나이,2020-03-02,,,,,,,,19.44,12.79,449002
브루나이,2020-03-03,,,,,,,,19.44,12.79,449002
브루나이,2020-03-04,,,,,,,,19.44,12.79,449002
브루나이,2020-03-05,,,,,,,,19.44,12.79,449002
