location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
사모아,2020-01-03,,,,,,,,,9.21,222390
사모아,2020-01-04,,,,,,,,,9.21,222390
사모아,2020-01-05,,,,,,,,,9.21,222390
사모아,2020-01-06,,,,,,,,,9.21,222390
사모아,2020-01-07,,,,,,,,,9.21,222390
사모아,2020-01-08,,,,,,,,,9.21,222390
사모아,2020-01-09,,,,,,,,,9.21,222390
사모아,2020-01-10,,,,,,,,,9.21,222390
사모아,2020-01-11,,,,,,,,,9.21,222390
사모아,2020-01-12,,,,,,,,,9.21,222390
사모아,2020-01-13,,,,,,,,,9.21,222390
사모아,2020-01-14,,,,,,,,,9.21,222390
사모아,2020-01-15,,,,,,,,,9.21,222390
사모아,2020-01-16,,,,,,,,,9.21,222390
사모아,2020-01-17,,,,,,,,,9.21,222390
사모아,2020-01-18,,,,,,,,,9.21,222390
사모아,2020-01-19,,,,,,,,,9.21,222390
사모아,2020-01-20,,,,,,,,,9.21,222390
사모아,2020-01-21,,,,,,,,,9.21,222390
사모아,2020-01-22,,,,,,,,,9.21,222390
사모아,2020-01-23,,,,,,,,,9.21,222390
사모아,2020-01-24,,,,,,,,,9.21,222390
사모아,2020-01-25,,,,,,,,,9.21,222390
사모아,2020-01-26,,,,,,,,,9.21,222390
사모아,2020-01-27,,,,,,,,,9.21,222390
사모아,2020-01-28,,,,,,,,,9.21,222390
사모아,2020-01-29,,,,,,,,,9.21,222390
사모아,2020-01-30,,,,,,,,,9.21,222390
사모아,2020-01-31,,,,,,,,,9.21,222390
사모아,2020-02-01,,,,,,,,,9.21,222390
사모아,2020-02-02,,,,,,,,,9.21,222390
사모아,2020-02-03,,,,,,,,,9.21,222390
사모아,2020-02-04,,,,,,,,,9.21,222390
사모아,2020-02-05,,,,,,,,,9.21,222390
사모아,2020-02-06,,,,,,,,,9.21,222390
사모아,2020-02-07,,,,,,,,,9.21,222390
사모아,2020-02-08,,,,,,,,,9.21,222390
사모아,2020-02-09,,,,,,,,,9.21,222390
사모아,2020-02-10,,,,,,,,,9.21,222390
사모아,2020-02-11,,,,,,,,,9.21,222390
사모아,2020-02-12,,,,,,,,,9.21,222390
사모아,2020-02-13,,,,,,,,,9.21,222390
사모아,2020-02-14,,,,,,,,,9.21,222390
사모아,2020-02-15,,,,,,,,,9.21,222390
사모아,2020-02-16,,,,,,,,,9.21,222390
사모아,2020-02-17,,,,,,,,,9.21,222390
사모아,2020-02-18,,,,,,,,,9.21,222390
사모아,2020-02-19,,,,,,,,,9.21,222390
사모아,2020-02-20,,,,,,,,,9.21,222390
사모아,2020-02-21,,,,,,,,,9.21,222390
사모아,2020-02-22,,,,,,,,,9.21,222390
사모아,2020-02-23,,,,,,,,,9.21,222390
사모아,2020-02-24,,,,,,,,,9.21,222390
사모아,2020-02-25,,,,,,,,,9.21,222390
사모아,2020-02-26,,,,,,,,,9.21,222390
사모아,2020-02-27,,,,,,,,,9.21,222390
사모아,2020-02-28,,,,,,,,,9.21,222390
사모아,2020-02-29,,,,,,,,,9.21,222390
사모아,2020-03-01,,,,,,,,,9.21,222390
사모아,2020-03-02,,,,,,,,,9.21,222390
