location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
산마리노,2020-01-03,,,,,,,,0.0,5.64,33690
산마리노,2020-01-04,,,,,,,,0.0,5.64,33690
산마리노,2020-01-05,,,,,,,,0.0,5.64,33690
산마리노,2020-01-06,,,,,,,,0.0,5.64,33690
산마리노,2020-01-07,,,,,,,,0.0,5.64,33690
산마리노,2020-01-08,,,,,,,,0.0,5.64,33690
산마리노,2020-01-09,,,,,,,,0.0,5.64,33690
산마리노,2020-01-10,,,,,,,,0.0,5.64,33690
산마리노,2020-01-11,,,,,,,,0.0,5.64,33690
산마리노,2020-01-12,,,,,,,,0.0,5.64,33690
산마리노,2020-01-13,,,,,,,,0.0,5.64,33690
산마리노,2020-01-14,,,,,,,,0.0,5.64,33690
산마리노,2020-01-15,,,,,,,,0.0,5.64,33690
산마리노,2020-01-16,,,,,,,,0.0,5.64,33690
산마리노,2020-01-17,,,,,,,,0.0,5.64,33690
산마리노,2020-01-18,,,,,,,,0.0,5.64,33690
산마리노,2020-01-19,,,,,,,,0.0,5.64,33690
산마리노,2020-01-20,,,,,,,,0.0,5.64,33690
산마리노,2020-01-21,,,,,,,,0.0,5.64,33690
산마리노,2020-01-22,,,,,,,,0.0,5.64,33690
산마리노,2020-01-23,,,,,,,,0.0,5.64,33690
산마리노,2020-01-24,,,,,,,,0.0,5.64,33690
산마리노,2020-01-25,,,,,,,,0.0,5.64,33690
산마리노,2020-01-26,,,,,,,,0.0,5.64,33690
산마리노,2020-01-27,,,,,,,,0.0,5.64,33690
산마리노,2020-01-28,,,,,,,,0.0,5.64,33690
산마리노,2020-01-29,,,,,,,,0.0,5.64,33690
산마리노,2020-01-30,,,,,,,,0.0,5.64,33690
산마리노,2020-01-31,,,,,,,,0.0,5.64,33690
산마리노,2020-02-01,,,,,,,,0.0,5.64,33690
산마리노,2020-02-02,,,,,,,,0.0,5.64,33690
산마리노,2020-02-03,,,,,,,,0.0,5.64,33690
산마리노,2020-02-04,,,,,,,,0.0,5.64,33690
산마리노,2020-02-05,,,,,,,,0.0,5.64,33690
산마리노,2020-02-06,,,,,,,,0.0,5.64,33690
산마리노,2020-02-07,,,,,,,,0.0,5.64,33690
산마리노,2020-02-08,,,,,,,,0.0,5.64,33690
산마리노,2020-02-09,,,,,,,,0.0,5.64,33690
산마리노,2020-02-10,,,,,,,,0.0,5.64,33690
산마리노,2020-02-11,,,,,,,,0.0,5.64,33690
산마리노,2020-02-12,,,,,,,,0.0,5.64,33690
산마리노,2020-02-13,,,,,,,,0.0,5.64,33690
산마리노,2020-02-14,,,,,,,,0.0,5.64,33690
산마리노,2020-02-15,,,,,,,,0.0,5.64,33690
산마리노,2020-02-16,,,,,,,,0.0,5.64,33690
산마리노,2020-02-17,,,,,,,,0.0,5.64,33690
산마리노,2020-02-18,,,,,,,,0.0,5.64,33690
산마리노,2020-02-19,,,,,,,,0.0,5.64,33690
산마리노,2020-02-20,,,,,,,,0.0,5.64,33690
산마리노,2020-02-21,,,,,,,,0.0,5.64,33690
산마리노,2020-02-22,,,,,,,,0.0,5.64,33690
산마리노,2020-02-23,,,,,,,,5.56,5.64,33690
산마리노,2020-02-24,,,,,,,,5.56,5.64,33690
산마리노,2020-02-25,,,,,,,,16.67,5.64,33690
산마리노,2020-02-26,,,,,,,,16.67,5.64,33690
산마리노,2020-02-27,,,,,,,,16.67,5.64,33690
산마리노,2020-02-28,,,,,,,,16.67,5.64,33690
산마리노,2020-02-29,1.0,,,,,,,27.78,5.64,33690
산마리노,2020-03-01,1.0,,,,,,,33.33,5.64,33690
산마리노,2020-03-02,2.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-03,10.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-04,10.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-05,17.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-06,23.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-07,25.0,1.0,,,,,,33.33,5.64,33690
산마리노,2020-03-08,28.0,1.0,,,,,,68.52,5.64,33690
산마리노,2020-03-09,38.0,1.0,,,,,,68.52,5.64,33690
산마리노,2020-03-10,50.0,2.0,,,,,,68.52,5.64,33690
산마리노,2020-03-11,61.0,2.0,,,,,,68.52,5.64,33690
산마리노,2020-03-12,61.0,2.0,,,,,,68.52,5.64,33690
산마리노,2020-03-13,65.0,5.0,,,,,,68.52,5.64,33690
산마리노,2020-03-14,78.0,5.0,,,,,,68.52,5.64,33690
산마리노,2020-03-15,78.0,5.0,,,,,,79.63,5.64,33690
산마리노,2020-03-16,78.0,5.0,,,,,,79.63,5.64,33690
산마리노,2020-03-17,103.0,9.0,,,,,,79.63,5.64,33690
산마리노,2020-03-18,105.0,11.0,0.99,,,,,79.63,5.64,33690
산마리노,2020-03-19,110.0,14.0,0.99,,,,,79.63,5.64,33690
산마리노,2020-03-20,127.0,14.0,0.99,,,,,83.33,5.64,33690
산마리노,2020-03-21,152.0,20.0,0.98,,,,,83.33,5.64,33690
산마리노,2020-03-22,176.0,20.0,0.98,,,,,83.33,5.64,33690
산마리노,2020-03-23,188.0,20.0,0.97,,,,,83.33,5.64,33690
산마리노,2020-03-24,188.0,21.0,0.95,,,,,83.33,5.64,33690
산마리노,2020-03-25,209.0,21.0,0.95,,,,,83.33,5.64,33690
산마리노,2020-03-26,219.0,21.0,0.94,,,,,83.33,5.64,33690
산마리노,2020-03-27,224.0,21.0,0.93,,,,,83.33,5.64,33690
산마리노,2020-03-28,229.0,22.0,0.92,,,,,83.33,5.64,33690
산마리노,2020-03-29,229.0,22.0,0.92,,,,,83.33,5.64,33690
산마리노,2020-03-30,231.0,25.0,0.93,,,,,83.33,5.64,33690
산마리노,2020-03-31,237.0,26.0,0.94,,,,,83.33,5.64,33690
산마리노,2020-04-01,238.0,28.0,0.95,,,,,83.33,5.64,33690
산마리노,2020-04-02,238.0,28.0,0.97,,,,,83.33,5.64,33690
산마리노,2020-04-03,247.0,30.0,0.99,,,,,83.33,5.64,33690
산마리노,2020-04-04,254.0,32.0,1.01,,,,,83.33,5.64,33690
산마리노,2020-04-05,261.0,32.0,1.04,,,,,83.33,5.64,33690
산마리노,2020-04-06,268.0,32.0,1.06,,,,,83.33,5.64,33690
산마리노,2020-04-07,279.0,32.0,1.08,,,,,83.33,5.64,33690
산마리노,2020-04-08,281.0,34.0,1.09,,,,,83.33,5.64,33690
산마리노,2020-04-09,310.0,34.0,1.11,,,,,83.33,5.64,33690
산마리노,2020-04-10,346.0,34.0,1.11,,,,,87.04,5.64,33690
산마리노,2020-04-11,346.0,34.0,1.09,,,,,87.04,5.64,33690
산마리노,2020-04-12,358.0,35.0,1.08,,,,,87.04,5.64,33690
산마리노,2020-04-13,358.0,35.0,1.07,,,,,87.04,5.64,33690
산마리노,2020-04-14,373.0,36.0,1.07,,,,,87.04,5.64,33690
산마리노,2020-04-15,374.0,36.0,1.07,,,,,87.04,5.64,33690
산마리노,2020-04-16,395.0,36.0,1.06,,,,,87.04,5.64,33690
산마리노,2020-04-17,428.0,38.0,1.06,,,,,92.59,5.64,33690
산마리노,2020-04-18,428.0,38.0,1.04,,,,,92.59,5.64,33690
산마리노,2020-04-19,457.0,39.0,1.03,,,,,92.59,5.64,33690
산마리노,2020-04-20,463.0,39.0,1.0,,,,,92.59,5.64,33690
산마리노,2020-04-21,464.0,39.0,0.99,,,,,92.59,5.64,33690
산마리노,2020-04-22,478.0,40.0,0.97,,,,,92.59,5.64,33690
산마리노,2020-04-23,490.0,40.0,0.96,,,,,92.59,5.64,33690
산마리노,2020-04-24,503.0,40.0,0.94,,,,,92.59,5.64,33690
산마리노,2020-04-25,515.0,40.0,0.93,,,,,92.59,5.64,33690
산마리노,2020-04-26,515.0,40.0,0.91,,,,,92.59,5.64,33690
산마리노,2020-04-27,540.0,41.0,0.91,,,,,92.59,5.64,33690
산마리노,2020-04-28,540.0,41.0,0.89,,,,,92.59,5.64,33690
산마리노,2020-04-29,555.0,41.0,0.87,,,,,92.59,5.64,33690
산마리노,2020-04-30,565.0,41.0,0.85,,,,,92.59,5.64,33690
산마리노,2020-05-01,571.0,41.0,0.83,,,,,92.59,5.64,33690
