location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
세인트빈센트 그레나딘,2020-01-03,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-04,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-05,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-06,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-07,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-08,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-09,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-10,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-11,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-12,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-13,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-14,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-15,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-16,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-17,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-18,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-19,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-20,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-21,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-22,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-23,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-24,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-25,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-26,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-27,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-28,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-29,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-30,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-01-31,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-01,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-02,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-03,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-04,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-05,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-06,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-07,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-08,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-09,,,,,,,,,11.62,103959
세인트빈센트 그레나딘,2020-02-10,,,,,,,,,11.62,103959
