location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
솔로몬 제도,2020-01-03,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-04,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-05,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-06,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-07,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-08,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-09,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-10,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-11,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-12,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-13,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-14,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-15,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-16,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-17,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-18,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-19,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-20,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-21,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-22,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-23,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-24,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-25,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-26,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-27,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-28,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-29,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-30,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-01-31,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-01,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-02,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-03,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-04,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-05,,,,,,,,0.0,18.68,724272
솔로몬 제도,2020-02-06,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-07,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-08,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-09,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-10,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-11,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-12,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-13,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-14,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-15,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-16,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-17,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-18,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-19,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-20,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-21,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-22,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-23,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-24,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-25,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-26,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-27,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-28,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-02-29,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-01,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-02,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-03,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-04,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-05,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-06,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-07,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-08,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-09,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-10,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-11,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-12,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-13,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-14,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-15,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-16,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-17,,,,,,,,8.33,18.68,724272
솔로몬 제도,2020-03-18,,,,,,,,19.44,18.68,724272
솔로몬 제도,2020-03-19,,,,,,,,19.44,18.68,724272
솔로몬 제도,2020-03-20,,,,,,,,31.48,18.68,724272
솔로몬 제도,2020-03-21,,,,,,,,31.48,18.68,724272
솔로몬 제도,2020-03-22,,,,,,,,31.48,18.68,724272
솔로몬 제도,2020-03-23,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-24,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-25,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-26,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-27,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-28,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-29,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-30,,,,,,,,42.59,18.68,724272
솔로몬 제도,2020-03-31,,,,,,,,44.44,18.68,724272
솔로몬 제도,2020-04-01,,,,,,,,44.44,18.68,724272
솔로몬 제도,2020-04-02,,,,,,,,44.44,18.68,724272
솔로몬 제도,2020-04-03,,,,,,,,44.44,18.68,724272
솔로몬 제도,2020-04-04,,,,,,,,44.44,18.68,724272
솔로몬 제도,2020-04-05,,,,,,,,44.44,18.68,724272
