location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
스리랑카,2020-01-03,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-04,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-05,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-06,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-07,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-08,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-09,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-10,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-11,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-12,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-13,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-14,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-15,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-16,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-17,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-18,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-19,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-20,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-21,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-22,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-23,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-24,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-25,,,,,,,,0.0,10.68,21832150
스리랑카,2020-01-26,,,,,,,,2.78,10.68,21832150
스리랑카,2020-01-27,5.0,,,,,,,2.78,10.68,21832150
스리랑카,2020-01-28,1.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-01-29,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-01-30,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-01-31,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-01,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-02,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-03,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-04,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-05,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-06,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-07,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-08,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-09,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-10,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-11,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-12,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-13,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-14,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-15,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-16,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-17,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-18,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-19,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-20,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-21,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-22,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-23,5.0,,,,,,,8.33,10.68,21832150
스리랑카,2020-02-24,5.0,,,,,,,11.11,10.68,21832150
스리랑카,2020-02-25,5.0,,,,,,,11.11,10.68,21832150
스리랑카,2020-02-26,5.0,,,,,,,11.11,10.68,21832150
스리랑카,2020-02-27,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-02-28,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-02-29,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-01,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-02,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-03,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-04,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-05,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-06,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-07,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-08,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-09,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-10,5.0,,,0.0,,,,11.11,10.68,21832150
스리랑카,2020-03-11,2.0,,,0.0286,,,,11.11,10.68,21832150
스리랑카,2020-03-12,3.0,,,0.0179,,,,11.11,10.68,21832150
스리랑카,2020-03-13,7.0,,,0.0649,,,,18.52,10.68,21832150
스리랑카,2020-03-14,6.0,,,0.0585,,,,49.07,10.68,21832150
스리랑카,2020-03-15,11.0,,,0.0784,,,,49.07,10.68,21832150
스리랑카,2020-03-16,19.0,,,0.0877,,,,60.19,10.68,21832150
스리랑카,2020-03-17,29.0,,,0.096,,,,60.19,10.68,21832150
스리랑카,2020-03-18,42.0,,,0.0897,,,,81.48,10.68,21832150
스리랑카,2020-03-19,53.0,,,0.0846,,,,84.26,10.68,21832150
스리랑카,2020-03-20,66.0,,,0.0855,,,,88.89,10.68,21832150
스리랑카,2020-03-21,72.0,,,0.0798,,,,88.89,10.68,21832150
스리랑카,2020-03-22,82.0,,,0.0672,,,,88.89,10.68,21832150
스리랑카,2020-03-23,94.0,,,0.0685,,,,97.22,10.68,21832150
스리랑카,2020-03-24,97.0,,,0.0568,,,,97.22,10.68,21832150
스리랑카,2020-03-25,102.0,,0.79,0.0492,,,,97.22,10.68,21832150
스리랑카,2020-03-26,102.0,,0.79,0.0456,,,,97.22,10.68,21832150
스리랑카,2020-03-27,106.0,,0.79,0.0316,,,,100.0,10.68,21832150
