location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
스웨덴,2020-01-03,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-04,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-05,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-06,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-07,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-08,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-09,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-10,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-11,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-12,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-13,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-14,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-15,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-16,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-17,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-18,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-19,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-20,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-21,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-22,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-23,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-24,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-25,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-26,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-27,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-28,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-29,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-30,,,,,,,,0.0,4.79,10549349
스웨덴,2020-01-31,,,,,,,,0.0,4.79,10549349
스웨덴,2020-02-01,,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-02,,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-03,,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-04,,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-05,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-06,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-07,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-08,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-09,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-10,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-11,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-12,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-13,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-14,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-15,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-16,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-17,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-18,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-19,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-20,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-21,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-22,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-23,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-24,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-25,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-26,1.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-27,2.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-28,3.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-02-29,11.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-03-01,14.0,,,,,,,5.56,4.79,10549349
스웨덴,2020-03-02,14.0,,,,,,,13.89,4.79,10549349
스웨덴,2020-03-03,19.0,,,,,,,13.89,4.79,10549349
스웨덴,2020-03-04,32.0,,,,,,,19.44,4.79,10549349
스웨덴,2020-03-05,62.0,,,,,,,19.44,4.79,10549349
스웨덴,2020-03-06,87.0,,,,,,,19.44,4.79,10549349
스웨덴,2020-03-07,146.0,,2.29,,,,,19.44,4.79,10549349
스웨덴,2020-03-08,179.0,,2.29,,,,,19.44,4.79,10549349
스웨덴,2020-03-09,225.0,,2.27,,,,,19.44,4.79,10549349
스웨덴,2020-03-10,326.0,,2.22,,,,,19.44,4.79,10549349
스웨덴,2020-03-11,424.0,,2.16,,,,,19.44,4.79,10549349
스웨덴,2020-03-12,620.0,1.0,2.08,,,,,30.56,4.79,10549349
스웨덴,2020-03-13,771.0,1.0,1.98,,,,,30.56,4.79,10549349
스웨덴,2020-03-14,923.0,2.0,1.89,,,,,30.56,4.79,10549349
스웨덴,2020-03-15,994.0,3.0,1.81,,,,,30.56,4.79,10549349
스웨덴,2020-03-16,1063.0,5.0,1.74,,,,,34.26,4.79,10549349
스웨덴,2020-03-17,1146.0,7.0,1.69,,,,,41.67,4.79,10549349
스웨덴,2020-03-18,1265.0,8.0,1.66,,,,,41.67,4.79,10549349
스웨덴,2020-03-19,1410.0,14.0,1.64,,,,,47.22,4.79,10549349
