location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
스위스,2020-01-03,,,,,,,,0.0,5.59,8740471
스위스,2020-01-04,,,,,,,,0.0,5.59,8740471
스위스,2020-01-05,,,,,,,,0.0,5.59,8740471
스위스,2020-01-06,,,,,,,,0.0,5.59,8740471
스위스,2020-01-07,,,,,,,,0.0,5.59,8740471
스위스,2020-01-08,,,,,,,,0.0,5.59,8740471
스위스,2020-01-09,,,,,,,,0.0,5.59,8740471
스위스,2020-01-10,,,,,,,,0.0,5.59,8740471
스위스,2020-01-11,,,,,,,,0.0,5.59,8740471
스위스,2020-01-12,,,,,,,,0.0,5.59,8740471
스위스,2020-01-13,,,,,,,,0.0,5.59,8740471
스위스,2020-01-14,,,,,,,,0.0,5.59,8740471
스위스,2020-01-15,,,,,,,,0.0,5.59,8740471
스위스,2020-01-16,,,,,,,,0.0,5.59,8740471
스위스,2020-01-17,,,,,,,,0.0,5.59,8740471
스위스,2020-01-18,,,,,,,,0.0,5.59,8740471
스위스,2020-01-19,,,,,,,,0.0,5.59,8740471
스위스,2020-01-20,,,,,,,,0.0,5.59,8740471
스위스,2020-01-21,,,,,,,,0.0,5.59,8740471
스위스,2020-01-22,,,,,,,,0.0,5.59,8740471
스위스,2020-01-23,,,,,,,,0.0,5.59,8740471
스위스,2020-01-24,,,,,,,,0.0,5.59,8740471
스위스,2020-01-25,,,,,,,,0.0,5.59,8740471
스위스,2020-01-26,,,,,,,,0.0,5.59,8740471
스위스,2020-01-27,,,,,,,,0.0,5.59,8740471
스위스,2020-01-28,,,,,,,,0.0,5.59,8740471
스위스,2020-01-29,,,,,,,,0.0,5.59,8740471
스위스,2020-01-30,,,,,,,,0.0,5.59,8740471
스위스,2020-01-31,,,,,,,,0.0,5.59,8740471
스위스,2020-02-01,,,,,,,,0.0,5.59,8740471
스위스,2020-02-02,,,,,,,,0.0,5.59,8740471
스위스,2020-02-03,,,,,,,,0.0,5.59,8740471
스위스,2020-02-04,,,,,,,,0.0,5.59,8740471
스위스,2020-02-05,,,,,,,,0.0,5.59,8740471
스위스,2020-02-06,,,,,,,,0.0,5.59,8740471
스위스,2020-02-07,,,,,,,,0.0,5.59,8740471
스위스,2020-02-08,,,,,,,,0.0,5.59,8740471
스위스,2020-02-09,,,,,,,,0.0,5.59,8740471
스위스,2020-02-10,,,,,,,,0.0,5.59,8740471
스위스,2020-02-11,,,,,,,,0.0,5.59,8740471
스위스,2020-02-12,,,,,,,,0.0,5.59,8740471
스위스,2020-02-13,,,,,,,,0.0,5.59,8740471
스위스,2020-02-14,,,,,,,,0.0,5.59,8740471
스위스,2020-02-15,,,,,,,,0.0,5.59,8740471
스위스,2020-02-16,,,,,,,,0.0,5.59,8740471
스위스,2020-02-17,,,,,,,,0.0,5.59,8740471
스위스,2020-02-18,,,,,,,,0.0,5.59,8740471
스위스,2020-02-19,,,,,,,,0.0,5.59,8740471
스위스,2020-02-20,,,,,,,,0.0,5.59,8740471
스위스,2020-02-21,,,,,,,,0.0,5.59,8740471
스위스,2020-02-22,,,,,,,,0.0,5.59,8740471
스위스,2020-02-23,,,,,,,,0.0,5.59,8740471
스위스,2020-02-24,,,,,,,,0.0,5.59,8740471
스위스,2020-02-25,1.0,,,,,,,8.33,5.59,8740471
스위스,2020-02-26,2.0,,,,,,,8.33,5.59,8740471
스위스,2020-02-27,12.0,,,,,,,13.89,5.59,8740471
스위스,2020-02-28,22.0,,,,,,,19.44,5.59,8740471
스위스,2020-02-29,32.0,,,,,,,19.44,5.59,8740471
스위스,2020-03-01,45.0,,,,,,,19.44,5.59,8740471
스위스,2020-03-02,57.0,,,,,,,19.44,5.59,8740471
스위스,2020-03-03,87.0,,,,,,,25.0,5.59,8740471
스위스,2020-03-04,120.0,,,,,,,25.0,5.59,8740471
스위스,2020-03-05,181.0,,,,,,,25.0,5.59,8740471
스위스,2020-03-06,243.0,2.0,2.69,,,,,25.0,5.59,8740471
스위스,2020-03-07,316.0,2.0,2.69,,,,,25.0,5.59,8740471
스위스,2020-03-08,365.0,2.0,2.68,,,,,25.0,5.59,8740471
스위스,2020-03-09,434.0,3.0,2.72,,,,,25.0,5.59,8740471
스위스,2020-03-10,625.0,3.0,2.76,,,,,25.0,5.59,8740471
스위스,2020-03-11,835.0,5.0,2.79,,,,,25.0,5.59,8740471
스위스,2020-03-12,1168.0,8.0,2.81,,,,,25.0,5.59,8740471
스위스,2020-03-13,1525.0,12.0,2.86,,,,,33.33,5.59,8740471
스위스,2020-03-14,1956.0,15.0,2.83,,,,,33.33,5.59,8740471
스위스,2020-03-15,2373.0,20.0,2.79,,,,,33.33,5.59,8740471
스위스,2020-03-16,2699.0,28.0,2.66,,,,,44.44,5.59,8740471
스위스,2020-03-17,3759.0,35.0,2.57,,,,,73.15,5.59,8740471
스위스,2020-03-18,4841.0,47.0,2.48,,,,,73.15,5.59,8740471
스위스,2020-03-19,6047.0,55.0,2.42,,,,,73.15,5.59,8740471
스위스,2020-03-20,6881.0,69.0,2.29,,,,,73.15,5.59,8740471
스위스,2020-03-21,8020.0,90.0,2.18,,,,,73.15,5.59,8740471
스위스,2020-03-22,8710.0,109.0,2.05,,,,,73.15,5.59,8740471
스위스,2020-03-23,9257.0,127.0,1.95,,,,,73.15,5.59,8740471
스위스,2020-03-24,10719.0,150.0,1.82,,,,,73.15,5.59,8740471
스위스,2020-03-25,11961.0,169.0,1.69,,,,,73.15,5.59,8740471
스위스,2020-03-26,13029.0,208.0,1.57,,,,,73.15,5.59,8740471
스위스,2020-03-27,14143.0,246.0,1.46,,,,,73.15,5.59,8740471
스위스,2020-03-28,15448.0,278.0,1.39,,,,,73.15,5.59,8740471
스위스,2020-03-29,16170.0,335.0,1.32,,,,,73.15,5.59,8740471
스위스,2020-03-30,16602.0,380.0,1.27,,,,,73.15,5.59,8740471
스위스,2020-03-31,17909.0,438.0,1.21,,,,,73.15,5.59,8740471
스위스,2020-04-01,19041.0,482.0,1.15,,,,,73.15,5.59,8740471
스위스,2020-04-02,20054.0,541.0,1.08,,,,,73.15,5.59,8740471
스위스,2020-04-03,20931.0,602.0,1.02,,,,,73.15,5.59,8740471
스위스,2020-04-04,21859.0,659.0,0.98,,,,,73.15,5.59,8740471
스위스,2020-04-05,22345.0,714.0,0.95,,,,,73.15,5.59,8740471
