location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
스코틀랜드,2020-03-07,,,,,,,,,,5466000
스코틀랜드,2020-03-08,,,,,,,,,,5466000
스코틀랜드,2020-03-09,,,,,,,,,,5466000
스코틀랜드,2020-03-10,,,,,,,,,,5466000
스코틀랜드,2020-03-11,,,,,,,,,,5466000
스코틀랜드,2020-03-12,,,,,,,,,,5466000
스코틀랜드,2020-03-13,,,,,,,,,,5466000
스코틀랜드,2020-03-14,,,,,,,,,,5466000
스코틀랜드,2020-03-15,,,,,,,,,,5466000
스코틀랜드,2020-03-16,,,,,,,,,,5466000
스코틀랜드,2020-03-17,,,,,,,,,,5466000
스코틀랜드,2020-03-18,,,,,,,,,,5466000
스코틀랜드,2020-03-19,,,,,,,,,,5466000
스코틀랜드,2020-03-20,,,,,,,,,,5466000
스코틀랜드,2020-03-21,,,,,,,,,,5466000
스코틀랜드,2020-03-22,,,,,,,,,,5466000
스코틀랜드,2020-03-23,,,,,,,,,,5466000
스코틀랜드,2020-03-24,,,,,,,,,,5466000
스코틀랜드,2020-03-25,,,,,,,,,,5466000
스코틀랜드,2020-03-26,,,,,,,,,,5466000
스코틀랜드,2020-03-27,,,,,,,,,,5466000
스코틀랜드,2020-03-28,,,,,,,,,,5466000
스코틀랜드,2020-03-29,,,,,,,,,,5466000
스코틀랜드,2020-03-30,,,,,,,,,,5466000
스코틀랜드,2020-03-31,,,,,,,,,,5466000
스코틀랜드,2020-04-01,,,,,,,,,,5466000
스코틀랜드,2020-04-02,,,,,,,,,,5466000
스코틀랜드,2020-04-03,,,,,,,,,,5466000
스코틀랜드,2020-04-04,,,,,,,,,,5466000
스코틀랜드,2020-04-05,,,,,,,,,,5466000
스코틀랜드,2020-04-06,,,,,,,,,,5466000
스코틀랜드,2020-04-07,,,,,,,,,,5466000
스코틀랜드,2020-04-08,,,,,,,,,,5466000
스코틀랜드,2020-04-09,,,,,,,,,,5466000
