location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
스페인,2020-01-03,,,,,,,,0.0,7.17,47558632
스페인,2020-01-04,,,,,,,,0.0,7.17,47558632
스페인,2020-01-05,,,,,,,,0.0,7.17,47558632
스페인,2020-01-06,,,,,,,,0.0,7.17,47558632
스페인,2020-01-07,,,,,,,,0.0,7.17,47558632
스페인,2020-01-08,,,,,,,,0.0,7.17,47558632
스페인,2020-01-09,,,,,,,,0.0,7.17,47558632
스페인,2020-01-10,,,,,,,,0.0,7.17,47558632
스페인,2020-01-11,,,,,,,,0.0,7.17,47558632
스페인,2020-01-12,,,,,,,,0.0,7.17,47558632
스페인,2020-01-13,,,,,,,,0.0,7.17,47558632
스페인,2020-01-14,,,,,,,,0.0,7.17,47558632
스페인,2020-01-15,,,,,,,,0.0,7.17,47558632
스페인,2020-01-16,,,,,,,,0.0,7.17,47558632
스페인,2020-01-17,,,,,,,,0.0,7.17,47558632
스페인,2020-01-18,,,,,,,,0.0,7.17,47558632
스페인,2020-01-19,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-20,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-21,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-22,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-23,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-24,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-25,2.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-26,3.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-27,3.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-28,3.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-29,3.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-30,3.0,,,,,,,0.0,7.17,47558632
스페인,2020-01-31,3.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-01,3.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-02,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-03,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-04,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-05,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-06,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-07,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-08,5.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-09,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-10,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-11,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-12,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-13,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-14,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-15,7.0,,,,,,,11.11,7.17,47558632
스페인,2020-02-16,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-17,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-18,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-19,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-20,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-21,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-22,11.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-23,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-24,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-25,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-26,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-27,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-28,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-02-29,19.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-03-01,148.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-03-02,148.0,1.0,,,,,,11.11,7.17,47558632
스페인,2020-03-03,148.0,1.0,2.92,,,,,11.11,7.17,47558632
스페인,2020-03-04,148.0,1.0,2.93,,,,,11.11,7.17,47558632
스페인,2020-03-05,148.0,1.0,2.94,,,,,11.11,7.17,47558632
스페인,2020-03-06,148.0,1.0,2.96,,,,,11.11,7.17,47558632
스페인,2020-03-07,148.0,1.0,2.96,,,,,11.11,7.17,47558632
스페인,2020-03-08,1571.0,25.0,2.95,,,,,11.11,7.17,47558632
스페인,2020-03-09,1571.0,25.0,2.93,,,,,25.0,7.17,47558632
스페인,2020-03-10,1571.0,25.0,2.88,,,,,45.83,7.17,47558632
스페인,2020-03-11,1571.0,25.0,2.79,,,,,45.83,7.17,47558632
스페인,2020-03-12,1571.0,25.0,2.69,,,,,45.83,7.17,47558632
스페인,2020-03-13,1571.0,25.0,2.62,,,,,45.83,7.17,47558632
스페인,2020-03-14,1571.0,25.0,2.54,,,,,67.13,7.17,47558632
스페인,2020-03-15,13174.0,482.0,2.48,0.0,,,,67.13,7.17,47558632
스페인,2020-03-16,13174.0,482.0,2.41,0.0,,,,68.98,7.17,47558632
스페인,2020-03-17,13174.0,482.0,2.35,0.0,,,,71.76,7.17,47558632
스페인,2020-03-18,13174.0,482.0,2.31,0.0,,,,71.76,7.17,47558632
스페인,2020-03-19,13174.0,482.0,2.27,0.0,,,,71.76,7.17,47558632
스페인,2020-03-20,13174.0,482.0,2.2,0.0,,,,71.76,7.17,47558632
스페인,2020-03-21,13174.0,482.0,2.15,0.395,,,,71.76,7.17,47558632
스페인,2020-03-22,49520.0,2914.0,2.09,0.406,,,,71.76,7.17,47558632
스페인,2020-03-23,49520.0,2914.0,2.03,0.416,,,,71.76,7.17,47558632
스페인,2020-03-24,49520.0,2914.0,1.97,0.427,,,,71.76,7.17,47558632
스페인,2020-03-25,49520.0,2914.0,1.91,0.433,,,,71.76,7.17,47558632
스페인,2020-03-26,49520.0,2914.0,1.83,0.434,,,,71.76,7.17,47558632
스페인,2020-03-27,49520.0,2914.0,1.75,0.427,,,,71.76,7.17,47558632
스페인,2020-03-28,49520.0,2914.0,1.67,0.421,,,,71.76,7.17,47558632
스페인,2020-03-29,108864.0,8577.0,1.6,0.414,,,,71.76,7.17,47558632
스페인,2020-03-30,108864.0,8577.0,1.52,0.403,,,,85.19,7.17,47558632
스페인,2020-03-31,108864.0,8577.0,1.45,0.385,,,,85.19,7.17,47558632
스페인,2020-04-01,108864.0,8577.0,1.39,0.364,,,,85.19,7.17,47558632
스페인,2020-04-02,108864.0,8577.0,1.33,0.344,,,,85.19,7.17,47558632
스페인,2020-04-03,108864.0,8577.0,1.27,0.327,,,,85.19,7.17,47558632
스페인,2020-04-04,108864.0,8577.0,1.22,0.311,,,,85.19,7.17,47558632
스페인,2020-04-05,153267.0,14418.0,1.16,0.3,,,,85.19,7.17,47558632
스페인,2020-04-06,153267.0,14418.0,1.12,0.287,,,,85.19,7.17,47558632
스페인,2020-04-07,153267.0,14418.0,1.08,0.272,,,,85.19,7.17,47558632
스페인,2020-04-08,153267.0,14418.0,1.04,0.259,,,,85.19,7.17,47558632
스페인,2020-04-09,153267.0,14418.0,1.01,0.245,,,,85.19,7.17,47558632
스페인,2020-04-10,153267.0,14418.0,0.98,0.236,,,,85.19,7.17,47558632
스페인,2020-04-11,153267.0,14418.0,0.96,0.231,,,,85.19,7.17,47558632
스페인,2020-04-12,183852.0,19184.0,0.94,0.224,,,,85.19,7.17,47558632
스페인,2020-04-13,183852.0,19184.0,0.92,0.213,,,,85.19,7.17,47558632
스페인,2020-04-14,183852.0,19184.0,0.91,0.201,,,,85.19,7.17,47558632
스페인,2020-04-15,183852.0,19184.0,0.9,0.189,,,,85.19,7.17,47558632
스페인,2020-04-16,183852.0,19184.0,0.89,0.178,,,,85.19,7.17,47558632
스페인,2020-04-17,183852.0,19184.0,0.88,0.165,,,,85.19,7.17,47558632
스페인,2020-04-18,183852.0,19184.0,0.86,0.154,,,,85.19,7.17,47558632
스페인,2020-04-19,205102.0,22760.0,0.85,0.145,,,,85.19,7.17,47558632
스페인,2020-04-20,205102.0,22760.0,0.83,0.137,,,,85.19,7.17,47558632
스페인,2020-04-21,205102.0,22760.0,0.81,0.126,,,,85.19,7.17,47558632
스페인,2020-04-22,205102.0,22760.0,0.79,0.116,,,,85.19,7.17,47558632
스페인,2020-04-23,205102.0,22760.0,0.77,0.106,,,,85.19,7.17,47558632
스페인,2020-04-24,205102.0,22760.0,0.75,0.096,,,,85.19,7.17,47558632
스페인,2020-04-25,205102.0,22760.0,0.73,0.091,,,,85.19,7.17,47558632
스페인,2020-04-26,219676.0,25146.0,0.71,0.088,,,,85.19,7.17,47558632
스페인,2020-04-27,219676.0,25146.0,0.69,0.083,,,,85.19,7.17,47558632
스페인,2020-04-28,219676.0,25146.0,0.68,0.077,,,,85.19,7.17,47558632
스페인,2020-04-29,219676.0,25146.0,0.66,0.072,,,,85.19,7.17,47558632
스페인,2020-04-30,219676.0,25146.0,0.65,0.068,,,,85.19,7.17,47558632
스페인,2020-05-01,219676.0,25146.0,0.65,0.064,,,,85.19,7.17,47558632
스페인,2020-05-02,219676.0,25146.0,0.65,0.062,,,,85.19,7.17,47558632
스페인,2020-05-03,227775.0,26697.0,0.65,0.062,,,,85.19,7.17,47558632
스페인,2020-05-04,227775.0,26697.0,0.65,0.059,,,,81.94,7.17,47558632
스페인,2020-05-05,227775.0,26697.0,0.66,0.057,,,,81.94,7.17,47558632
스페인,2020-05-06,227775.0,26697.0,0.67,0.055,,,,81.94,7.17,47558632
스페인,2020-05-07,227775.0,26697.0,0.68,0.053,,,,81.94,7.17,47558632
스페인,2020-05-08,227775.0,26697.0,0.69,0.052,,,,81.94,7.17,47558632
스페인,2020-05-09,227775.0,26697.0,0.71,0.051,,,,81.94,7.17,47558632
스페인,2020-05-10,233399.0,27766.0,0.72,0.05,,,,81.94,7.17,47558632
스페인,2020-05-11,233399.0,27766.0,0.73,0.048,,,,81.94,7.17,47558632
스페인,2020-05-12,233399.0,27766.0,0.72,0.046,,,,81.94,7.17,47558632
스페인,2020-05-13,233399.0,27766.0,0.71,0.043,,,,83.33,7.17,47558632
스페인,2020-05-14,233399.0,27766.0,0.7,0.041,,,,83.33,7.17,47558632
스페인,2020-05-15,233399.0,27766.0,0.69,0.039,,,,83.33,7.17,47558632
스페인,2020-05-16,233399.0,27766.0,0.7,0.037,,,,83.33,7.17,47558632
스페인,2020-05-17,238797.0,28378.0,0.71,0.036,,,,79.17,7.17,47558632
스페인,2020-05-18,238797.0,28378.0,0.72,0.035,,,,79.17,7.17,47558632
스페인,2020-05-19,238797.0,28378.0,0.74,0.033,,,,79.17,7.17,47558632
스페인,2020-05-20,238797.0,28378.0,0.76,0.033,,,,79.17,7.17,47558632
스페인,2020-05-21,238797.0,28378.0,0.77,0.032,,,,79.17,7.17,47558632
스페인,2020-05-22,238797.0,28378.0,0.79,0.032,,,,75.46,7.17,47558632
스페인,2020-05-23,238797.0,28378.0,0.8,0.032,,,,75.46,7.17,47558632
스페인,2020-05-24,243191.0,28830.0,0.8,0.031,,,,75.46,7.17,47558632
스페인,2020-05-25,243191.0,28830.0,0.8,0.03,,,,75.46,7.17,47558632
스페인,2020-05-26,243191.0,28830.0,0.81,0.03,,,,71.76,7.17,47558632
스페인,2020-05-27,243191.0,28830.0,0.81,0.028,,,,68.06,7.17,47558632
스페인,2020-05-28,243191.0,28830.0,0.82,0.028,,,,68.06,7.17,47558632
스페인,2020-05-29,243191.0,28830.0,0.8,0.027,,,,68.06,7.17,47558632
스페인,2020-05-30,243191.0,28830.0,0.79,0.026,,,,68.06,7.17,47558632
스페인,2020-05-31,247009.0,29168.0,0.78,0.026,,,,68.06,7.17,47558632
스페인,2020-06-01,247009.0,29168.0,0.76,0.025,,,,66.67,7.17,47558632
스페인,2020-06-02,247009.0,29168.0,0.76,0.024,,,,66.67,7.17,47558632
스페인,2020-06-03,247009.0,29168.0,0.76,0.024,,,,66.67,7.17,47558632
스페인,2020-06-04,247009.0,29168.0,0.75,0.023,,,,66.67,7.17,47558632
스페인,2020-06-05,247009.0,29168.0,0.76,0.023,,,,66.67,7.17,47558632
스페인,2020-06-06,247009.0,29168.0,0.77,0.023,,,,66.67,7.17,47558632
스페인,2020-06-07,250038.0,29408.0,0.79,0.023,,,,66.67,7.17,47558632
스페인,2020-06-08,250038.0,29408.0,0.8,0.022,,,,57.41,7.17,47558632
스페인,2020-06-09,250038.0,29408.0,0.82,0.022,,,,57.41,7.17,47558632
스페인,2020-06-10,250038.0,29408.0,0.84,0.021,,,,57.41,7.17,47558632
스페인,2020-06-11,250038.0,29408.0,0.86,0.021,,,,57.41,7.17,47558632
스페인,2020-06-12,250038.0,29408.0,0.88,0.019,,,,57.41,7.17,47558632
스페인,2020-06-13,250038.0,29408.0,0.9,0.019,,,,57.41,7.17,47558632
스페인,2020-06-14,252398.0,29568.0,0.91,0.018,,,,57.41,7.17,47558632
스페인,2020-06-15,252398.0,29568.0,0.91,0.018,,,,57.41,7.17,47558632
