location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
싱가포르,2020-01-03,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-04,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-05,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-06,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-07,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-08,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-09,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-10,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-11,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-12,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-13,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-14,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-15,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-16,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-17,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-18,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-19,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-20,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-21,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-22,,,,,,,,13.89,10.99,5637022
싱가포르,2020-01-23,,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-24,1.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-25,3.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-26,4.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-27,4.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-28,5.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-29,7.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-30,10.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-01-31,13.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-01,16.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-02,18.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-03,18.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-04,18.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-05,24.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-06,28.0,,,,,,,19.44,10.99,5637022
싱가포르,2020-02-07,30.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-08,33.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-09,40.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-10,43.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-11,45.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-12,47.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-13,50.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-14,58.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-15,67.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-16,72.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-17,75.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-18,77.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-19,81.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-20,84.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-21,85.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-22,86.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-23,89.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-24,89.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-25,90.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-26,91.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-27,93.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-28,96.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-02-29,98.0,,,,,,,25.0,10.99,5637022
싱가포르,2020-03-01,102.0,,0.7,,,,,25.0,10.99,5637022
싱가포르,2020-03-02,106.0,,0.69,,,,,25.0,10.99,5637022
싱가포르,2020-03-03,108.0,,0.7,,,,,25.0,10.99,5637022
싱가포르,2020-03-04,110.0,,0.73,,,,,25.0,10.99,5637022
싱가포르,2020-03-05,112.0,,0.82,,,,,25.0,10.99,5637022
싱가포르,2020-03-06,117.0,,0.9,,,,,25.0,10.99,5637022
싱가포르,2020-03-07,130.0,,0.97,,,,,25.0,10.99,5637022
싱가포르,2020-03-08,138.0,,1.04,,,,,25.0,10.99,5637022
싱가포르,2020-03-09,150.0,,1.09,,,,,25.0,10.99,5637022
싱가포르,2020-03-10,160.0,,1.17,,,,,25.0,10.99,5637022
싱가포르,2020-03-11,166.0,,1.25,,,,,25.0,10.99,5637022
싱가포르,2020-03-12,178.0,,1.31,,,,,25.0,10.99,5637022
싱가포르,2020-03-13,187.0,,1.42,,,,,39.81,10.99,5637022
