location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아르메니아,2020-01-03,,,,,,,,,7.11,2780472
아르메니아,2020-01-04,,,,,,,,,7.11,2780472
아르메니아,2020-01-05,,,,,,,,,7.11,2780472
아르메니아,2020-01-06,,,,,,,,,7.11,2780472
아르메니아,2020-01-07,,,,,,,,,7.11,2780472
아르메니아,2020-01-08,,,,,,,,,7.11,2780472
아르메니아,2020-01-09,,,,,,,,,7.11,2780472
아르메니아,2020-01-10,,,,,,,,,7.11,2780472
아르메니아,2020-01-11,,,,,,,,,7.11,2780472
아르메니아,2020-01-12,,,,,,,,,7.11,2780472
아르메니아,2020-01-13,,,,,,,,,7.11,2780472
아르메니아,2020-01-14,,,,,,,,,7.11,2780472
아르메니아,2020-01-15,,,,,,,,,7.11,2780472
아르메니아,2020-01-16,,,,,,,,,7.11,2780472
아르메니아,2020-01-17,,,,,,,,,7.11,2780472
아르메니아,2020-01-18,,,,,,,,,7.11,2780472
아르메니아,2020-01-19,,,,,,,,,7.11,2780472
아르메니아,2020-01-20,,,,,,,,,7.11,2780472
아르메니아,2020-01-21,,,,,,,,,7.11,2780472
아르메니아,2020-01-22,,,,,,,,,7.11,2780472
아르메니아,2020-01-23,,,,,,,,,7.11,2780472
아르메니아,2020-01-24,,,,,,,,,7.11,2780472
아르메니아,2020-01-25,,,,,,,,,7.11,2780472
아르메니아,2020-01-26,,,,,,,,,7.11,2780472
아르메니아,2020-01-27,,,,,,,,,7.11,2780472
아르메니아,2020-01-28,,,,,,,,,7.11,2780472
아르메니아,2020-01-29,,,,,,,,,7.11,2780472
아르메니아,2020-01-30,,,,,,,,,7.11,2780472
아르메니아,2020-01-31,,,,,,,,,7.11,2780472
아르메니아,2020-02-01,,,,,,,,,7.11,2780472
아르메니아,2020-02-02,,,,,,,,,7.11,2780472
아르메니아,2020-02-03,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-04,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-05,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-06,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-07,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-08,,,,,,,,,7.11,2780472
아르메니아,2020-02-09,,,,,,,,,7.11,2780472
아르메니아,2020-02-10,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-11,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-12,,,,,,,,,7.11,2780472
아르메니아,2020-02-13,,,,,,,,,7.11,2780472
아르메니아,2020-02-14,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-15,,,,,,,,,7.11,2780472
아르메니아,2020-02-16,,,,,,,,,7.11,2780472
아르메니아,2020-02-17,,,,,,,,,7.11,2780472
아르메니아,2020-02-18,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-19,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-20,,,,,,,,,7.11,2780472
아르메니아,2020-02-21,,,,,,,,,7.11,2780472
아르메니아,2020-02-22,,,,,,,,,7.11,2780472
아르메니아,2020-02-23,,,,,,,,,7.11,2780472
아르메니아,2020-02-24,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-25,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-26,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-27,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-28,,,,0.0,,,,,7.11,2780472
아르메니아,2020-02-29,,,,0.0,,,,,7.11,2780472
아르메니아,2020-03-01,,,,0.022,,,,,7.11,2780472
아르메니아,2020-03-02,1.0,,,0.017,,,,,7.11,2780472
아르메니아,2020-03-03,1.0,,,0.016,,,,,7.11,2780472
아르메니아,2020-03-04,1.0,,,0.014,,,,,7.11,2780472
아르메니아,2020-03-05,1.0,,,0.013,,,,,7.11,2780472
