location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아르헨티나,2020-01-01,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-02,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-03,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-04,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-05,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-06,,,,,,,,0.0,5.5,45510324
아르헨티나,2020-01-07,,,,0.168,,,,0.0,5.5,45510324
아르헨티나,2020-01-08,,,,0.164,,,,0.0,5.5,45510324
아르헨티나,2020-01-09,,,,0.14,,,,0.0,5.5,45510324
아르헨티나,2020-01-10,,,,0.104,,,,0.0,5.5,45510324
아르헨티나,2020-01-11,,,,0.103,,,,0.0,5.5,45510324
아르헨티나,2020-01-12,,,,0.076,,,,0.0,5.5,45510324
아르헨티나,2020-01-13,,,,0.05,,,,0.0,5.5,45510324
아르헨티나,2020-01-14,,,,0.038,,,,0.0,5.5,45510324
아르헨티나,2020-01-15,,,,0.026,,,,0.0,5.5,45510324
아르헨티나,2020-01-16,,,,0.026,,,,0.0,5.5,45510324
아르헨티나,2020-01-17,,,,0.042,,,,0.0,5.5,45510324
아르헨티나,2020-01-18,,,,0.049,,,,0.0,5.5,45510324
아르헨티나,2020-01-19,,,,0.111,,,,0.0,5.5,45510324
아르헨티나,2020-01-20,,,,0.117,,,,0.0,5.5,45510324
아르헨티나,2020-01-21,,,,0.118,,,,0.0,5.5,45510324
아르헨티나,2020-01-22,,,,0.222,,,,0.0,5.5,45510324
아르헨티나,2020-01-23,,,,0.226,,,,11.11,5.5,45510324
아르헨티나,2020-01-24,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-01-25,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-01-26,,,,0.241,,,,11.11,5.5,45510324
아르헨티나,2020-01-27,,,,0.184,,,,11.11,5.5,45510324
아르헨티나,2020-01-28,,,,0.152,,,,11.11,5.5,45510324
아르헨티나,2020-01-29,,,,0.161,,,,11.11,5.5,45510324
아르헨티나,2020-01-30,,,,0.163,,,,11.11,5.5,45510324
아르헨티나,2020-01-31,,,,0.163,,,,11.11,5.5,45510324
아르헨티나,2020-02-01,,,,0.094,,,,11.11,5.5,45510324
아르헨티나,2020-02-02,,,,0.116,,,,11.11,5.5,45510324
아르헨티나,2020-02-03,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-04,,,,0.138,,,,11.11,5.5,45510324
아르헨티나,2020-02-05,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-06,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-07,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-08,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-09,,,,0.095,,,,11.11,5.5,45510324
아르헨티나,2020-02-10,,,,0.5,,,,11.11,5.5,45510324
아르헨티나,2020-02-11,,,,0.364,,,,11.11,5.5,45510324
아르헨티나,2020-02-12,,,,0.222,,,,11.11,5.5,45510324
아르헨티나,2020-02-13,,,,0.222,,,,11.11,5.5,45510324
아르헨티나,2020-02-14,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-15,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-16,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-17,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-18,,,,0.263,,,,11.11,5.5,45510324
아르헨티나,2020-02-19,,,,0.3,,,,11.11,5.5,45510324
아르헨티나,2020-02-20,,,,0.286,,,,11.11,5.5,45510324
아르헨티나,2020-02-21,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-22,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-23,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-24,,,,0.353,,,,11.11,5.5,45510324
아르헨티나,2020-02-25,,,,0.118,,,,11.11,5.5,45510324
아르헨티나,2020-02-26,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-02-27,,,,0.097,,,,11.11,5.5,45510324
아르헨티나,2020-02-28,,,,0.049,,,,11.11,5.5,45510324
아르헨티나,2020-02-29,,,,0.024,,,,11.11,5.5,45510324
아르헨티나,2020-03-01,,,,,,,,11.11,5.5,45510324
아르헨티나,2020-03-02,,,,0.022,,,,11.11,5.5,45510324
아르헨티나,2020-03-03,,,,0.019,,,,11.11,5.5,45510324
아르헨티나,2020-03-04,,,,0.027,,,,11.11,5.5,45510324
아르헨티나,2020-03-05,10.0,1.0,,0.023,,,,11.11,5.5,45510324
아르헨티나,2020-03-06,14.0,1.0,,0.176,,,,11.11,5.5,45510324
아르헨티나,2020-03-07,20.0,1.0,,0.204,,,,11.11,5.5,45510324
아르헨티나,2020-03-08,22.0,1.0,,0.169,,,,11.11,5.5,45510324
아르헨티나,2020-03-09,26.0,1.0,,0.235,,,,11.11,5.5,45510324
아르헨티나,2020-03-10,34.0,3.0,,0.246,,,,11.11,5.5,45510324
아르헨티나,2020-03-11,45.0,3.0,,0.231,,,,25.0,5.5,45510324
아르헨티나,2020-03-12,67.0,4.0,,0.246,,,,25.0,5.5,45510324
아르헨티나,2020-03-13,102.0,8.0,,0.17,,,,25.0,5.5,45510324
아르헨티나,2020-03-14,115.0,9.0,,0.167,,,,25.0,5.5,45510324
아르헨티나,2020-03-15,131.0,9.0,,0.165,,,,25.0,5.5,45510324
아르헨티나,2020-03-16,158.0,12.0,,0.142,,,,41.67,5.5,45510324
아르헨티나,2020-03-17,214.0,14.0,,0.138,,,,41.67,5.5,45510324
아르헨티나,2020-03-18,263.0,14.0,,0.151,,,,41.67,5.5,45510324
아르헨티나,2020-03-19,303.0,15.0,,0.151,,,,75.0,5.5,45510324
아르헨티나,2020-03-20,387.0,17.0,,0.156,,,,88.89,5.5,45510324
아르헨티나,2020-03-21,456.0,17.0,2.38,0.178,,,,88.89,5.5,45510324
아르헨티나,2020-03-22,536.0,20.0,2.37,0.2,,,,88.89,5.5,45510324
