location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아시아,2020-01-03,,,,,,,,,,4721383370
아시아,2020-01-04,1.0,,,,,,,,,4721383370
아시아,2020-01-05,1.0,,,,,,,,,4721383370
아시아,2020-01-06,4.0,,,,,,,,,4721383370
아시아,2020-01-07,4.0,,,,,,,,,4721383370
아시아,2020-01-08,4.0,,,,,,,,,4721383370
아시아,2020-01-09,4.0,,,,,,,,,4721383370
아시아,2020-01-10,4.0,,,,,,,,,4721383370
아시아,2020-01-11,4.0,,,,,,,,,4721383370
아시아,2020-01-12,45.0,1.0,,,,,,,,4721383370
아시아,2020-01-13,46.0,1.0,,,,,,,,4721383370
아시아,2020-01-14,51.0,1.0,,,,,,,,4721383370
아시아,2020-01-15,51.0,1.0,,,,,,,,4721383370
아시아,2020-01-16,51.0,1.0,,,,,,,,4721383370
아시아,2020-01-17,52.0,2.0,,,,,,,,4721383370
아시아,2020-01-18,56.0,2.0,,,,,,,,4721383370
아시아,2020-01-19,133.0,3.0,,,,,,,,4721383370
아시아,2020-01-20,210.0,4.0,,,,,,,,4721383370
아시아,2020-01-21,303.0,6.0,,,,,,,,4721383370
아시아,2020-01-22,451.0,17.0,,,,,,,,4721383370
아시아,2020-01-23,581.0,18.0,,,,,,,,4721383370
아시아,2020-01-24,852.0,26.0,,,,,,,,4721383370
아시아,2020-01-25,1319.0,42.0,,,,,,,,4721383370
아시아,2020-01-26,2011.0,56.0,,,,,,,,4721383370
아시아,2020-01-27,2801.0,82.0,,,,,,,,4721383370
아시아,2020-01-28,4573.0,131.0,,,,,,,,4721383370
아시아,2020-01-29,6050.0,133.0,,,,,,,,4721383370
아시아,2020-01-30,7800.0,171.0,,,,,,,,4721383370
아시아,2020-01-31,9810.0,213.0,,,,,,,,4721383370
아시아,2020-02-01,11915.0,259.0,,,,,,,,4721383370
아시아,2020-02-02,14515.0,362.0,,,,,,,,4721383370
아시아,2020-02-03,17350.0,426.0,,,,,,,,4721383370
아시아,2020-02-04,20595.0,492.0,,,,,,,,4721383370
아시아,2020-02-05,24501.0,564.0,,,,,,,,4721383370
아시아,2020-02-06,28214.0,634.0,,,,,,,,4721383370
아시아,2020-02-07,31371.0,719.0,,,,,,,,4721383370
아시아,2020-02-08,34766.0,806.0,,,,,,,,4721383370
아시아,2020-02-09,37429.0,906.0,,,,,,,,4721383370
아시아,2020-02-10,40419.0,1013.0,,,,,,,,4721383370
아시아,2020-02-11,42900.0,1113.0,,,,,,,,4721383370
아시아,2020-02-12,44932.0,1118.0,,,,,,,,4721383370
아시아,2020-02-13,60096.0,1371.0,,,,,,,,4721383370
아시아,2020-02-14,64161.0,1523.0,,,,,,,,4721383370
아시아,2020-02-15,66818.0,1665.0,,,,,,,,4721383370
아시아,2020-02-16,68852.0,1769.0,,,,,,,,4721383370
