location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아프리카,2020-01-03,,,,,,,,,,1426736614
아프리카,2020-01-04,,,,,,,,,,1426736614
아프리카,2020-01-05,,,,,,,,,,1426736614
아프리카,2020-01-06,,,,,,,,,,1426736614
아프리카,2020-01-07,,,,,,,,,,1426736614
아프리카,2020-01-08,,,,,,,,,,1426736614
아프리카,2020-01-09,,,,,,,,,,1426736614
아프리카,2020-01-10,,,,,,,,,,1426736614
아프리카,2020-01-11,,,,,,,,,,1426736614
아프리카,2020-01-12,,,,,,,,,,1426736614
아프리카,2020-01-13,,,,,,,,,,1426736614
아프리카,2020-01-14,,,,,,,,,,1426736614
아프리카,2020-01-15,,,,,,,,,,1426736614
아프리카,2020-01-16,,,,,,,,,,1426736614
아프리카,2020-01-17,,,,,,,,,,1426736614
아프리카,2020-01-18,,,,,,,,,,1426736614
아프리카,2020-01-19,,,,,,,,,,1426736614
아프리카,2020-01-20,,,,,,,,,,1426736614
아프리카,2020-01-21,,,,,,,,,,1426736614
아프리카,2020-01-22,,,,,,,,,,1426736614
아프리카,2020-01-23,,,,,,,,,,1426736614
아프리카,2020-01-24,,,,,,,,,,1426736614
아프리카,2020-01-25,,,,,,,,,,1426736614
아프리카,2020-01-26,,,,,,,,,,1426736614
아프리카,2020-01-27,,,,,,,,,,1426736614
아프리카,2020-01-28,,,,,,,,,,1426736614
아프리카,2020-01-29,,,,,,,,,,1426736614
아프리카,2020-01-30,,,,,,,,,,1426736614
아프리카,2020-01-31,,,,,,,,,,1426736614
아프리카,2020-02-01,,,,,,,,,,1426736614
아프리카,2020-02-02,,,,,,,,,,1426736614
아프리카,2020-02-03,,,,,,,,,,1426736614
아프리카,2020-02-04,,,,,,,,,,1426736614
아프리카,2020-02-05,,,,,,,,,,1426736614
아프리카,2020-02-06,,,,,,,,,,1426736614
아프리카,2020-02-07,,,,,,,,,,1426736614
아프리카,2020-02-08,,,,,,,,,,1426736614
아프리카,2020-02-09,,,,,,,,,,1426736614
아프리카,2020-02-10,,,,,,,,,,1426736614
아프리카,2020-02-11,,,,,,,,,,1426736614
아프리카,2020-02-12,,,,,,,,,,1426736614
아프리카,2020-02-13,,,,,,,,,,1426736614
아프리카,2020-02-14,,,,,,,,,,1426736614
아프리카,2020-02-15,,,,,,,,,,1426736614
아프리카,2020-02-16,1.0,,,,,,,,,1426736614
아프리카,2020-02-17,1.0,,,,,,,,,1426736614
아프리카,2020-02-18,1.0,,,,,,,,,1426736614
아프리카,2020-02-19,1.0,,,,,,,,,1426736614
아프리카,2020-02-20,1.0,,,,,,,,,1426736614
아프리카,2020-02-21,1.0,,,,,,,,,1426736614
아프리카,2020-02-22,1.0,,,,,,,,,1426736614
아프리카,2020-02-23,1.0,,,,,,,,,1426736614
아프리카,2020-02-24,1.0,,,,,,,,,1426736614
아프리카,2020-02-25,1.0,,,,,,,,,1426736614
아프리카,2020-02-26,2.0,,,,,,,,,1426736614
아프리카,2020-02-27,2.0,,,,,,,,,1426736614
아프리카,2020-02-28,2.0,,,,,,,,,1426736614
아프리카,2020-02-29,3.0,,,,,,,,,1426736614
아프리카,2020-03-01,3.0,,,,,,,,,1426736614
아프리카,2020-03-02,4.0,,,,,,,,,1426736614
아프리카,2020-03-03,9.0,,,,,,,,,1426736614
아프리카,2020-03-04,14.0,,,,,,,,,1426736614
아프리카,2020-03-05,26.0,5.0,,,,,,,,1426736614
아프리카,2020-03-06,30.0,5.0,,,,,,,,1426736614
아프리카,2020-03-07,44.0,5.0,,,,,,,,1426736614
아프리카,2020-03-08,80.0,5.0,,,,,,,,1426736614
아프리카,2020-03-09,84.0,5.0,,,,,,,,1426736614
아프리카,2020-03-10,98.0,6.0,,,,,,,,1426736614
아프리카,2020-03-11,110.0,6.0,,,,,,,,1426736614
아프리카,2020-03-12,136.0,6.0,,,,,,,,1426736614
아프리카,2020-03-13,185.0,8.0,,,,,,,,1426736614
아프리카,2020-03-14,239.0,8.0,,,,,,,,1426736614
아프리카,2020-03-15,314.0,9.0,,,,,,,,1426736614
아프리카,2020-03-16,391.0,9.0,,,,,,,,1426736614
아프리카,2020-03-17,486.0,11.0,,,,,,,,1426736614
아프리카,2020-03-18,596.0,14.0,,,,,,,,1426736614
아프리카,2020-03-19,713.0,15.0,,,,,,,,1426736614
아프리카,2020-03-20,906.0,16.0,,,,,,,,1426736614
아프리카,2020-03-21,1124.0,21.0,,,,,,,,1426736614
아프리카,2020-03-22,1337.0,27.0,,,,,,,,1426736614
