location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
안도라,2020-01-03,,,,,,,,0.0,7.97,79843
안도라,2020-01-04,,,,,,,,0.0,7.97,79843
안도라,2020-01-05,,,,,,,,0.0,7.97,79843
안도라,2020-01-06,,,,,,,,0.0,7.97,79843
안도라,2020-01-07,,,,,,,,0.0,7.97,79843
안도라,2020-01-08,,,,,,,,0.0,7.97,79843
안도라,2020-01-09,,,,,,,,0.0,7.97,79843
안도라,2020-01-10,,,,,,,,0.0,7.97,79843
안도라,2020-01-11,,,,,,,,0.0,7.97,79843
안도라,2020-01-12,,,,,,,,0.0,7.97,79843
안도라,2020-01-13,,,,,,,,0.0,7.97,79843
안도라,2020-01-14,,,,,,,,0.0,7.97,79843
안도라,2020-01-15,,,,,,,,0.0,7.97,79843
안도라,2020-01-16,,,,,,,,0.0,7.97,79843
안도라,2020-01-17,,,,,,,,0.0,7.97,79843
안도라,2020-01-18,,,,,,,,0.0,7.97,79843
안도라,2020-01-19,,,,,,,,0.0,7.97,79843
안도라,2020-01-20,,,,,,,,0.0,7.97,79843
안도라,2020-01-21,,,,,,,,0.0,7.97,79843
안도라,2020-01-22,,,,,,,,0.0,7.97,79843
안도라,2020-01-23,,,,,,,,0.0,7.97,79843
안도라,2020-01-24,,,,,,,,0.0,7.97,79843
안도라,2020-01-25,,,,,,,,0.0,7.97,79843
안도라,2020-01-26,,,,,,,,0.0,7.97,79843
안도라,2020-01-27,,,,,,,,0.0,7.97,79843
안도라,2020-01-28,,,,,,,,0.0,7.97,79843
안도라,2020-01-29,,,,,,,,0.0,7.97,79843
안도라,2020-01-30,,,,,,,,0.0,7.97,79843
안도라,2020-01-31,,,,,,,,0.0,7.97,79843
안도라,2020-02-01,,,,,,,,0.0,7.97,79843
안도라,2020-02-02,,,,,,,,0.0,7.97,79843
안도라,2020-02-03,,,,,,,,0.0,7.97,79843
안도라,2020-02-04,,,,,,,,0.0,7.97,79843
안도라,2020-02-05,,,,,,,,0.0,7.97,79843
안도라,2020-02-06,,,,,,,,0.0,7.97,79843
안도라,2020-02-07,,,,,,,,0.0,7.97,79843
안도라,2020-02-08,,,,,,,,0.0,7.97,79843
안도라,2020-02-09,,,,,,,,0.0,7.97,79843
안도라,2020-02-10,,,,,,,,0.0,7.97,79843
안도라,2020-02-11,,,,,,,,0.0,7.97,79843
안도라,2020-02-12,,,,,,,,0.0,7.97,79843
안도라,2020-02-13,,,,,,,,0.0,7.97,79843
안도라,2020-02-14,,,,,,,,0.0,7.97,79843
안도라,2020-02-15,,,,,,,,0.0,7.97,79843
안도라,2020-02-16,,,,,,,,0.0,7.97,79843
안도라,2020-02-17,,,,,,,,0.0,7.97,79843
안도라,2020-02-18,,,,,,,,0.0,7.97,79843
안도라,2020-02-19,,,,,,,,0.0,7.97,79843
안도라,2020-02-20,,,,,,,,0.0,7.97,79843
안도라,2020-02-21,,,,,,,,0.0,7.97,79843
안도라,2020-02-22,,,,,,,,0.0,7.97,79843
안도라,2020-02-23,,,,,,,,0.0,7.97,79843
안도라,2020-02-24,,,,,,,,0.0,7.97,79843
안도라,2020-02-25,,,,,,,,0.0,7.97,79843
안도라,2020-02-26,,,,,,,,0.0,7.97,79843
안도라,2020-02-27,,,,,,,,0.0,7.97,79843
안도라,2020-02-28,,,,,,,,0.0,7.97,79843
안도라,2020-02-29,,,,,,,,0.0,7.97,79843
안도라,2020-03-01,,,,,,,,0.0,7.97,79843
안도라,2020-03-02,,,,,,,,0.0,7.97,79843
안도라,2020-03-03,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-04,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-05,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-06,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-07,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-08,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-09,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-10,1.0,,,,,,,0.0,7.97,79843
안도라,2020-03-11,1.0,,,,,,,3.7,7.97,79843
안도라,2020-03-12,1.0,,,,,,,3.7,7.97,79843
안도라,2020-03-13,1.0,,,,,,,12.96,7.97,79843
안도라,2020-03-14,2.0,,,,,,,24.07,7.97,79843
안도라,2020-03-15,2.0,,,,,,,24.07,7.97,79843
안도라,2020-03-16,2.0,,,,,,,31.48,7.97,79843
안도라,2020-03-17,14.0,,,,,,,31.48,7.97,79843
안도라,2020-03-18,39.0,,,,,,,31.48,7.97,79843
안도라,2020-03-19,39.0,,,,,,,31.48,7.97,79843
안도라,2020-03-20,75.0,,,,,,,31.48,7.97,79843
안도라,2020-03-21,94.0,,,,,,,31.48,7.97,79843
안도라,2020-03-22,133.0,1.0,,,,,,31.48,7.97,79843
안도라,2020-03-23,134.0,1.0,1.07,,,,,31.48,7.97,79843
안도라,2020-03-24,165.0,1.0,1.07,,,,,31.48,7.97,79843
안도라,2020-03-25,213.0,3.0,1.06,,,,,48.15,7.97,79843
안도라,2020-03-26,231.0,3.0,1.05,,,,,48.15,7.97,79843
안도라,2020-03-27,289.0,3.0,1.04,,,,,53.7,7.97,79843
안도라,2020-03-28,321.0,4.0,1.02,,,,,53.7,7.97,79843
안도라,2020-03-29,341.0,6.0,1.0,,,,,53.7,7.97,79843
안도라,2020-03-30,370.0,8.0,0.98,,,,,53.7,7.97,79843
안도라,2020-03-31,376.0,12.0,0.97,,,,,53.7,7.97,79843
안도라,2020-04-01,396.0,13.0,0.95,,,,,53.7,7.97,79843
안도라,2020-04-02,396.0,13.0,0.94,,,,,53.7,7.97,79843
안도라,2020-04-03,429.0,15.0,0.92,,,,,53.7,7.97,79843
안도라,2020-04-04,442.0,16.0,0.91,,,,,53.7,7.97,79843
안도라,2020-04-05,466.0,17.0,0.89,,,,,53.7,7.97,79843
안도라,2020-04-06,523.0,17.0,0.87,,,,,53.7,7.97,79843
안도라,2020-04-07,540.0,21.0,0.86,,,,,53.7,7.97,79843
안도라,2020-04-08,551.0,22.0,0.84,,,,,56.48,7.97,79843
안도라,2020-04-09,566.0,24.0,0.82,,,,,56.48,7.97,79843
