location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
앤티가 바부다,2020-01-03,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-04,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-05,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-06,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-07,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-08,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-09,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-10,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-11,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-12,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-13,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-14,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-15,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-16,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-17,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-18,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-19,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-20,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-21,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-22,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-23,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-24,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-25,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-26,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-27,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-28,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-29,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-30,,,,,,,,,13.17,93772
앤티가 바부다,2020-01-31,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-01,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-02,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-03,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-04,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-05,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-06,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-07,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-08,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-09,,,,,,,,,13.17,93772
앤티가 바부다,2020-02-10,,,,,,,,,13.17,93772
