location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
앵귈라,2020-01-03,,,,,,,,,,15877
앵귈라,2020-01-04,,,,,,,,,,15877
앵귈라,2020-01-05,,,,,,,,,,15877
앵귈라,2020-01-06,,,,,,,,,,15877
앵귈라,2020-01-07,,,,,,,,,,15877
앵귈라,2020-01-08,,,,,,,,,,15877
앵귈라,2020-01-09,,,,,,,,,,15877
앵귈라,2020-01-10,,,,,,,,,,15877
앵귈라,2020-01-11,,,,,,,,,,15877
앵귈라,2020-01-12,,,,,,,,,,15877
앵귈라,2020-01-13,,,,,,,,,,15877
앵귈라,2020-01-14,,,,,,,,,,15877
앵귈라,2020-01-15,,,,,,,,,,15877
앵귈라,2020-01-16,,,,,,,,,,15877
앵귈라,2020-01-17,,,,,,,,,,15877
앵귈라,2020-01-18,,,,,,,,,,15877
앵귈라,2020-01-19,,,,,,,,,,15877
앵귈라,2020-01-20,,,,,,,,,,15877
앵귈라,2020-01-21,,,,,,,,,,15877
앵귈라,2020-01-22,,,,,,,,,,15877
앵귈라,2020-01-23,,,,,,,,,,15877
앵귈라,2020-01-24,,,,,,,,,,15877
앵귈라,2020-01-25,,,,,,,,,,15877
앵귈라,2020-01-26,,,,,,,,,,15877
앵귈라,2020-01-27,,,,,,,,,,15877
앵귈라,2020-01-28,,,,,,,,,,15877
앵귈라,2020-01-29,,,,,,,,,,15877
앵귈라,2020-01-30,,,,,,,,,,15877
앵귈라,2020-01-31,,,,,,,,,,15877
앵귈라,2020-02-01,,,,,,,,,,15877
앵귈라,2020-02-02,,,,,,,,,,15877
앵귈라,2020-02-03,,,,,,,,,,15877
앵귈라,2020-02-04,,,,,,,,,,15877
앵귈라,2020-02-05,,,,,,,,,,15877
앵귈라,2020-02-06,,,,,,,,,,15877
앵귈라,2020-02-07,,,,,,,,,,15877
앵귈라,2020-02-08,,,,,,,,,,15877
앵귈라,2020-02-09,,,,,,,,,,15877
앵귈라,2020-02-10,,,,,,,,,,15877
앵귈라,2020-02-11,,,,,,,,,,15877
앵귈라,2020-02-12,,,,,,,,,,15877
앵귈라,2020-02-13,,,,,,,,,,15877
앵귈라,2020-02-14,,,,,,,,,,15877
앵귈라,2020-02-15,,,,,,,,,,15877
앵귈라,2020-02-16,,,,,,,,,,15877
앵귈라,2020-02-17,,,,,,,,,,15877
앵귈라,2020-02-18,,,,,,,,,,15877
앵귈라,2020-02-19,,,,,,,,,,15877
앵귈라,2020-02-20,,,,,,,,,,15877
앵귈라,2020-02-21,,,,,,,,,,15877
앵귈라,2020-02-22,,,,,,,,,,15877
앵귈라,2020-02-23,,,,,,,,,,15877
앵귈라,2020-02-24,,,,,,,,,,15877
앵귈라,2020-02-25,,,,,,,,,,15877
앵귈라,2020-02-26,,,,,,,,,,15877
앵귈라,2020-02-27,,,,,,,,,,15877
앵귈라,2020-02-28,,,,,,,,,,15877
앵귈라,2020-02-29,,,,,,,,,,15877
앵귈라,2020-03-01,,,,,,,,,,15877
앵귈라,2020-03-02,,,,,,,,,,15877
앵귈라,2020-03-03,,,,,,,,,,15877
앵귈라,2020-03-04,,,,,,,,,,15877
앵귈라,2020-03-05,,,,,,,,,,15877
앵귈라,2020-03-06,,,,,,,,,,15877
앵귈라,2020-03-07,,,,,,,,,,15877
앵귈라,2020-03-08,,,,,,,,,,15877
앵귈라,2020-03-09,,,,,,,,,,15877
앵귈라,2020-03-10,,,,,,,,,,15877
앵귈라,2020-03-11,,,,,,,,,,15877
앵귈라,2020-03-12,,,,,,,,,,15877
앵귈라,2020-03-13,,,,,,,,,,15877
앵귈라,2020-03-14,,,,,,,,,,15877
앵귈라,2020-03-15,,,,,,,,,,15877
앵귈라,2020-03-16,,,,,,,,,,15877
앵귈라,2020-03-17,,,,,,,,,,15877
앵귈라,2020-03-18,,,,,,,,,,15877
앵귈라,2020-03-19,,,,,,,,,,15877
앵귈라,2020-03-20,,,,,,,,,,15877
앵귈라,2020-03-21,,,,,,,,,,15877
앵귈라,2020-03-22,,,,,,,,,,15877
앵귈라,2020-03-23,,,,,,,,,,15877
앵귈라,2020-03-24,,,,,,,,,,15877
앵귈라,2020-03-25,,,,,,,,,,15877
앵귈라,2020-03-26,,,,,,,,,,15877
앵귈라,2020-03-27,2.0,,,,,,,,,15877
앵귈라,2020-03-28,2.0,,,,,,,,,15877
앵귈라,2020-03-29,2.0,,,,,,,,,15877
앵귈라,2020-03-30,2.0,,,,,,,,,15877
앵귈라,2020-03-31,2.0,,,,,,,,,15877
앵귈라,2020-04-01,2.0,,,,,,,,,15877
앵귈라,2020-04-02,2.0,,,,,,,,,15877
앵귈라,2020-04-03,2.0,,,,,,,,,15877
앵귈라,2020-04-04,3.0,,,,,,,,,15877
앵귈라,2020-04-05,3.0,,,,,,,,,15877
앵귈라,2020-04-06,3.0,,,,,,,,,15877
앵귈라,2020-04-07,3.0,,,,,,,,,15877
앵귈라,2020-04-08,3.0,,,,,,,,,15877
앵귈라,2020-04-09,3.0,,,,,,,,,15877
앵귈라,2020-04-10,3.0,,,,,,,,,15877
앵귈라,2020-04-11,3.0,,,,,,,,,15877
앵귈라,2020-04-12,3.0,,,,,,,,,15877
앵귈라,2020-04-13,3.0,,,,,,,,,15877
앵귈라,2020-04-14,3.0,,,,,,,,,15877
