location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
에리트레아,2020-01-03,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-04,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-05,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-06,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-07,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-08,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-09,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-10,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-11,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-12,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-13,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-14,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-15,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-16,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-17,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-18,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-19,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-20,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-21,,,,,,,,0.0,6.05,3684041
에리트레아,2020-01-22,,,,,,,,,6.05,3684041
에리트레아,2020-01-23,,,,,,,,,6.05,3684041
에리트레아,2020-01-24,,,,,,,,,6.05,3684041
에리트레아,2020-01-25,,,,,,,,,6.05,3684041
에리트레아,2020-01-26,,,,,,,,,6.05,3684041
에리트레아,2020-01-27,,,,,,,,,6.05,3684041
에리트레아,2020-01-28,,,,,,,,,6.05,3684041
에리트레아,2020-01-29,,,,,,,,,6.05,3684041
에리트레아,2020-01-30,,,,,,,,,6.05,3684041
에리트레아,2020-01-31,,,,,,,,,6.05,3684041
에리트레아,2020-02-01,,,,,,,,,6.05,3684041
에리트레아,2020-02-02,,,,,,,,,6.05,3684041
에리트레아,2020-02-03,,,,,,,,,6.05,3684041
에리트레아,2020-02-04,,,,,,,,,6.05,3684041
에리트레아,2020-02-05,,,,,,,,,6.05,3684041
에리트레아,2020-02-06,,,,,,,,,6.05,3684041
에리트레아,2020-02-07,,,,,,,,,6.05,3684041
에리트레아,2020-02-08,,,,,,,,,6.05,3684041
에리트레아,2020-02-09,,,,,,,,,6.05,3684041
에리트레아,2020-02-10,,,,,,,,,6.05,3684041
에리트레아,2020-02-11,,,,,,,,,6.05,3684041
에리트레아,2020-02-12,,,,,,,,,6.05,3684041
에리트레아,2020-02-13,,,,,,,,,6.05,3684041
에리트레아,2020-02-14,,,,,,,,,6.05,3684041
에리트레아,2020-02-15,,,,,,,,,6.05,3684041
에리트레아,2020-02-16,,,,,,,,,6.05,3684041
에리트레아,2020-02-17,,,,,,,,,6.05,3684041
에리트레아,2020-02-18,,,,,,,,,6.05,3684041
에리트레아,2020-02-19,,,,,,,,,6.05,3684041
에리트레아,2020-02-20,,,,,,,,,6.05,3684041
에리트레아,2020-02-21,,,,,,,,,6.05,3684041
에리트레아,2020-02-22,,,,,,,,,6.05,3684041
에리트레아,2020-02-23,,,,,,,,,6.05,3684041
에리트레아,2020-02-24,,,,,,,,,6.05,3684041
에리트레아,2020-02-25,,,,,,,,,6.05,3684041
에리트레아,2020-02-26,,,,,,,,,6.05,3684041
에리트레아,2020-02-27,,,,,,,,,6.05,3684041
에리트레아,2020-02-28,,,,,,,,,6.05,3684041
에리트레아,2020-02-29,,,,,,,,,6.05,3684041
에리트레아,2020-03-01,,,,,,,,,6.05,3684041
에리트레아,2020-03-02,,,,,,,,,6.05,3684041
에리트레아,2020-03-03,,,,,,,,,6.05,3684041
에리트레아,2020-03-04,,,,,,,,,6.05,3684041
에리트레아,2020-03-05,,,,,,,,,6.05,3684041
에리트레아,2020-03-06,,,,,,,,,6.05,3684041
에리트레아,2020-03-07,,,,,,,,,6.05,3684041
에리트레아,2020-03-08,,,,,,,,,6.05,3684041
에리트레아,2020-03-09,,,,,,,,,6.05,3684041
에리트레아,2020-03-10,,,,,,,,,6.05,3684041
에리트레아,2020-03-11,,,,,,,,,6.05,3684041
에리트레아,2020-03-12,,,,,,,,,6.05,3684041
에리트레아,2020-03-13,,,,,,,,,6.05,3684041
에리트레아,2020-03-14,,,,,,,,,6.05,3684041
에리트레아,2020-03-15,,,,,,,,,6.05,3684041
에리트레아,2020-03-16,,,,,,,,,6.05,3684041
에리트레아,2020-03-17,,,,,,,,,6.05,3684041
에리트레아,2020-03-18,,,,,,,,,6.05,3684041
에리트레아,2020-03-19,,,,,,,,,6.05,3684041
에리트레아,2020-03-20,,,,,,,,,6.05,3684041
에리트레아,2020-03-21,,,,,,,,,6.05,3684041
에리트레아,2020-03-22,1.0,,,,,,,,6.05,3684041
에리트레아,2020-03-23,1.0,,,,,,,,6.05,3684041
에리트레아,2020-03-24,1.0,,,,,,,,6.05,3684041
에리트레아,2020-03-25,1.0,,,,,,,,6.05,3684041
에리트레아,2020-03-26,4.0,,,,,,,,6.05,3684041
에리트레아,2020-03-27,6.0,,,,,,,,6.05,3684041
에리트레아,2020-03-28,6.0,,,,,,,,6.05,3684041
에리트레아,2020-03-29,6.0,,,,,,,,6.05,3684041
에리트레아,2020-03-30,12.0,,,,,,,,6.05,3684041
에리트레아,2020-03-31,15.0,,,,,,,,6.05,3684041
에리트레아,2020-04-01,15.0,,,,,,,,6.05,3684041
에리트레아,2020-04-02,20.0,,,,,,,,6.05,3684041
에리트레아,2020-04-03,20.0,,,,,,,,6.05,3684041
에리트레아,2020-04-04,20.0,,,,,,,,6.05,3684041
에리트레아,2020-04-05,20.0,,,,,,,,6.05,3684041
에리트레아,2020-04-06,29.0,,,,,,,,6.05,3684041
에리트레아,2020-04-07,31.0,,,,,,,,6.05,3684041
에리트레아,2020-04-08,31.0,,,,,,,,6.05,3684041
에리트레아,2020-04-09,33.0,,,,,,,,6.05,3684041
에리트레아,2020-04-10,33.0,,,,,,,,6.05,3684041
에리트레아,2020-04-11,34.0,,,,,,,,6.05,3684041
에리트레아,2020-04-12,34.0,,,,,,,,6.05,3684041
에리트레아,2020-04-13,34.0,,,,,,,,6.05,3684041
에리트레아,2020-04-14,34.0,,,,,,,,6.05,3684041
에리트레아,2020-04-15,34.0,,,,,,,,6.05,3684041
에리트레아,2020-04-16,35.0,,,,,,,,6.05,3684041
에리트레아,2020-04-17,35.0,,,,,,,,6.05,3684041
에리트레아,2020-04-18,35.0,,,,,,,,6.05,3684041
에리트레아,2020-04-19,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-20,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-21,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-22,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-23,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-24,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-25,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-26,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-27,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-28,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-29,39.0,,,,,,,,6.05,3684041
에리트레아,2020-04-30,39.0,,,,,,,,6.05,3684041
에리트레아,2020-05-01,39.0,,,,,,,,6.05,3684041
에리트레아,2020-05-02,39.0,,,,,,,,6.05,3684041
에리트레아,2020-05-03,39.0,,,,,,,,6.05,3684041
에리트레아,2020-05-04,39.0,,,,,,,,6.05,3684041
