location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
에스와티니,2020-01-03,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-04,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-05,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-06,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-07,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-08,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-09,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-10,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-11,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-12,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-13,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-14,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-15,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-16,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-17,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-18,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-19,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-20,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-21,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-22,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-23,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-24,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-25,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-26,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-27,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-28,,,,,,,,0.0,3.94,1201680
에스와티니,2020-01-29,,,,,,,,2.78,3.94,1201680
에스와티니,2020-01-30,,,,,,,,2.78,3.94,1201680
에스와티니,2020-01-31,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-01,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-02,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-03,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-04,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-05,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-06,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-07,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-08,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-09,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-10,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-11,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-12,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-13,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-14,,,,,,,,2.78,3.94,1201680
에스와티니,2020-02-15,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-16,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-17,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-18,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-19,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-20,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-21,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-22,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-23,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-24,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-25,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-26,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-27,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-28,,,,,,,,8.33,3.94,1201680
에스와티니,2020-02-29,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-01,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-02,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-03,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-04,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-05,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-06,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-07,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-08,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-09,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-10,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-11,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-12,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-13,,,,,,,,13.89,3.94,1201680
에스와티니,2020-03-14,1.0,,,,,,,19.44,3.94,1201680
에스와티니,2020-03-15,1.0,,,,,,,19.44,3.94,1201680
에스와티니,2020-03-16,1.0,,,,,,,19.44,3.94,1201680
에스와티니,2020-03-17,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-18,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-19,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-20,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-21,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-22,1.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-23,4.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-24,4.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-25,4.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-26,5.0,,,,,,,55.56,3.94,1201680
에스와티니,2020-03-27,6.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-03-28,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-03-29,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-03-30,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-03-31,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-04-01,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-04-02,9.0,,,,,,,86.11,3.94,1201680
에스와티니,2020-04-03,9.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-04,9.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-05,9.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-06,9.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-07,9.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-08,10.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-09,12.0,,,,,,,89.81,3.94,1201680
에스와티니,2020-04-10,12.0,,,,,,,89.81,3.94,1201680
