location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
에스토니아,2020-01-03,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-04,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-05,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-06,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-07,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-08,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-09,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-10,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-11,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-12,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-13,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-14,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-15,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-16,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-17,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-18,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-19,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-20,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-21,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-22,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-23,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-24,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-25,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-26,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-27,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-28,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-29,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-30,,,,,,,,0.0,4.02,1326064
에스토니아,2020-01-31,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-01,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-02,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-03,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-04,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-05,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-06,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-07,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-08,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-09,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-10,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-11,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-12,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-13,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-14,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-15,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-16,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-17,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-18,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-19,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-20,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-21,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-22,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-23,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-24,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-25,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-26,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-27,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-28,,,,,,,,0.0,4.02,1326064
에스토니아,2020-02-29,,,,,,,,0.0,4.02,1326064
에스토니아,2020-03-01,1.0,,,,,,,0.0,4.02,1326064
에스토니아,2020-03-02,1.0,,,,,,,0.0,4.02,1326064
에스토니아,2020-03-03,1.0,,,0.0191,,,,0.0,4.02,1326064
에스토니아,2020-03-04,1.0,,,0.0151,,,,0.0,4.02,1326064
에스토니아,2020-03-05,1.0,,,0.0124,,,,0.0,4.02,1326064
에스토니아,2020-03-06,1.0,,,0.0415,,,,0.0,4.02,1326064
에스토니아,2020-03-07,1.0,,,0.0378,,,,0.0,4.02,1326064
에스토니아,2020-03-08,10.0,,,0.0367,,,,0.0,4.02,1326064
에스토니아,2020-03-09,10.0,,,0.0314,,,,0.0,4.02,1326064
에스토니아,2020-03-10,10.0,,,0.0318,,,,0.0,4.02,1326064
에스토니아,2020-03-11,10.0,,,0.0392,,,,0.0,4.02,1326064
에스토니아,2020-03-12,10.0,,,0.0277,,,,25.0,4.02,1326064
에스토니아,2020-03-13,10.0,,,0.1146,,,,25.0,4.02,1326064
에스토니아,2020-03-14,10.0,,,0.1415,,,,33.33,4.02,1326064
