location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
영국,2020-01-03,,,,,,,,0.0,4.28,67508936
영국,2020-01-04,,,,,,,,0.0,4.28,67508936
영국,2020-01-05,,,,,,,,0.0,4.28,67508936
영국,2020-01-06,,,,,,,,0.0,4.28,67508936
영국,2020-01-07,,,,,,,,0.0,4.28,67508936
영국,2020-01-08,,,,,,,,0.0,4.28,67508936
영국,2020-01-09,,,,,,,,0.0,4.28,67508936
영국,2020-01-10,,,,,,,,0.0,4.28,67508936
영국,2020-01-11,,,,,,,,0.0,4.28,67508936
영국,2020-01-12,,,,,,,,0.0,4.28,67508936
영국,2020-01-13,,,,,,,,0.0,4.28,67508936
영국,2020-01-14,,,,,,,,0.0,4.28,67508936
영국,2020-01-15,,,,,,,,0.0,4.28,67508936
영국,2020-01-16,,,,,,,,0.0,4.28,67508936
영국,2020-01-17,,,,,,,,0.0,4.28,67508936
영국,2020-01-18,,,,,,,,0.0,4.28,67508936
영국,2020-01-19,,,,,,,,0.0,4.28,67508936
영국,2020-01-20,,,,,,,,5.56,4.28,67508936
영국,2020-01-21,,,,,,,,5.56,4.28,67508936
영국,2020-01-22,,,,,,,,5.56,4.28,67508936
영국,2020-01-23,,,,,,,,5.56,4.28,67508936
영국,2020-01-24,,,,,,,,5.56,4.28,67508936
영국,2020-01-25,,,,,,,,5.56,4.28,67508936
영국,2020-01-26,,,,,,,,5.56,4.28,67508936
영국,2020-01-27,,,,,,,,5.56,4.28,67508936
영국,2020-01-28,,,,,,,,5.56,4.28,67508936
영국,2020-01-29,,,,,,,,5.56,4.28,67508936
영국,2020-01-30,,,,,,,,5.56,4.28,67508936
영국,2020-01-31,,,,,,,,8.33,4.28,67508936
영국,2020-02-01,1.0,1.0,,,,,,8.33,4.28,67508936
영국,2020-02-02,1.0,1.0,,,,,,11.11,4.28,67508936
영국,2020-02-03,1.0,1.0,,,,,,11.11,4.28,67508936
영국,2020-02-04,2.0,2.0,,,,,,11.11,4.28,67508936
영국,2020-02-05,20.0,2.0,,,,,,11.11,4.28,67508936
영국,2020-02-06,20.0,2.0,,,,,,11.11,4.28,67508936
영국,2020-02-07,21.0,2.0,,,,,,11.11,4.28,67508936
영국,2020-02-08,21.0,2.0,,,,,,11.11,4.28,67508936
