location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
오만,2020-01-03,,,,,,,,0.0,12.61,4576300
오만,2020-01-04,,,,,,,,0.0,12.61,4576300
오만,2020-01-05,,,,,,,,0.0,12.61,4576300
오만,2020-01-06,,,,,,,,0.0,12.61,4576300
오만,2020-01-07,,,,,,,,0.0,12.61,4576300
오만,2020-01-08,,,,,,,,0.0,12.61,4576300
오만,2020-01-09,,,,,,,,0.0,12.61,4576300
오만,2020-01-10,,,,,,,,0.0,12.61,4576300
오만,2020-01-11,,,,,,,,0.0,12.61,4576300
오만,2020-01-12,,,,,,,,0.0,12.61,4576300
오만,2020-01-13,,,,,,,,0.0,12.61,4576300
오만,2020-01-14,,,,,,,,0.0,12.61,4576300
오만,2020-01-15,,,,,,,,0.0,12.61,4576300
오만,2020-01-16,,,,,,,,0.0,12.61,4576300
오만,2020-01-17,,,,,,,,0.0,12.61,4576300
오만,2020-01-18,,,,,,,,0.0,12.61,4576300
오만,2020-01-19,,,,,,,,0.0,12.61,4576300
오만,2020-01-20,,,,,,,,5.56,12.61,4576300
오만,2020-01-21,,,,,,,,5.56,12.61,4576300
오만,2020-01-22,,,,,,,,5.56,12.61,4576300
오만,2020-01-23,,,,,,,,5.56,12.61,4576300
오만,2020-01-24,,,,,,,,5.56,12.61,4576300
오만,2020-01-25,,,,,,,,5.56,12.61,4576300
오만,2020-01-26,,,,,,,,11.11,12.61,4576300
오만,2020-01-27,,,,,,,,11.11,12.61,4576300
오만,2020-01-28,,,,,,,,11.11,12.61,4576300
오만,2020-01-29,,,,,,,,11.11,12.61,4576300
오만,2020-01-30,,,,,,,,11.11,12.61,4576300
오만,2020-01-31,,,,,,,,11.11,12.61,4576300
오만,2020-02-01,,,,,,,,11.11,12.61,4576300
오만,2020-02-02,,,,,,,,11.11,12.61,4576300
오만,2020-02-03,,,,,,,,19.44,12.61,4576300
오만,2020-02-04,,,,,,,,19.44,12.61,4576300
오만,2020-02-05,,,,,,,,19.44,12.61,4576300
오만,2020-02-06,,,,,,,,19.44,12.61,4576300
오만,2020-02-07,,,,,,,,19.44,12.61,4576300
오만,2020-02-08,,,,,,,,19.44,12.61,4576300
오만,2020-02-09,,,,,,,,19.44,12.61,4576300
오만,2020-02-10,,,,,,,,19.44,12.61,4576300
오만,2020-02-11,,,,,,,,19.44,12.61,4576300
오만,2020-02-12,,,,,,,,19.44,12.61,4576300
오만,2020-02-13,,,,,,,,19.44,12.61,4576300
오만,2020-02-14,,,,,,,,19.44,12.61,4576300
오만,2020-02-15,,,,,,,,19.44,12.61,4576300
오만,2020-02-16,,,,,,,,19.44,12.61,4576300
오만,2020-02-17,,,,,,,,19.44,12.61,4576300
오만,2020-02-18,,,,,,,,19.44,12.61,4576300
오만,2020-02-19,,,,,,,,19.44,12.61,4576300
오만,2020-02-20,,,,,,,,19.44,12.61,4576300
오만,2020-02-21,,,,,,,,19.44,12.61,4576300
오만,2020-02-22,,,,,,,,19.44,12.61,4576300
오만,2020-02-23,,,,,,,,19.44,12.61,4576300
오만,2020-02-24,,,,,,,,19.44,12.61,4576300
오만,2020-02-25,,,,,,,,19.44,12.61,4576300
오만,2020-02-26,4.0,,,,,,,19.44,12.61,4576300
오만,2020-02-27,4.0,,,,,,,19.44,12.61,4576300
오만,2020-02-28,6.0,,,,,,,19.44,12.61,4576300
오만,2020-02-29,6.0,,,,,,,19.44,12.61,4576300
오만,2020-03-01,6.0,,,,,,,19.44,12.61,4576300
오만,2020-03-02,6.0,,,,,,,19.44,12.61,4576300
오만,2020-03-03,6.0,,,,,,,19.44,12.61,4576300
오만,2020-03-04,12.0,,,,,,,19.44,12.61,4576300
오만,2020-03-05,15.0,,,,,,,19.44,12.61,4576300
오만,2020-03-06,16.0,,,,,,,19.44,12.61,4576300
오만,2020-03-07,16.0,,,,,,,19.44,12.61,4576300
오만,2020-03-08,16.0,,,,,,,19.44,12.61,4576300
오만,2020-03-09,16.0,,,,,,,19.44,12.61,4576300
오만,2020-03-10,18.0,,,,,,,19.44,12.61,4576300
오만,2020-03-11,18.0,,,,,,,19.44,12.61,4576300
오만,2020-03-12,18.0,,,,,,,19.44,12.61,4576300
오만,2020-03-13,19.0,,,,,,,19.44,12.61,4576300
오만,2020-03-14,20.0,,,,,,,19.44,12.61,4576300
오만,2020-03-15,20.0,,,,,,,30.56,12.61,4576300
오만,2020-03-16,22.0,,,,,,,30.56,12.61,4576300
오만,2020-03-17,24.0,,,,,,,52.78,12.61,4576300
오만,2020-03-18,33.0,,,,,,,66.67,12.61,4576300
오만,2020-03-19,33.0,,,,,,,77.78,12.61,4576300
오만,2020-03-20,48.0,,,,,,,77.78,12.61,4576300
오만,2020-03-21,48.0,,,,,,,81.48,12.61,4576300
오만,2020-03-22,52.0,,,,,,,81.48,12.61,4576300
오만,2020-03-23,55.0,,,,,,,81.48,12.61,4576300
오만,2020-03-24,66.0,,,,,,,81.48,12.61,4576300
오만,2020-03-25,84.0,,,,,,,81.48,12.61,4576300
오만,2020-03-26,99.0,,,,,,,81.48,12.61,4576300
오만,2020-03-27,109.0,,1.36,,,,,81.48,12.61,4576300
오만,2020-03-28,131.0,,1.35,,,,,81.48,12.61,4576300
오만,2020-03-29,152.0,,1.34,,,,,81.48,12.61,4576300
오만,2020-03-30,167.0,,1.34,,,,,81.48,12.61,4576300
오만,2020-03-31,179.0,,1.35,,,,,85.19,12.61,4576300
오만,2020-04-01,192.0,,1.36,,,,,85.19,12.61,4576300
오만,2020-04-02,210.0,1.0,1.38,,,,,85.19,12.61,4576300
오만,2020-04-03,231.0,1.0,1.4,,,,,85.19,12.61,4576300
오만,2020-04-04,252.0,1.0,1.42,,,,,85.19,12.61,4576300
오만,2020-04-05,277.0,2.0,1.44,,,,,85.19,12.61,4576300
오만,2020-04-06,298.0,2.0,1.47,,,,,85.19,12.61,4576300
오만,2020-04-07,331.0,2.0,1.49,,,,,85.19,12.61,4576300
오만,2020-04-08,371.0,2.0,1.5,,,,,85.19,12.61,4576300
