location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
오세아니아,2020-01-03,,,,,,,,,,45038860
오세아니아,2020-01-04,,,,,,,,,,45038860
오세아니아,2020-01-05,,,,,,,,,,45038860
오세아니아,2020-01-06,,,,,,,,,,45038860
오세아니아,2020-01-07,,,,,,,,,,45038860
오세아니아,2020-01-08,,,,,,,,,,45038860
오세아니아,2020-01-09,,,,,,,,,,45038860
오세아니아,2020-01-10,,,,,,,,,,45038860
오세아니아,2020-01-11,,,,,,,,,,45038860
오세아니아,2020-01-12,,,,,,,,,,45038860
오세아니아,2020-01-13,,,,,,,,,,45038860
오세아니아,2020-01-14,,,,,,,,,,45038860
오세아니아,2020-01-15,,,,,,,,,,45038860
오세아니아,2020-01-16,,,,,,,,,,45038860
오세아니아,2020-01-17,,,,,,,,,,45038860
오세아니아,2020-01-18,,,,,,,,,,45038860
오세아니아,2020-01-19,,,,,,,,,,45038860
오세아니아,2020-01-20,,,,,,,,,,45038860
오세아니아,2020-01-21,,,,,,,,,,45038860
오세아니아,2020-01-22,,,,,,,,,,45038860
오세아니아,2020-01-23,,,,,,,,,,45038860
오세아니아,2020-01-24,,,,,,,,,,45038860
오세아니아,2020-01-25,1.0,,,,,,,,,45038860
오세아니아,2020-01-26,4.0,,,,,,,,,45038860
오세아니아,2020-01-27,4.0,,,,,,,,,45038860
오세아니아,2020-01-28,5.0,,,,,,,,,45038860
오세아니아,2020-01-29,5.0,,,,,,,,,45038860
오세아니아,2020-01-30,7.0,,,,,,,,,45038860
오세아니아,2020-01-31,9.0,,,,,,,,,45038860
오세아니아,2020-02-01,9.0,,,,,,,,,45038860
오세아니아,2020-02-02,12.0,,,,,,,,,45038860
오세아니아,2020-02-03,12.0,,,,,,,,,45038860
오세아니아,2020-02-04,12.0,,,,,,,,,45038860
오세아니아,2020-02-05,13.0,,,,,,,,,45038860
오세아니아,2020-02-06,14.0,,,,,,,,,45038860
오세아니아,2020-02-07,15.0,,,,,,,,,45038860
오세아니아,2020-02-08,15.0,,,,,,,,,45038860
오세아니아,2020-02-09,15.0,,,,,,,,,45038860
오세아니아,2020-02-10,15.0,,,,,,,,,45038860
오세아니아,2020-02-11,15.0,,,,,,,,,45038860
오세아니아,2020-02-12,15.0,,,,,,,,,45038860
오세아니아,2020-02-13,15.0,,,,,,,,,45038860
오세아니아,2020-02-14,15.0,,,,,,,,,45038860
오세아니아,2020-02-15,15.0,,,,,,,,,45038860
오세아니아,2020-02-16,15.0,,,,,,,,,45038860
오세아니아,2020-02-17,15.0,,,,,,,,,45038860
오세아니아,2020-02-18,15.0,,,,,,,,,45038860
오세아니아,2020-02-19,15.0,,,,,,,,,45038860
오세아니아,2020-02-20,15.0,,,,,,,,,45038860
오세아니아,2020-02-21,15.0,,,,,,,,,45038860
오세아니아,2020-02-22,21.0,,,,,,,,,45038860
오세아니아,2020-02-23,22.0,,,,,,,,,45038860
오세아니아,2020-02-24,22.0,,,,,,,,,45038860
오세아니아,2020-02-25,22.0,,,,,,,,,45038860
오세아니아,2020-02-26,23.0,,,,,,,,,45038860
오세아니아,2020-02-27,23.0,,,,,,,,,45038860
