location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
왈리스 푸투나,2020-01-03,,,,,,,,,,11596
왈리스 푸투나,2020-01-04,,,,,,,,,,11596
왈리스 푸투나,2020-01-05,,,,,,,,,,11596
왈리스 푸투나,2020-01-06,,,,,,,,,,11596
왈리스 푸투나,2020-01-07,,,,,,,,,,11596
왈리스 푸투나,2020-01-08,,,,,,,,,,11596
왈리스 푸투나,2020-01-09,,,,,,,,,,11596
왈리스 푸투나,2020-01-10,,,,,,,,,,11596
왈리스 푸투나,2020-01-11,,,,,,,,,,11596
왈리스 푸투나,2020-01-12,,,,,,,,,,11596
왈리스 푸투나,2020-01-13,,,,,,,,,,11596
왈리스 푸투나,2020-01-14,,,,,,,,,,11596
왈리스 푸투나,2020-01-15,,,,,,,,,,11596
왈리스 푸투나,2020-01-16,,,,,,,,,,11596
왈리스 푸투나,2020-01-17,,,,,,,,,,11596
왈리스 푸투나,2020-01-18,,,,,,,,,,11596
왈리스 푸투나,2020-01-19,,,,,,,,,,11596
왈리스 푸투나,2020-01-20,,,,,,,,,,11596
왈리스 푸투나,2020-01-21,,,,,,,,,,11596
왈리스 푸투나,2020-01-22,,,,,,,,,,11596
왈리스 푸투나,2020-01-23,,,,,,,,,,11596
왈리스 푸투나,2020-01-24,,,,,,,,,,11596
왈리스 푸투나,2020-01-25,,,,,,,,,,11596
왈리스 푸투나,2020-01-26,,,,,,,,,,11596
왈리스 푸투나,2020-01-27,,,,,,,,,,11596
왈리스 푸투나,2020-01-28,,,,,,,,,,11596
왈리스 푸투나,2020-01-29,,,,,,,,,,11596
왈리스 푸투나,2020-01-30,,,,,,,,,,11596
왈리스 푸투나,2020-01-31,,,,,,,,,,11596
왈리스 푸투나,2020-02-01,,,,,,,,,,11596
왈리스 푸투나,2020-02-02,,,,,,,,,,11596
왈리스 푸투나,2020-02-03,,,,,,,,,,11596
왈리스 푸투나,2020-02-04,,,,,,,,,,11596
왈리스 푸투나,2020-02-05,,,,,,,,,,11596
왈리스 푸투나,2020-02-06,,,,,,,,,,11596
왈리스 푸투나,2020-02-07,,,,,,,,,,11596
왈리스 푸투나,2020-02-08,,,,,,,,,,11596
왈리스 푸투나,2020-02-09,,,,,,,,,,11596
왈리스 푸투나,2020-02-10,,,,,,,,,,11596
왈리스 푸투나,2020-02-11,,,,,,,,,,11596
왈리스 푸투나,2020-02-12,,,,,,,,,,11596
왈리스 푸투나,2020-02-13,,,,,,,,,,11596
왈리스 푸투나,2020-02-14,,,,,,,,,,11596
왈리스 푸투나,2020-02-15,,,,,,,,,,11596
